Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Textularina genus indet.	Sherbornina carteri	Rotaliid taxa	Operculina pacifica	Discocyclina omphala	Asterigerina tentoria	Amphistegina awiareka	Nonionella sp.	Lenticulina sp.	Cibicides sp.	Asterocyclina matanzensis	Miliolina spp.	Halkyardia ?minima	Spiroclypeus vermicularis	Heterostegina saipanensis	Discogypsina discus	Biarritzina sp.	Sphaerogypsina globula	Nummulites pengaronensis	Lepidocyclina (Nephrolepidina) ?howchini	Cycloclypeus sp.	Amphistegina radiata	Pellatispira madaraszi	Comment



  SR	                 	                 	                  	              	135	 841	B	 20	R	 2	 111.00	    345.0900	Chaproniere	Benthic Foraminifers                         	               	                  	                        	                   	             	                   	+                   	                     	+                    	              	               	             	                         	              	                  	                         	                         	                   	               	                      	+                       	                                        	                	                    	+                     	from ODP Leg 135 Ch 15 Table 1 p 234-235

  SR	                 	                 	                  	              	135	 841	B	 21	R	 2	 131.00	    354.9100	Chaproniere	Benthic Foraminifers                         	               	                  	                        	                   	+            	                   	+                   	                     	                     	              	               	             	+                        	              	                  	                         	                         	                   	               	                      	                        	                                        	                	                    	                      	from ODP Leg 135 Ch 15 Table 1 p 234-235

  SR	                 	                 	                  	              	135	 841	B	 21	R	 3	  88.00	    355.9500	Chaproniere	Benthic Foraminifers                         	               	                  	                        	                   	+            	                   	                    	                     	                     	              	               	             	                         	              	                  	                         	                         	                   	               	                      	                        	                                        	                	                    	                      	from ODP Leg 135 Ch 15 Table 1 p 234-235

  SR	                 	                 	                  	              	135	 841	B	 22	R	 1	   5.00	    361.4500	Chaproniere	Benthic Foraminifers                         	               	                  	                        	                   	             	                   	+                   	                     	                     	              	               	             	+                        	              	                  	                         	                         	                   	               	                      	                        	                                        	                	                    	                      	from ODP Leg 135 Ch 15 Table 1 p 234-235

  SR	                 	                 	                  	              	135	 841	B	 22	R	 2	 146.00	    364.3600	Chaproniere	Benthic Foraminifers                         	               	                  	                        	                   	             	                   	+                   	                     	                     	              	               	             	                         	              	                  	                         	                         	                   	               	                      	                        	                                        	                	                    	?                     	from ODP Leg 135 Ch 15 Table 1 p 234-235

  SR	                 	                 	                  	              	135	 841	B	 22	R	 3	  10.00	    364.5000	Chaproniere	Benthic Foraminifers                         	               	                  	                        	                   	             	+                  	+                   	                     	+                    	              	               	             	                         	              	                  	                         	                         	                   	               	                      	                        	                                        	                	                    	                      	from ODP Leg 135 Ch 15 Table 1 p 234-235

  SR	                 	                 	                  	              	135	 841	B	 40	R	 4	  23.00	    539.9600	Chaproniere	Benthic Foraminifers                         	               	                  	+                       	                   	             	                   	                    	                     	                     	              	               	             	                         	              	                  	                         	                         	                   	               	                      	                        	                                        	                	+                   	                      	from ODP Leg 135 Ch 15 Table 1 p 234-235

