Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triorites africaensis	Corollina torosus	Ephedripites zaklinskaiae	Classopollis sp.	Araicaroacites australis	Ephedripites montanaensis	Elaterocolpites castelaini	Cyathidites minor	Elaterosporites protensus	Gnetaceaepollenites boltenhagenii	Corollina jardinei	Buttinia andreevi	Steevesipollenites binodosus	Ephedripites translucidus	Ephedripites dudarensis	Classopollis brasiliensis	Retimonocolpites sp.	Petallasporites distaverrucosus	Striatopollis sp.	Hexaporotricolpites emelianovi	Cycadopites carpentieri	Ephedripites sp. 8	Gnetaceaepollenites barghoornii	Leptolepidites tumulosus	Triorites cf. T. africaensis	Leiotriletes spp.	Ephedripites sp. 2	Elaterosporites castelaini	Circulina parva	Ephedripites sp. 7	Cicatricosisporites potomacensis/brevilaesuratus	Cicatricosisporites baconicus	Cretacaeiporites sp.	Galeacornea causea	Tricolporopollenites spp.	Elaterosporites sp.	Comment



  SR	Cenomanian       	                 	                  	              	159	 962	D	  9	R	 5	  95.00	    159.3500	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	                 	                         	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	+                  	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 10	R	 2	  74.00	    164.2400	Masure   	Pollen/Spores                                	               	                  	+                    	                 	                         	                	                        	+                        	                          	                 	+                        	+                                	                  	                 	                            	                         	                       	+                        	+                   	                               	                 	                              	                       	                  	+                              	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 12	R	 5	  68.00	    187.9800	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	                 	                         	                                 	                  	                 	                            	                         	                       	+                        	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Albian           	                 	                  	              	159	 962	D	 13	R	 1	  23.00	    191.2300	Oboh-Ikuenobe	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	                 	                         	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	+                        	                   	from 159SR Ch 25 Table 4

  SR	Cenomanian       	                 	                  	              	159	 962	D	 13	R	 2	  78.00	    193.2800	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	                 	                         	                                 	                  	                 	                            	                         	                       	+                        	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

