Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prinsius martinii	Placozygus sigmoides	Ericsonia subpertusa	Ericsonia cava	Ellipsolithus bollii	Cruciplacolithus tenuis	Cruciplacolithus primus	Chiasmolithus danicus	Prinsius tenuiculum	Neochiastozygus modestus	Chiasmolithus edentulus	Praeprinsius tenuiculus	Ellipsolithus macellus	Chiastozygus ultimus	Neocrepidolithus neocrassus	Neochiastozygus imbriei	Lanternithus duocavus	Prinsius bisulcus	Neochiastozygus saepes	Chiasmolithus edwardsii	Chiasmolithus bidens	Sphenolithus primus	Bomolithus elegans	Ericsonia robusta	Cruciplacolithus edwardsii	Chiastozygus tenuis	Braarudosphaera bigelowii	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus pileatus	Chiasmolithus consuetus	Fasciculithus stonehengei	Toweius pertusus	Thoracosphaera spp.	Heliolithus cantabriae	Sphenolithus anarrhopus	Heliolithus kleinpellii	Toweius eminens	Discoaster bramlettei	Heliolithus riedelii	Discoaster nobilis	Discoaster mohleri	Markalius inversus	Fasciculithus involutus	Ellipsolithus distichus	Toweius tovae	Discoaster multiradiatus	Heliolithus floris	Fasciculithus aubertae	Campylosphaera eodela	Tribrachiatus bramlettei	Rhomboaster cuspis	Discoaster diastypus	Discoaster salisburgensis	Rhomboaster bramlettei	Lophodolithus nascens	Tribrachiatus contortus	Tribrachiatus digitalis	Tribrachiatus orthostylus	Sphenolithus editus	Sphenolithus radians	Sphenolithus orphanknollensis	Discoaster lodoensis	Chiasmolithus solitus	Discoaster lenticularis	Discoaster kuepperi	Transversopontis pulcher	Toweius magnicrassus	Toweius gammation	Lophodolithus mochlophorus	Ericsonia formosa	Toweius crassus	Zygrhablithus bijugatus	Helicosphaera seminulum	Helicosphaera lophota	Discoaster sublodoensis	Coccolithus pelagicus	Campylosphaera dela	Reticulofenestra dictyoda	Chiasmolithus expansus	Rhabdosphaera inflata	Discoaster barbadiensis	Coccolithus eopelagicus	Pseudotriquetrorhabdulus inversus	Discoaster strictus	Neococcolithes dubius	Nannotetrina fulgens	Chiasmolithus grandis	Discoaster saipanensis	Chiasmolithus gigas	Sphenolithus furcatolithoides	Neococcolithes minutus	Lanternithus minutus	Nannotetrina quadrata	Nannotetrina pappii	Sphenolithus spiniger	Reticulofenestra umbilica	Discoaster bifax	Pemma papillatum	Cribrocentrum reticulatum	Ericsonia obruta	Helicosphaera compacta	Sphenolithus predistentus	Discoaster tanii	Dictyococcites bisectus	Bramletteius serraculoides	Discoaster nodifer	Comment



  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	  2	H	 2	 115.00	      8.4500	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	+                      	                       	                                 	                   	                     	                    	R                    	+                     	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	+                        	                	                      	                         	                	+                      	                          	+                 	       

  IR	                 	Eocene           	                  	CP14b         	171	1051	A	  4	H	 3	 145.00	     29.2500	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	r                   	                     	                       	r                  	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	R                    	                      	                   	                             	+                     	                    	                     	                   	                     	+                        	                	                	+                        	                	                      	                         	                	+                      	                          	                  	C. grandis very rare, forms similar to C. oamaruensis present - probably at the top of CP14b.

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	  5	H	 3	 145.00	     38.7500	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	+                      	                       	                                 	                   	                     	                    	+                    	+                     	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	+                        	                	+                     	+                        	                	+                      	+                         	                  	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	  6	H	 3	 145.00	     48.2500	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	+                    	+                     	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	+                        	                	                      	+                        	                	+                      	+                         	                  	       
