Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra lockerii	Pontosphaera spp.	Isthmolithus recurvus	Helicosphaera perch-nielseniae	Helicosphaera paleocarteri	Helicosphaera carteri	Discoaster variabilis	Discoaster druggii	Discoaster deflandrei	Discoaster adamanteus	Dictyococcites bisectus	Dictyococcites antarcticus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Coccolithus miopelagicus	Chiasmolithus spp.	Calcidiscus premacintyrei	Helicosphaera intermedia	Discoaster dilatus	Pyrocyclus spp.	Reticulofenestra Z	Helicosphaera euphratis	Geminilithella rotula	Cruciplacolithus primus	Calcidiscus leptoporus	Reticulofenestra small-sized	Reticulofenestra pseudoumbilicus	Discoaster exilis	Sphenolithus heteromorphus	Rhabdosphaera procera	Dictyococcites productus	Reticulofenestra medium-sized	Helicosphaera walbersdorfensis	Fasciculithus spp.	Calcidiscus macintyrei	Sphenolithus neoabies	Reticulofenestra gelida	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa large	Gephyrocapsa medium-sized	Reticulofenestra asanoi	Gephyrocapsa (small)	Gephyrocapsa parallela	Syracosphaera pulchra	Cribrocentrum reticulatum	Sphenolithus abies	Braarudosphaera bigelowii	Comment



  IR	                 	                 	                  	              	181	1122	C	 15	X	CC	  28.00	    111.2800	nannos   	Nannofossils                                 	C              	G                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	F                         	                           	                          	C                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	F                     	                            	                                	                 	                          	                     	A                       	                             	                              	                  	                      	                     	                       	                        	                    	                  	C                        	                       	C                   	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 16	X	CC	  15.00	    122.8800	nannos   	Nannofossils                                 	C              	G                 	R                      	                         	R                        	                 	                     	                              	                          	C                    	                     	                  	                     	                     	R                      	R                         	R                          	                          	C                    	R                       	                  	                         	                        	                  	               	                  	                       	                     	                       	F                     	                            	R                               	                 	                          	                     	A                       	C                            	                              	                  	                      	                     	                       	                        	R                   	                  	C                        	                       	A                   	                      	                     	                         	R                 	                         	       

  IR	                 	                 	                  	              	181	1122	C	 17	X	CC	  15.00	    133.3500	nannos   	Nannofossils                                 	R              	G                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	                          	                           	                          	F                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	                      	F                           	                                	                 	                          	                     	                        	C                            	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 18	X	CC	   9.00	    140.5100	nannos   	Nannofossils                                 	C              	G                 	                       	                         	R                        	                 	                     	                              	                          	F                    	                     	                  	R                    	                     	                       	R                         	                           	                          	C                    	                        	R                 	                         	                        	                  	R              	                  	                       	                     	R                      	C                     	A                           	R                               	                 	                          	                     	A                       	                             	                              	                  	                      	                     	                       	                        	                    	                  	F                        	                       	C                   	R                     	                     	                         	                  	                         	       
