Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lithology ABC,MAJ Lithology abundance (%),MAJ Lithology color,Bottom contact definition,Clasts,Bioturbation intensity rank,Macrofossil abundance name,Diagenetic structure,Deformational structures,Bioturbation intensity,General interval comment,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
336-U1383E-1H-2-A,336,U1383,E,1,1-2,H,2,A,0,16,1.5,1.66,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,5YR 5/4 (reddish brown),,,,,,,,,,,,,,0
336-U1383E-1H-2-A,336,U1383,E,1,1-2,H,2,A,16,35,1.66,1.85,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,5YR 5/6 (yellowish red),,,,,,,,,,,,,,1
336-U1383E-1H-2-A,336,U1383,E,1,1-2,H,2,A,35,50,1.85,2,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),,,,,,,,More foraminifers,,,,,,2
336-U1383E-1H-CC-A,336,U1383,E,1,1-CC,H,CC,A,0,14,3,3.14,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,,,,,,,3
336-U1383E-2H-1-A,336,U1383,E,2,2-1,H,1,A,0,22,3.1,3.32,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),diffuse,,,,,,,Laminations at the bottom due to coring disturbance,,,,,,4
336-U1383E-2H-1-A,336,U1383,E,2,2-1,H,1,A,22,88.5,3.32,3.985,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,,,,,5
336-U1383E-2H-2-A,336,U1383,E,2,2-2,H,2,A,0,15.5,3.98,4.135,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,,,,,,,6
336-U1383E-2H-2-A,336,U1383,E,2,2-2,H,2,A,15.5,33.5,4.135,4.315,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),sharp,,,,,,,Far less foraminifers,,,,,,7
336-U1383E-2H-2-A,336,U1383,E,2,2-2,H,2,A,33.5,47.5,4.315,4.455,,,,,,,,,,,,,,Drilling disturbance,,,,,,8
336-U1383E-2H-2-A,336,U1383,E,2,2-2,H,2,A,47.5,96.5,4.455,4.945,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,"A lot of foraminifers, some black clasts (volcanic rocks?) of fine sand in grain size",,,,,,9
