Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,File Data,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1431D-1H-1-A,0.0,24.0,0.0,0.24,,silty clay,with biogenic components,silty clay ,silty clay with biogenic components ,,5YR 5/3 (reddish brown),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,gradational,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,1,H,1,A
349-U1431D-1H-1-A,24.0,72.0,0.24,0.72,,clayey silt,with volcanic ash,clayey silt ,clayey silt with volcanic ash ,,2.5YR 5/3 (reddish brown),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,gradational,curved,thin bed,lamination,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,1,H,1,A
349-U1431D-1H-1-A,72.0,150.0,0.72,1.5,,clay,,clay ,clay ,,2.5Y 4/1 (dark gray),very slightly consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,,,medium bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,1,H,1,A
349-U1431D-1H-2-A,0.0,15.0,1.5,1.65,,clay,,clay ,clay ,,2.5Y 5/1 (gray),very slightly consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,gradational,curved,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,1,H,2,A
349-U1431D-1H-2-A,15.0,28.0,1.65,1.78,,clayey silt,with volcanic ash,clayey silt ,clayey silt with volcanic ash ,,2.5YR 7/2 (pale red),very slightly consolidated,silt,2,silt,2,moderate,P,1,,,,,,,,,,,,irregular,curved,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,1,H,2,A
349-U1431D-1H-2-A,28.0,84.0,1.78,2.34,,silty clay,,silty clay ,silty clay ,,2.5Y 5/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,gradational,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,1,H,2,A
349-U1431D-1H-2-A,84.0,100.0,2.34,2.5,,silty clay,with volcanic ash,silty clay ,silty clay with volcanic ash ,,2.5Y 4/1 (dark gray),very slightly consolidated,clay,1,silt,2,moderate,P,1,,,,,,,,,,,,,,thin bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,1,H,2,A
349-U1431D-1H-3-A,0.0,58.0,2.5,3.08,,silty clay,with gravel,silty clay ,silty clay with gravel,,2.5Y 5/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,containing two volcanic ash gravels at intervals of 10-18 and 38-48 cm,gradational,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,1,H,3,A
349-U1431D-1H-CC-A,0.0,9.0,3.08,3.17,,clay,,clay ,clay ,,2.5Y 5/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,,,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,1,H,CC,A
349-U1431D-2H-1-A,0.0,35.0,3.2,3.55,,silty clay,,silty clay ,silty clay ,,GLEY 1 4/5GY (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,erosive,horizontal,thick bed,graded bedding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,1,A
