Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
353-U1444B-1H-1-A,0,29,0,0.29,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,brown,10YR 5/4 (yellowish brown),gradational,,,,,,,,mottling,,,,5% foraminifera and ~1% diatoms,,,,353,U1444,B,1,H,1,A,,,
353-U1444B-1H-1-A,29,45,0.29,0.45,,nannofossil rich,clay,with silt,nannofossil rich clay,nannofossil rich clay with silt,clay with silt,,brown,2.5Y 5/2 (grayish brown),gradational,,,,,,,,mottling,,,,5% foraminifera and ~1% diatoms,,,,353,U1444,B,1,H,1,A,,,
353-U1444B-1H-1-A,45,99,0.45,0.99,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,,dark gray,2.5Y 4/1 (dark gray),gradational,,,,,,,,,,,,"Contains silty turbiditic bands at 76,85,94,98 cm. Contains more mica and quartz than the oxidized portion in the upper portion, and contains less biosilica.",,,,353,U1444,B,1,H,1,A,,,
353-U1444B-1H-1-A,99,150,0.99,1.5,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,1,H,1,A,,,
353-U1444B-1H-2-A,0,115,1.5,2.65,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,1,H,2,A,,,
353-U1444B-1H-3-A,0,150,3,4.5,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,1,H,3,A,,,
353-U1444B-1H-4-A,0,150,4.5,6,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,1,H,4,A,,,
353-U1444B-1H-5-A,0,115,6,7.15,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,1,H,5,A,,,
353-U1444B-1H-6-A,0,150,7.5,9,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,1,H,6,A,,,
353-U1444B-1H-7-A,0,69,9,9.69,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,1,H,7,A,,,
353-U1444B-1H-CC-A,0,20,9.69,9.89,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,1,H,CC,A,,,
353-U1444B-2H-1-A,0,115,9.5,10.65,,silty,clay,,silty clay,silty clay,clay,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,2,H,1,A,,,
353-U1444B-2H-2-A,0,76,11,11.76,,silty,clay,,silty clay,silty clay,clay,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,2,H,2,A,,,
353-U1444B-2H-2-A,76,150,11.76,12.5,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,2,H,2,A,,,
353-U1444B-2H-3-A,0,115,12.5,13.65,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,2,H,3,A,,,
353-U1444B-2H-4-A,0,150,14,15.5,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,2,H,4,A,,,
353-U1444B-2H-5-A,0,150,15.5,17,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,2,H,5,A,,,
353-U1444B-2H-6-A,0,102,17,18.02,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,2,H,6,A,,,
353-U1444B-2H-7-A,0,80,18.02,18.82,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,2,H,7,A,,,
353-U1444B-2H-CC-A,0,21,18.82,19.03,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,2,H,CC,A,,,
353-U1444B-3H-1-A,0,47,19,19.47,,silty,clay,,silty clay,silty clay,clay,,dark gray,2.5Y 4/1 (dark gray),irregular,scoured,,,,,,,,,,,Blackish coloration at the bottom of silt (prior to sand layer),,,,353,U1444,B,3,H,1,A,,,
353-U1444B-3H-1-A,0,110,19,20.1,,silty,clay,,silty clay,silty clay,clay,,dark gray,2.5Y 4/1 (dark gray),irregular,scoured,,,,,,,,,,,,,,,353,U1444,B,3,H,1,A,,,
353-U1444B-3H-1-A,47,68,19.47,19.68,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),irregular,,,,,,,,,,,,,,,,353,U1444,B,3,H,1,A,,,
353-U1444B-3H-1-A,68,81,19.68,19.81,,silty,clay,,silty clay,silty clay,clay,,dark gray,2.5Y 4/1 (dark gray),irregular,scoured,,,,,,,,,,,Blackish coloration at the bottom of silt (prior to sand layer),,,,353,U1444,B,3,H,1,A,,,
353-U1444B-3H-1-A,81,97,19.81,19.97,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),irregular,,,,,,,,,,,,,,,,353,U1444,B,3,H,1,A,,,
353-U1444B-3H-2-A,0,37,20.5,20.87,,silty,clay,,silty clay,silty clay,clay,,dark gray,2.5Y 4/1 (dark gray),irregular,sharp,,,,,,,,,,,,,,,353,U1444,B,3,H,2,A,,,
353-U1444B-3H-2-A,37,150,20.87,22,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,3,H,2,A,,,
353-U1444B-3H-3-A,0,14,22,22.14,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),irregular,sharp,,,,,,,,,,,,,,,353,U1444,B,3,H,3,A,,,
353-U1444B-3H-3-A,14,40,22.14,22.4,,silty,clay,,silty clay,silty clay,clay,,dark gray,2.5Y 4/1 (dark gray),gradational,,,,,,,,,,,,,,,,353,U1444,B,3,H,3,A,,,
353-U1444B-3H-3-A,40,115,22.4,23.15,,clayey,silt,with sand,clayey silt,clayey silt with sand,silt with sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,3,H,3,A,,,
353-U1444B-3H-4-A,0,115,23.5,24.65,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,3,H,4,A,,,
353-U1444B-3H-5-A,0,150,25,26.5,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,3,H,5,A,,,
353-U1444B-3H-6-A,0,68,26.5,27.18,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,3,H,6,A,,,
353-U1444B-3H-7-A,0,72,27.18,27.9,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,3,H,7,A,,,
353-U1444B-3H-CC-A,0,18,27.9,28.08,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,3,H,CC,A,,,
353-U1444B-4H-1-A,0,52,28.5,29.02,,silty,sand,,silty sand,silty sand,sand,,dark gray,2.5Y 4/1 (dark gray),irregular,sharp,,,,,,,,,,,,,,,353,U1444,B,4,H,1,A,,,
353-U1444B-4H-1-A,52,114,29.02,29.64,,,clay,with silt,clay,clay with silt,clay with silt,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,Contains blackish bleb at 107 cm,,,,353,U1444,B,4,H,1,A,,,
353-U1444B-4H-2-A,0,150,30,31.5,,,clay,with silt,clay,clay with silt,clay with silt,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,color banding,,,,"Green banding observed throughout section, with color gradation to fainter colors (and back), along with some minor mottling.",,,,353,U1444,B,4,H,2,A,,,
353-U1444B-4H-3-A,0,36,31.5,31.86,,,clay,with silt,clay,clay with silt,clay with silt,,dark gray,2.5Y 4/1 (dark gray),planar,scoured,,,,,,,,,,,,,,,353,U1444,B,4,H,3,A,,,
353-U1444B-4H-3-A,36,44,31.86,31.94,,sandy,silt,,sandy silt,sandy silt,silt,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,Organic rich section (sticks),,,,353,U1444,B,4,H,3,A,,,
353-U1444B-4H-3-A,44,116,31.94,32.66,,,clay,with silt,clay,clay with silt,clay with silt,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,4,H,3,A,,,
353-U1444B-4H-4-A,0,20,33,33.2,,clayey,silt,,clayey silt,clayey silt,silt,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,4,H,4,A,,,
353-U1444B-4H-4-A,20,150,33.2,34.5,,sandy,silt,with clay,sandy silt,sandy silt with clay,silt with clay,,dark gray,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1444,B,4,H,4,A,,,
