Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
356-U1463D-1H-1-A,0,27,0,0.27,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,creamy gray,pteropod,grading (normal),,,,,erosive,sub-horizontal,"Unlithified, pteropods rich (>90%) packstone. The bed shows normal grading. The bottom contact is characterized by a sharp erosive boundary. (refer to close-up photo)",,,,356,U1463,D,1,H,1,A,,,
356-U1463D-1H-1-A,27,125,0.27,1.25,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,creamy gray,pteropod,,,,,,,,"Unlithified, homogeneous creamy gray mudstone with very fine sand size grains. Sparse pteropods.",,,,356,U1463,D,1,H,1,A,,,
356-U1463D-1H-CC-A,0,21,1.25,1.46,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,creamy gray,,,,,,,,,"Unlithified, homogeneous creamy gray mudstone with very fine sand size grains.",,,,356,U1463,D,1,H,CC,A,,,
356-U1463D-2H-1-A,0,150,1.4,2.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,creamy gray,,,,,,,,,"Unlithified, homogeneous creamy gray mudstone with very fine sand size grains.",,,,356,U1463,D,2,H,1,A,,,
356-U1463D-2H-2-A,0,150,2.9,4.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,creamy gray,pteropod,,,,moderate [B06],3,,,"Unlithified, homogeneous creamy gray mudstone with very fine sand size grains. Wackestone patches are intercalted.",,,,356,U1463,D,2,H,2,A,,,
356-U1463D-2H-3-A,0,150,4.4,5.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,creamy gray,,,,,,,,,"Unlithified, homogeneous creamy gray mudstone.",,,,356,U1463,D,2,H,3,A,,,
356-U1463D-2H-4-A,0,150,5.9,7.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,creamy gray,bivalve,,,,,,,,"Unlithified, homogeneous creamy gray mudstone. It contains bivalves and pteropods.",,,,356,U1463,D,2,H,4,A,,,
356-U1463D-2H-4-A,0,150,5.9,7.4,,,,,,,,,pteropod,,,,,,,,,,,,356,U1463,D,2,H,4,A,,,
356-U1463D-2H-5-A,0,150,7.4,8.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,creamy gray,pteropod,,,,,,,,"Unlithified, homogeneous creamy gray mudstone. Sparse pteropods.",,,,356,U1463,D,2,H,5,A,,,
356-U1463D-2H-6-A,0,120,8.9,10.1,unlithified [Leg194],,mudstone [E&K72; D62],1,with skeletal carbonate,mudstone with skeletal carbonate,neritic,creamy gray,bivalve,,,,,,bioturbated,sub-horizontal,"Unlithified, homogeneous creamy gray mudstone with bivalves, gastropods and pteropods.",,,,356,U1463,D,2,H,6,A,,,
356-U1463D-2H-6-A,0,120,8.9,10.1,,,,,,,,,gastropod,,,,,,,,,,,,356,U1463,D,2,H,6,A,,,
356-U1463D-2H-6-A,0,120,8.9,10.1,,,,,,,,,pteropod,,,,,,,,,,,,356,U1463,D,2,H,6,A,,,
356-U1463D-2H-7-A,0,21,10.1,10.31,unlithified [Leg194],,wackestone [E&K72; D62],2,with skeletal carbonate,wackestone with skeletal carbonate,neritic,creamy gray,bivalve,,,,common [B06],4,,,"Unlithified, creamy gray wackestone with skeletal carbonate. It contains bivalves, scaphopods, and calcareous burrow.",,,,356,U1463,D,2,H,7,A,,,
356-U1463D-2H-7-A,0,21,10.1,10.31,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1463,D,2,H,7,A,,,
356-U1463D-2H-7-A,0,21,10.1,10.31,,,,,,,,,trace fossil,,,,,,,,,,,,356,U1463,D,2,H,7,A,,,
356-U1463D-2H-7-A,0,70,10.1,10.8,,,,,,,,,trace fossil,,,,,,,,,,,,356,U1463,D,2,H,7,A,,,
356-U1463D-2H-7-A,21,70,10.31,10.8,unlithified [Leg194],,packstone [E&K72; D62],3,with skeletal carbonate,packstone with skeletal carbonate,neritic,creamy gray,bivalve,,,,common [B06],4,,,"Unlithified, creamy gray packstone with skeletal carbonate. It contains bivalves, calcareous burrows. Dark color medium to coarse sand size grains occur. Common bioturbation.",,,,356,U1463,D,2,H,7,A,,,
356-U1463D-2H-CC-A,0,17,10.8,10.97,unlithified [Leg194],,packstone [E&K72; D62],3,with skeletal carbonate,packstone with skeletal carbonate,neritic,creamy gray,echinoderm,,,,,,,,,,,,356,U1463,D,2,H,CC,A,,,
356-U1463D-2H-CC-A,0,17,10.8,10.97,,,,,,,,,bivalve,,,,common [B06],4,,,"Unlithified, creamy gray packstone with skeletal carbonate. It contains bivalves, calcareous burrows. Dark color medium to coarse sand size grains occur. Common bioturbation.",,,,356,U1463,D,2,H,CC,A,,,
