Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
366-U1491C-1H-CC-A,0,5,0,0.05,IA,,,,,,,clayey,mud,with silt,clayey mud with silt,7.5YR 3/3 (dark brown),,unconsolidated,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,C,1,H,CC,A,,,,0
366-U1491C-2H-1-A,0,150,0.1,1.6,IA,,,,curviplanar,gradational,sub-horizontal,clayey,mud,with lithic clasts,clayey mud with lithic clasts,7.5YR 4/4 (brown),very thick bed,unconsolidated,clay,1,pebble,9,Brown pelagic mud,,,,,lithic,2,pebble,10,pebble,9,subangular,lithic,2,granule,8,granule,8,subangular,highly weathered ultramafics,lithic matrix,well,with carbonates,,,,,366,U1491,C,2,H,1,A,,,,1
366-U1491C-2H-2-A,0,95,1.6,2.55,IA,,,,planar,gradational,sub-horizontal,clayey,mud,,clayey mud,7.5YR 4/6 (strong brown),very thick bed,unconsolidated,clay,1,silt,2,Brown pelagic mud,,,,,,,,,,,,,,,,,,,,lithic matrix,well,with carbonates,,,,,366,U1491,C,2,H,2,A,,,,2
366-U1491C-2H-3-A,0,150,3.1,4.6,IA,,,,irregular,gradational,sub-horizontal,clayey,mud,with lithic clasts,clayey mud with lithic clasts,7.5YR 4/4 (brown),thick bed,unconsolidated,clay,1,pebble,9,Brown pelagic mud,,,,,lithic,5,pebble,10,pebble,9,subangular,lithic,5,granule,8,granule,8,subangular,,lithic matrix,,with carbonates,,,,,366,U1491,C,2,H,3,A,,,,3
366-U1491C-2H-4-A,0,80,4.6,5.4,IA,,,,irregular,gradational,sub-horizontal,clayey,mud,with lithic clasts,clayey mud with lithic clasts,7.5YR 4/4 (brown),thick bed,unconsolidated,clay,1,pebble,9,Brown pelagic mud,,,,,lithic,5,pebble,10,pebble,9,subangular,lithic,2,granule,8,granule,8,subangular,,lithic matrix,,with carbonates,,,,,366,U1491,C,2,H,4,A,,,,4
366-U1491C-2H-4-A,80,96,5.4,5.56,IA,,,,planar,sharp,inclined,silty,mud,with sand,silty mud with sand,7.5YR 4/2 (brown),massive,unconsolidated,silt,2,granule,8,,,,,,lithic,5,very coarse sand,7,granule,8,subangular,lithic,2,very coarse sand,7,very coarse sand,7,subangular,,lithic matrix,,with carbonates,,,,,366,U1491,C,2,H,4,A,,,,5
366-U1491C-2H-5-A,0,7,6.1,6.17,IA,,,,planar,wavy,inclined,silty,mud,with lithic clasts,silty mud with lithic clasts,7.5YR 4/2 (brown),massive,unconsolidated,silt,2,pebble,9,,,,,,lithic,5,pebble,10,pebble,9,sub-rounded,lithic,,coarse sand,6,very coarse sand,7,subangular,,lithic matrix,,with carbonates,,,,,366,U1491,C,2,H,5,A,,,,6
366-U1491C-2H-5-A,7,141,6.17,7.51,IA,,,,planar,wavy,,clayey,medium to coarse sand,with lithic clasts,clayey medium to coarse sand with lithic clasts,7.5YR 4/4 (brown),thick bed,unconsolidated,clay,1,pebble,9,Brown pelagic mud,,,,,carbonate,2,pebble,10,pebble,9,subangular,lithic,2,pebble,10,pebble,9,subangular,,lithic matrix,,with carbonates,,,,,366,U1491,C,2,H,5,A,,,,7
366-U1491C-2H-6-A,0,33,7.51,7.84,IB,,,,irregular,wavy,sub-horizontal,clayey,breccia-conglomerate,with lithic clasts,clayey breccia-conglomerate with lithic clasts,7.5YR 6/4 (light brown),massive,unconsolidated,granule,8,pebble,9,,,,,,carbonate,30,pebble,10,pebble,9,angular,carbonate,30,granule,8,granule,8,subangular,,lithic matrix,,with carbonates,,,,,366,U1491,C,2,H,6,A,,,,8
366-U1491C-2H-CC-A,0,17,7.84,8.01,IB,,,,irregular,wavy,sub-horizontal,clayey,breccia-conglomerate,with lithic clasts,clayey breccia-conglomerate with lithic clasts,7.5YR 6/4 (light brown),massive,unconsolidated,granule,8,pebble,9,,,,,,carbonate,40,pebble,10,pebble,9,angular,carbonate,30,granule,8,granule,8,subangular,,lithic matrix,,with carbonates,,,,,366,U1491,C,2,H,CC,A,,,,9
