Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
366-U1495A-1F-1-A,0,25,0.0,0.25,I,,,,curviplanar,wavy,,muddy,fine sand,with foraminifers,muddy fine sand with foraminifers,10YR 5/2 (grayish brown),,unconsolidated,silt,2,medium sand,5,,poor,,,,,,,,,,,,,,,,,,,lithic matrix,,,,,,,366,U1495,A,1,F,1,A,,,
366-U1495A-1F-1-A,25,119,0.25,1.19,II,,,,,,,serpentinite,mud,with sand,serpentinite mud with sand,5G 7/4 (light green),,unconsolidated,clay,1,granule,8,,poor,,,,,1,coarse sand,6,medium sand,5,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1495,A,1,F,1,A,,,
366-U1495A-1F-CC-A,0,10,1.19,1.29,II,,,,,,,serpentinite,mud,with sand,serpentinite mud with sand,5G 7/4 (light green),,unconsolidated,clay,1,granule,8,,poor,,,,,1,coarse sand,6,medium sand,5,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1495,A,1,F,CC,A,,,
366-U1495A-2F-1-A,0,40,1.3,1.7,II,,,,irregular,scoured,inclined,"matrix-supported, polymict",breccia-conglomerate,with clay,"matrix-supported, polymict breccia-conglomerate with clay",10YR 5/2 (grayish brown),,unconsolidated,coarse sand,6,pebble,9,,poor,,,,,3,fine sand,4,pebble,9,subangular,lithic,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,with aragonite crystals,,,,,366,U1495,A,2,F,1,A,,,
366-U1495A-2F-1-A,40,78,1.7,2.08,III,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10Y 5/2 (grayish green),,unconsolidated,silt,2,granule,8,,poor,,,,,7,coarse sand,6,granule,8,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1495,A,2,F,1,A,,,
366-U1495A-2F-1-A,78,103,2.08,2.33,III,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1495,A,2,F,1,A,,,
366-U1495A-2F-CC-A,0,10,2.33,2.43,III,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10Y 5/2 (grayish green),,unconsolidated,silt,2,granule,8,,poor,,,,,7,coarse sand,6,granule,8,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1495,A,2,F,CC,A,,,
366-U1495A-3G-CC-A,0,20,5.8,6.0,III,,,,,,,"matrix-supported, monomict",breccia-conglomerate,,"matrix-supported, monomict breccia-conglomerate",10B 5/1 (bluish gray),,unconsolidated,pebble,9,pebble,9,,poor,,,,,20,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1495,A,3,G,CC,A,,,
366-U1495A-4F-1-A,0,46,6.0,6.46,III,,,,irregular,gradational,horizontal,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 5/1 (bluish gray),,unconsolidated,silt,2,fine sand,4,,poor,,,,ultramafic rock,80,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1495,A,4,F,1,A,,,
366-U1495A-4F-1-A,46,110,6.46,7.1,III,,,,,,,"clast-supported, polymict",breccia-conglomerate,with mud,"clast-supported, polymict breccia-conglomerate with mud",5BG 2.5/1 (grayish black),,unconsolidated,pebble,9,pebble,9,,poor,,,,,,,,,,,,,,,,,,,serpentine clay matrix,,,,,,,366,U1495,A,4,F,1,A,,,
366-U1495A-4F-2-A,0,33,7.1,7.43,III,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,25,pebble,10,pebble,9,sub-rounded,serpentinite,10,coarse sand,6,pebble,9,deformed,,serpentine clay matrix,,,,,,,366,U1495,A,4,F,2,A,,,
366-U1495A-4F-2-A,33,108,7.43,8.18,III,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1495,A,4,F,2,A,,,
366-U1495A-4F-3-A,0,24,8.18,8.42,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10B 5/1 (bluish gray),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,5,fine sand,4,granule,8,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1495,A,4,F,3,A,,,
366-U1495A-5G-CC-A,0,24,10.46,10.7,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10B 6/1 (bluish gray),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,20,pebble,10,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,,Matrix disturbed by drilling from 9 to 8 cm,,,,366,U1495,A,5,G,CC,A,,,
