Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
363-U1483A-1H-1-A,0,3.5,0,0.035,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,7.5YR 6/4 (light brown),none [DB86],,,,,,sponge spicule and diatom by smear slide observation,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,,0
363-U1483A-1H-1-A,3.5,4.5,0.035,0.045,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,7.5YR 3/1 (very dark gray),none [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,,1
363-U1483A-1H-1-A,4.5,7,0.045,0.07,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,7.5YR 6/4 (light brown),none [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,,2
363-U1483A-1H-1-A,7,17,0.07,0.17,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,7.5YR 6/4 (light brown),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,,3
363-U1483A-1H-1-A,17,150,0.17,1.5,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,1,A,,,,,4
363-U1483A-1H-2-A,0,12,1.5,1.62,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,2,A,,,,,5
363-U1483A-1H-2-A,12,150,1.62,3,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,2,A,,,,,6
363-U1483A-1H-3-A,0,145,3,4.45,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,3,A,,,,,7
363-U1483A-1H-4-A,0,150,4.5,6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,4,A,,,,,8
363-U1483A-1H-5-A,0,145,6,7.45,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,dark-color patch includes wood fragments and framboidal pyrite,,,,,,,,,,,,,363,U1483,A,1,H,5,A,,,,,9
363-U1483A-1H-6-A,0,96,7.5,8.46,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,6,A,,,,,10
363-U1483A-1H-CC-A,0,12,8.46,8.58,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,CC,A,,,,,11
363-U1483A-2H-1-A,0,150,8.6,10.1,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,1,A,,,,,12
363-U1483A-2H-2-A,0,150,10.1,11.6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,2,A,,,,,13
363-U1483A-2H-3-A,0,114,11.6,12.74,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,3,A,,,,,14
363-U1483A-2H-3-A,114,145,12.74,13.05,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod-concentrated layer in the upper part,,,,,,,,,,,,,363,U1483,A,2,H,3,A,,,,,15
363-U1483A-2H-4-A,0,150,13.1,14.6,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,4,A,,,,,16
363-U1483A-2H-5-A,0,150,14.6,16.1,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,5,A,,,,,17
363-U1483A-2H-6-A,0,145,16.1,17.55,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,6,A,,,,,18
363-U1483A-2H-7-A,0,15,17.6,17.75,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,7,A,,,,,19
363-U1483A-2H-7-A,15,72,17.75,18.32,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,7,A,,,,,20
363-U1483A-2H-CC-A,0,24,18.32,18.56,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,CC,A,,,,,21
363-U1483A-3H-1-A,0,150,18.1,19.6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,1,A,,,,,22
363-U1483A-3H-2-A,0,150,19.6,21.1,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,2,A,,,,,23
363-U1483A-3H-3-A,0,94,21.1,22.04,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,3,A,,,,,24
363-U1483A-3H-3-A,94,145,22.04,22.55,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,3,A,,,,,25
363-U1483A-3H-4-A,0,150,22.6,24.1,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,4,A,,,,,26
363-U1483A-3H-5-A,0,12,24.1,24.22,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,5,A,,,,,27
363-U1483A-3H-5-A,12,150,24.22,25.6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,5,A,,,,,28
363-U1483A-3H-6-A,0,117.8,25.6,26.778,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,6,A,,,,,29
363-U1483A-3H-6-A,117.8,119.5,26.778,26.795,,ash(tuff) [MMK88m],ash(tuff),,10YR 2/1 (black),slight [DB86],,,,,,tephra,,,,,,,,,,,,,363,U1483,A,3,H,6,A,,,,,30
363-U1483A-3H-6-A,119.5,145,26.795,27.05,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,6,A,,,,,31
363-U1483A-3H-7-A,0,69,27.1,27.79,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,7,A,,,,,32
363-U1483A-3H-CC-A,0,20,27.79,27.99,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,CC,A,,,,,33
363-U1483A-4H-1-A,0,90,27.6,28.5,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,1,A,,,,,34
363-U1483A-4H-1-A,90,142,28.5,29.02,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,1,A,,,,,35
363-U1483A-4H-2-A,0,142,29.02,30.44,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,2,A,,,,,36
363-U1483A-4H-3-A,0,130,30.44,31.74,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,3,A,,,,,37
363-U1483A-4H-3-A,130,142,31.74,31.86,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,3,A,,,,,38
363-U1483A-4H-4-A,0,100,31.86,32.86,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,4,A,,,,,39
363-U1483A-4H-4-A,100,142,32.86,33.28,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,4,A,,,,,40
363-U1483A-4H-5-A,0,142,33.28,34.7,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,5,A,,,,,41
363-U1483A-4H-6-A,0,142,34.7,36.12,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,6,A,,,,,42
363-U1483A-4H-7-A,0,119,36.17,37.36,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,7,A,,,,,43
363-U1483A-4H-CC-A,0,41,37.36,37.77,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,CC,A,,,,,44
363-U1483A-5H-1-A,0,60,37.1,37.7,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,1,A,,,,,45
