Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
363-U1485C-1H-1-A,0,150,0,1.5,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 4/2 (grayish green),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,1,H,1,A,,,,
363-U1485C-1H-2-A,0,150,1.5,3,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 4/2 (grayish green),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,1,H,2,A,,,,
363-U1485C-1H-3-A,0,150,3,4.5,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 4/2 (grayish green),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,1,H,3,A,,,,
363-U1485C-1H-4-A,0,60,4.5,5.1,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 4/2 (grayish green),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,1,H,4,A,,,,
363-U1485C-1H-4-A,60,61,5.1,5.11,,ash(tuff) [MMK88m],ash(tuff),,5Y 2.5/1 (black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,1,H,4,A,,,,
363-U1485C-1H-4-A,61,150,5.11,6,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 4/2 (grayish green),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,1,H,4,A,,,,
363-U1485C-1H-5-A,0,150,6,7.5,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 4/2 (grayish green),heavy [DB86],,,,,,intercalated with thin silty sand (41-42 cm),,,,,,,,,,,,,363,U1485,C,1,H,5,A,,,,
363-U1485C-1H-6-A,0,81,7.5,8.31,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 4/2 (grayish green),heavy [DB86],,,,,,"frequently intercalated with thin silty sand (25, 45, 65, 76 cm)",,,,,,,,,,,,,363,U1485,C,1,H,6,A,,,,
363-U1485C-1H-CC-A,0,20,8.31,8.51,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 4/2 (grayish green),heavy [DB86],,,,,,frequently intercalated with thin silty sand,,,,,,,,,,,,,363,U1485,C,1,H,CC,A,,,,
363-U1485C-2H-1-A,0,134,8.5,9.84,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,"frequently intercalated with thin silty sand (23, 50, 88, 102 cm)",,,,,,,,,,,,,363,U1485,C,2,H,1,A,,,,
363-U1485C-2H-1-A,134,139,9.84,9.89,,silty sand [S54],silty sand,,5GY 3/1 (very dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,2,H,1,A,,,,
363-U1485C-2H-1-A,139,151,9.89,10.01,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,2,H,1,A,,,,
363-U1485C-2H-10-A,0,60,16.94,17.54,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,2,H,10,A,,,,
363-U1485C-2H-10-A,60,66,17.54,17.6,,silty sand [S54],silty sand,,5GY 3/1 (very dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,2,H,10,A,,,,
363-U1485C-2H-10-A,66,96,17.6,17.9,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,"frequently intercalated with thin silty sand (55, 71, 89 cm)",,,,,,,,,,,,,363,U1485,C,2,H,10,A,,,,
363-U1485C-2H-11-A,0,14,17.9,18.04,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,2,H,11,A,,,,
363-U1485C-2H-11-A,14,33,18.04,18.23,,silty sand [S54],silty sand,,5GY 3/1 (very dark greenish gray),heavy [DB86],,,,,,top part of wood fragments,,,,,,,,,,,,,363,U1485,C,2,H,11,A,,,,
363-U1485C-2H-11-A,33,78,18.23,18.68,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,2,H,11,A,,,,
363-U1485C-2H-2-A,0,151,10.01,11.52,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,"frequently intercalated with thin silty sand (28, 66, 145 cm)",,,,,,,,,,,,,363,U1485,C,2,H,2,A,,,,
363-U1485C-2H-3-A,0,81,11.52,12.33,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,"intercalated with thin silty sand (11, 26 cm)",,,,,,,,,,,,,363,U1485,C,2,H,3,A,,,,
363-U1485C-2H-4-A,0,80,12.33,13.13,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,"intercalated with thin silty sand (27, 35 cm)",,,,,,,,,,,,,363,U1485,C,2,H,4,A,,,,
363-U1485C-2H-5-A,0,80,13.13,13.93,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,"frequently intercalated with thin silty sand (16, 40, 49 cm)",,,,,,,,,,,,,363,U1485,C,2,H,5,A,,,,
363-U1485C-2H-6-A,0,81,13.93,14.74,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,"intercalated with thin silty sand (16, 34 cm)",,,,,,,,,,,,,363,U1485,C,2,H,6,A,,,,
363-U1485C-2H-7-A,0,76,14.74,15.5,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,2,H,7,A,,,,
363-U1485C-2H-8-A,0,67.5,15.5,16.175,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1485,C,2,H,8,A,,,,
