Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
363-U1486B-1H-1-A,0,9,0,0.09,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10YR 6/4 (light yellowish brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,1,A,,,,,0
363-U1486B-1H-1-A,9,48,0.09,0.48,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,Pteropod at 22 cm,,,,,,,,,,,,,363,U1486,B,1,H,1,A,,,,,1
363-U1486B-1H-1-A,48,65,0.48,0.65,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,1,A,,,,,2
363-U1486B-1H-1-A,65,145,0.65,1.45,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,1,A,,,,,3
363-U1486B-1H-2-A,0,70,1.5,2.2,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,2,A,,,,,4
363-U1486B-1H-2-A,70,145,2.2,2.95,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,2,A,,,,,5
363-U1486B-1H-3-A,0,45,3,3.45,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,3,A,,,,,6
363-U1486B-1H-3-A,45,140,3.45,4.4,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,3,A,,,,,7
363-U1486B-1H-4-A,0,10,4.5,4.6,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,4,A,,,,,8
363-U1486B-1H-4-A,10,126,4.6,5.76,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,4,A,,,,,9
