Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,eodp_id
320-U1336B-1H-CC-PAL,320,U1336,B,1,1-CC,H,CC,PAL,0,0,1.68,1.68,,NN6,Middle Miocene,M,A,,,,,,,,F,R,,,,F,,,,,,,,,F,,C,,,,R,,C,,F,,,,,,,,,,,R,,,,,,,,,,C,,,F,,,,,,,,,,,C,,,,R,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,2c67cf294311e560689e50e184ce1706
320-U1336B-2H-CC-PAL,320,U1336,B,2,2-CC,H,CC,PAL,0,0,11.85,11.85,"top C. premacintyrei, C. nitescens",NN6,middle Miocene,M,A,,,,,,,,R,,R,R,,C,,,,,,,,,,,F,,,,R,,F,,F,,,,,,,,,,,R,,,,,,,,,,A,,,F,,,,,,,,,,,C,,,,C,,C,,,,,,,,,,,,R,,,R,F,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,F,F,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,R,,,,9872e332dd35df092d067e3cf2c3ea59
320-U1336B-3H-CC-PAL,320,U1336,B,3,3-CC,H,CC,PAL,0,0,21.13,21.13,JB-typical moriformis; top S. heteromorphus,NN5,middle Miocene,M,A,,,,,,,C,F,A,R,F,,F,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,,,,,,,,,,,C,,,,C,,C,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,C,C,,,,,,,,,,,,,,,C,,,,,R,,,,,,,,,,,,,,,,,R,,,,1aeca1fe71525c6b6979ed93c6644c79
320-U1336B-4H-CC-PAL,320,U1336,B,4,4-CC,H,CC,PAL,0,0,30.54,30.54,,NN5,middle Miocene,M,A,,,,,,,A,F,A,,F,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,A,,,,C,,C,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,F,,,,,,,,,,,,,,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,0d82c29975b2208408bc9807d06a17d4
320-U1336B-5H-CC-PAL,320,U1336,B,5,5-CC,H,CC,PAL,0,0,40.27,40.27,LS-Tc D. deflandrei,NN4,middle Miocene,M,A,,,,,,,A,A,A,,F,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,F,,,,F,,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,7b5233f8f61131685903f2f843f60b10
320-U1336B-6H-CC-PAL,320,U1336,B,6,6-CC,H,CC,PAL,0,0,49.87,49.87,"JB-strongly dissolved, fragmented, discoasters overgrown; base S. heteromorphus",NN4,Early Miocene,P,A,,,,,,,C,A,A,,F,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,C,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,F,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,5b24f8b93b3acd0bab9abd13ec321acc
320-U1336B-7H-CC-PAL,320,U1336,B,7,7-CC,H,CC,PAL,0,0,58.63,58.63,"JB-strongly dissolved, fragmented, discoasters overgrown; top T. carinatus",NN2,early Miocene,P,C,,,,,,C,,A,A,,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,F,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,5fc2ca4e28108216941c284c319db6bf
320-U1336B-8H-CC-PAL,320,U1336,B,8,8-CC,H,CC,PAL,0,0,68.45,68.45,"JB-strongly dissolved, fragmented, discoasters overgrown; top S. belemnos",NN2,early Miocene,P,C,,,F,,F,C,,A,A,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,R,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,2ea1a0609ab5d51b774bdb66953557eb
320-U1336B-9H-CC-PAL,320,U1336,B,9,9-CC,H,CC,PAL,0,0,77.72,77.72,,NN2,early Miocene,M,A,,,F,,C,F,,C,A,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,A,,,F,F,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,R,,,,8f993ece85bc04bdf2f1fe5ebd72da2b
320-U1336B-10H-CC-PAL,320,U1336,B,10,10-CC,H,CC,PAL,0,0,87.75,87.75,JB-below S belemnos,NN2,early Miocene,M,A,,,F,,,F,,A,A,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,a9dfa6e2501224c3df0739977f273343
