Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Beella digitata,Beella praedigitata,Catapsydrax parvulus,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina foliata,Globigerina sp.,Globigerinella aequilateralis,Globigerinella calida,Globigerinella radians,Globigerinita,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pyramidalis),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globigerinopsis obesa,Globoconella,Globoconella conomiozea,Globoconella inflata,Globoconella miotumida,Globoconella miotumida (DEX),Globoconella miotumida (SIN),Globoconella mons,Globoconella pliozea,Globoconella pseudospinosa,Globoconella puncticulata,Globoconella puncticuloides (compressed),Globoconella puncticuloides (vaulted),Globoconella sphericomiozea,Globoconella subconomiozea,Globoconella triangula,Globoconella triangula     (cf.),Globoquadrina dehiscens,Globoquadrina praedehiscens,Globorotalia lenguaensis,Globorotalia praescitula,Globorotalia tumida,Globorotaloides hexagonus,Globorotaloides turgidus,Hirsutella bermudezi,Hirsutella hirsuta,Hirsutella hirsuta (DEX),Hirsutella hirsuta (SIN),Hirsutella ichinosekiensis,Hirsutella margaritae (cf.),Hirsutella panda,Hirsutella scitula,Hirsutella scitula (cf.),Hirsutella scitula (DEX),Hirsutella scitula (SIN),Menardella limbata,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina,Orbulina bilobata,Orbulina universa,Orbulina universa (juvenile),Paragloborotalia continuosa,Paragloborotalia mayeri,Paragloborotalia nana,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina angiporoides minima,Tenuitella,Tenuitella gemma,Truncorotalia cf. crassacarina,Truncorotalia crassacarinina,Truncorotalia crassacarinina (DEX),Truncorotalia crassacarinina (SIN),Truncorotalia crassaconica,Truncorotalia crassaconica     (cf.),Truncorotalia crassaconica     (cf.) (DEX),Truncorotalia crassaconica     (cf.) (SIN),Truncorotalia crassaconica (DEX),Truncorotalia crassaconica (SIN),Truncorotalia crassaformis,Truncorotalia crassaformis (DEX),Truncorotalia crassaformis (SIN),Truncorotalia crassula,Truncorotalia crassula     (cf.),Truncorotalia crassula     (cf.) (DEX),Truncorotalia crassula     (cf.) (SIN),Truncorotalia juanai,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Truncorotalia truncatulinoides (DEX),Truncorotalia truncatulinoides (SIN),Turborotalita angustiumbilicata,Turborotalita quinqueloba,Zeaglobigerina,Zeaglobigerina apertura,Zeaglobigerina connecta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina sp.,Zeaglobigerina woodi,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1518F-2R-CC-PAL-FORAM,0,10,199.8,199.9,VG,D,,,,,C,,,R,,,,,,,F,,,,,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,R,,,,,R,,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,2,20,,R,,,,,,,,,,,,375,U1518,F,2,R,CC,PAL,c64eb4bc278c17e281d1479285279442
375-U1518F-3R-CC-PAL-FORAM,0,10,212.49,212.59,VG,D,,,,,C,,,C,,,,,,,F,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,17,0,,,,,,,,,,,,,,375,U1518,F,3,R,CC,PAL,67566b0a8c23dd257d198ef946c49d20
375-U1518F-4R-CC-PAL-FORAM,0,10,219.21,219.31,VG-M,A,,,,,C,,,,,,,,,,F,,,,,R,,,,,,,,C,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,R,,,,,,,R,R,,,F,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,R,,,,,,R,1,0,,,,,,,,,,,,,,375,U1518,F,4,R,CC,PAL,f88cffa815bc45877b08d705ca70f125
375-U1518F-5R-CC-PAL-FORAM,0,10,229.91,230.01,VG,A,,,,,A,,,,,,,,,,F,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,5,1,,,,,,,,,,,,,,375,U1518,F,5,R,CC,PAL,a0bb62f069accaf450b1b9669b26ea45
375-U1518F-6R-CC-PAL-FORAM,0,13,239.08,239.21,VG,D,,,,,C,,,,,,,,,,R,,,,R,R,,,,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,R,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,4,0,,,,,,,,,,,,,,375,U1518,F,6,R,CC,PAL,7f69b0097ff135169c364dedfaa41520
375-U1518F-7R-3-PAL(81-91)-FORAM,0,10,248.77,248.87,VG,C,,,,,A,,,R,,,,,,,R,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,7,15,,,,,,,,,,,,,,375,U1518,F,7,R,3,PAL,7c8fafa9ef973324604d79efa0111893
375-U1518F-8R-CC-PAL-FORAM,0,5,258.89,258.94,VG,D,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,F,11,0,,,,,,,,,,,,,,375,U1518,F,8,R,CC,PAL,d2cf9d397c839de19f65e39d91416c62
375-U1518F-9R-5-PAL-FORAM,0,10,270.17,270.27,VG,D,,,,,C,,,R,,,,,,,F,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,C,,,,,,F,,,,,,,P,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,10,0,,,,,,,,,,,,,,375,U1518,F,9,R,5,PAL,dc81313cb12b663123dad3e50be8eaaf
375-U1518F-10R-CC-PAL-FORAM,0,15,277.53,277.68,VG,D,,,,,C,,,,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,9,0,,,,,,,,,,,,,,375,U1518,F,10,R,CC,PAL,3e62cdf24712d723d15fda5b64e7450f
375-U1518F-11R-CC-PAL-FORAM,0,10,286.63,286.73,VG,F,,,,,A,,,F,,,,,,,,,,,,R,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,3,0,,,,,,,,,,,,,,375,U1518,F,11,R,CC,PAL,40ca387fb683adefc52eb2997ec993b1
