Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group Abundance,Anthocyrtidum ophirense,Anthocyrtidium sp.,Anthocyrtidium zanguebaricum,Acrobotrys tritubus,Acrosphaera collina,Acrosphaera spinosa (=Collosphaera spinosa),Actinomma arcadophorum,Actinomma medianum,Amphirhopalum ypsilon,Anomalacantha dentata,Anthocyrtidium angulare,Anthocyrtidium ehrenbergi,Anthocyrtidium jenghisi,Anthocyrtidium pliocenica,Astrophacus sp.,Axoprunum stauraxonium,Botryostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestensis,Buccinosphaera invaginata,Calocyccletta costata,Calocycletta caepa,Calocycletta dadara,Calocycletta virginis,Carpocanistrum sp.,Carpocanopsis bramlettei,Carpocanopsis cristata,Cenosphaera sp.,Collosphaera huxleyi,Collosphaera macropora,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocorine truncatum,Dictyocoryne profunda,Dicymocyrti laticonus,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis sp.,Didymocyrtis tetrathalamus tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris forcipata,Eucecryphalus sp.,Euchitonia elegans/furcata group,Eucyrtidium acuminatum,Eucyrtidium diaphanes,Eucyrtidium hexagonatum,Gyraffospyris angulata,Heliodiscus asteriscus,Hexacontium laevigatum,Hymeniastrum euclidis,Lamprocyclas marytalis,Lamprocyrtis neoheteroporus,Larcospira minor,Larcopyle quadrangula,Liriospyris reticulata,Liriospyris parkerae,Liriospyris stauropora,Lithopera bacca,Lithopera neotera,Lithopera renzae,Lithopera Thomburgi,Lophospyris pentagona hyperborea,Lophospyris pentagona pentagona,Lychnodictyum audax,Ommatartus tetrathalamus,Otosphaera auriculata,Phormospyris stabilis,Phormospyris stabilis stabilis,Phormostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Phorticium pylonium,Pterocanium praetextum,Pterocanium prismatium,Pterocanium trilobum,Pterocorys campanula,Pterocorys zancleus,Siphocampe corbula (=Lithocampe corbula),Siphonosphaera martensi,Siphonosphaera polysiphonia,Siphostichartus corona,Solenosphaera omnitobus omnitobus,Solenosphaera omnitobus procera,Solenosphaera quadrata,Spongaster berminghami,Spongaster klingi,Spongaster pentas,Spongaster tetras tetras,Spongocore puella,Spongopyle osculosa,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wolffii,Stylodictya arachnia,Stylatractus universus,Stylodictya sp.,Stylodictya validispina,Stylochlamidium  venustum,Tetrapyle octacantha,Theocorythium trachelium trachelium,Theocorythium vetulum,Zygocircus sp.,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1433A-1H-CC-PAL-RADS,0,5,8.85,8.9,,,,,,,,,,G [P34],A,R,,R,,,R,R,,R,,,,,,,R,R,,,R,,,,,F,,,,,R,R,,,,,,,,R,,,,,,,,,,,,,,,,R,F,,R,,R,R,,R,,R,R,F,,,F,,,,,,,F,,,R,,,,F,,F,F,,,,,R,,,,R,,,,,R,R,,,,,,,,,R,C,F,,R,,,,349,U1433,A,1,H,CC,PAL,a05080c50eecdba40e316ccca6515a32
349-U1433A-2H-CC-PAL-RADS,0,5,16.21,16.26,,,,,,,,,,G [P34],A,R,,R,,,R,R,,R,,,,,,,R,,R,,R,,,,,F,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,R,,R,R,,R,,,,R,,,R,,,,,,,F,,,R,,,,F,,F,F,,,R,,R,,,,R,,,,,,,,,,,R,,,,R,C,F,,R,,,,349,U1433,A,2,H,CC,PAL,98df8211c18744abc90412a0f6bbea2e
349-U1433A-3H-CC-PAL-RADS,0,10,27.47,27.57,,,,,,,,,,M [P34],C,R,,R,,,R,,,R,,,,,,,R,R,R,,,,,,,F,,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,R,,,,,,,R,,,,,,,F,,,,,,,F,F,F,,,,,,,,,,R,,,,,,,,,,,,,,R,,F,F,,R,,,,349,U1433,A,3,H,CC,PAL,67eb5c7b16d610096f10d368aa32e511
349-U1433A-4H-CC-PAL-RADS,0,6,37.19,37.25,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,4,H,CC,PAL,d68653077b35be307f750ac0155270a1
349-U1433A-5H-CC-PAL-RADS,0,2,37.4,37.42,,,,,,,,,,P [P34],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,349,U1433,A,5,H,CC,PAL,99848327cdcb325048bac671a649cbc4
349-U1433A-6H-CC-PAL-RADS,0,7,56.33,56.4,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,6,H,CC,PAL,2f2f478fa517919d6ca7111ac7038617
349-U1433A-7H-CC-PAL-RADS,0,5,66.35,66.4,,,,,,,,,,P [P34],R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,349,U1433,A,7,H,CC,PAL,f469196b4b04d7f91f8346f62126c963
349-U1433A-8H-7-PAL-RADS,0,5,75.25,75.3,,,,,,,,,,P [P34],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,349,U1433,A,8,H,7,PAL,96a000372f2bfb631228b7b3a8d867dd
349-U1433A-9H-CC-PAL-RADS,0,5,79.55,79.6,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,9,H,CC,PAL,ad4ccd3e7160c610c0c7dfc7a83334ec
349-U1433A-10H-CC-PAL-RADS,0,5,93.15,93.2,,,,,,,,,,P [P34],F,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,,,,349,U1433,A,10,H,CC,PAL,d84826d4651e49539036ee3819da9dc0
