Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp.,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data
356-U1459A-1F-CC-PAL-FORAM-150-2000,0,5,0,0.05,G [P39],D [A10],60,2,,,,Split = 1/32. Sponge spicules; ostracods; bryazoa; pterapods and worm casings,5,,,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,D [A109],,,,,,,,,F [A109],A [A109],,,,,,,,,,,F [A109],,,,,,,,,,,P [A109],,,,,,R [A109],,,,,,,,,,,,,,,,,R [A109],P [A109],,,,,,,,,,P [A109],,,,,,,P [A109],,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,F [A109],R [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,D [A109],P [A109],P [A109],R [A109],,,,,,,F [A109],,,,,,,F [A109],,R [A109],,,,F [A109],,P [A109],,F [A109],,,,R [A109],,,,,,,,,,R [A109],,,F [A109],,,,,,A [A109],,F [A109],,R [A109],,,,,,,,,,,,,,,,,,,
356-U1459A-2X-CC-PAL-FORAM-FORAM 150 2000,0,5,0.57,0.62,M [P39],R [A10],90,3,,,,Split = 1/4. Manganese specks; Pterapods,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29728771,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29728771,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29728771,"
356-U1459A-5X-CC-PAL-FORAM-150-2000,0,5,22.4,22.45,P [P39],,58,2,,,,"Abundant sponge spicules, ostracods present, glauconite present, split 1/32",0,,,,,,,,,R [A109],,,,A [A109],,,,,,,,,F [A109],,,,,,,,,P [A109],,,,,P [A109],,,,,,P [A109],,,,,,,,,,R [A109],,,,,,,F [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1459A-6F-CC-PAL-FORAM-150-2000,0,5,34.94,34.99,P [P39],,66,,MS,,,"Split 1/16, Diversity: 24 species",,P [A109],,,,,,,,A [A109],,,,F [A109],,,,,,,,,P [A109],,,,P [A109],,,,,P [A109],,,,,P [A109],,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,D [A109],,,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29740591,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29740591,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29740591,"
356-U1459A-7F-CC-PAL-FORAM-150-2000,0,5,35.31,35.36,P [P39],A [A10],33,,,,,Abrasion and encrustation very high. Most tests no longer possessed complete outer walls.,1,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,P [A109],,,,,,,,,R [A109],,,,,,,D [A109],,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29744701,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29744701,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29744701,"
356-U1459A-9F-CC-PAL-FORAM-150-2000,0,5,46.46,46.51,P [P39],D [A10],30,,,,,Ostracods indicating marine setting with calcareous algae. Forams heavily encrusted.,0,,,,,,,P [A109],,,,,,,,,,,,,,,P [A109],,,P [A109],D [A109],,,,,R [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,D [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,P [A109],,,,,,,,,,P [A109],,,,,,,,,,,
356-U1459A-10F-CC-PAL-FORAM-FORAM 150 2000,0,5,51.42,51.47,P [P39],A [A10],30,,,,,,1,,,,,,,,,,P [A109],,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29745611,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29745611,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29745611,"
356-U1459A-11F-CC-PAL-FORAM-FORAM 150 2000,0,5,53.91,53.96,P [P39],,,,,,,"Pteropods present, Bryozoans present, poor preservation",,,,,,,,,,R [A109],,,,F [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,R [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,R [A109],,,,,,,,D [A109],,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29752701,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29752701,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29752701,"
356-U1459A-12F-CC-PAL-FORAM-FORAM 150 2000,0,5,60.66,60.71,P [P39],,,,MS,,,"Bryozoans present, poor preservation",,,,,,,,,,P [A109],,,,R [A109],,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,R [A109],,,,,P [A109],,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,D [A109],,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29753951,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29753951,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29753951,"
356-U1459A-13F-CC-PAL-FORAM-FORAM 150 2000,0,5,65.49,65.54,M [P39],A [A10],42,,,,,Ostracods present,0,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,F [A109],,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,F [A109],,P [A109],,,,,,,,,,R [A109],,,,,,,,,,,,,,,,F [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29804061,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29804061,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29804061,"
