Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1471E-2R-1-W,111,112,597.41,597.42,,,P,R,,,,,,,,R,R,R,R,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,2,R,1,W,fe5817d50227423e9d20ec2199322c0b
359-U1471E-3R-1-W,87,88,606.87,606.88,,,P,F,,,,,,,,C,F,,C,,,,R,,R,R,,,,,R,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,3,R,1,W,46f7b6fcad9cec921392dac29c333f20
359-U1471E-3R-2,25,25,607.51,607.51,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,3,R,2,,d407f35b66f44a60942c471dabeaf984
359-U1471E-3R-2,58,58,607.84,607.84,,,P,R,,,,,,,,F,R,,,,,,R,,R,,,,,,R,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,3,R,2,,87ff7df200507234401b47c502781c9d
359-U1471E-4R-1-W,48,48,616.18,616.18,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,4,R,1,W,939b7b38fad04d2dd145fb5e3ef44093
359-U1471E-4R-1-W,117,117,616.87,616.87,,,M,C,,,,,,,,R,F,F,A,,,,,,F,,,,,,F,C,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,4,R,1,W,de6ab79ef8ed406b11e9822d66a931d1
359-U1471E-4R-2-W,83,83,617.99,617.99,,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,4,R,2,W,dfcf5e000843646bab497caf6d64364d
359-U1471E-5R-1-W,40,40,625.8,625.8,,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,5,R,1,W,8f02d1fe62523fb85450e85bcaccdf3f
359-U1471E-6R-1-W,15,15,635.25,635.25,,,M,C,,,,,,,,C,C,,A,,,,F,,,R,,,,,,F,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,UNIDENTIFIABLE 5 RAYS DISCOASTERS,,,,359,U1471,E,6,R,1,W,fb2dd717fbba91907e57ceb8c625b1a4
359-U1471E-6R-2-W,86,86,637.22,637.22,,,M,C,,,,,,,,C,C,,,,,,F,,R,,,,,,,C,,,,,,,,R,,,,,,,R,,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE 5 RAYS DISCOASTERS,,,,359,U1471,E,6,R,2,W,bcb9f1e08c6f2001f3f02b088ae69bb7
