Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Preservation,Group abundance,Comment,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus ellipticus var. javanica,Actinocyclus ellipticus var. spiralis,Actinocyclus hajosiae,Actinocyclus ingens,Actinocyclus moronensis,Actinocyclus radionovae,Actinoptychus spp.,Alveus marinus,Amphitetras spp.,Annellus californicus,Arachnoidiscus spp.,Asterolampra acutiloba,Asterolampra marylandica,Asteromphalus arachne,Asteromphalus elegans,Azpeitia africana (Janisch),Azpeitia apiculata,Azpeitia barronii,Azpeitia burky (Barron),Azpeitia nodulifera (Schmidt),Azpeitia nodulifera f. cyclopa (Jouse),Azpeitia oligocenia (Jouse),Azpeitia praenodulifera (Barron),Azpeitia salisburyana (Lohman),Azpeitia tabularis (Grunow),Azpeitia vetustissima (Pantocsek),Azpetia neocrenulata,Bacteriastrum hyalinum,Bogorovia veniamini Jouse emend Yanagisawa,Cavitatus jouseanus (Sheshukova-Poretzkaya),Cavitatus miocenica (Schrader),Cestodiscus peplum,Cestodiscus pulchellus,Cestodiscus pulchellus var. maculatus,Cestodiscus trochus,Chaetoceros spp.,Cocconeis spp.,Coscinodiscus blysmos,Coscinodiscus gigas var. diorama (Schmidt),Coscinodiscus lewisianus,Coscinodiscus lewisianus var. rhomboides,Coscinodiscus lewisianus var. robustus,Coscinodiscus lewisianus var. similis,Coscinodiscus loeblechii,Coscinodiscus marginatus,Coscinodiscus nodulifer,Coscinodiscus radiatus,Coscinodiscus rhombicus,Craspedodiscus coscinodiscus,Craspedodiscus elegans,Craspedodiscus rydei,Crucidenticula kanayae,Crucidenticula nicobarica (Grunow),Crucidenticula punctata (Schrader),Cyclotella spp.,Cyclotella striata (Kutzing),Dactyliosolen spp.,Denticulopsis hustedtii (Simonsen and Kanaya) emend. Yanagisawa and Akiba,Denticulopsis lauta (Bailey),Denticulopsis simonsenii,Dicladia spp.,Diploneis aestuari,Diploneis bombus,Diploneis smithii,Distephanosira architecturalis,Fragilariopsis cylindrica (Burckle),Fragilariopsis doliolus (Wallich),Fragilariopsis reinholdii (Kanaya ex Barron ex Baldouf),Grammatophora spp.,Hemiaulus spp.,Hemidiscus cuneiformis,Kisseleviella spp.,Macrora stella,Mediaria spp.,Melosira architecturalis,Navicula spectabilis,Navicula spp.,Nitzschia fossilis (Frenguelli),Nitzschia interruptestriata,Nitzschia jouseae,Nitzschia malinterpretaria,Nitzschia marina,Nitzschia miocenica,Nitzschia miocenica var. elongata,Nitzschia panduriformis var. minor,Nitzschia porteri Frenguelli sensu,Paralia sulcata,Pseudosolenia calcar-avis,Raphidodiscus marylandicus,Rhaphoneis spp.,Rhizosolenia hebetata,Rhizosolenia matuyamai,Rhizosolenia praebergonii,Rhizosolenia praebergonii var. robusta,Rhizosolenia setigera,Rhizosolenia spp.,Rocella gelida (Mann),Rocella gelida var. schraderi (Bukry),Rocella vigilans,Rossiella paleaecea (Grunow),Rossiella paleaecea var. elongata (Barron),Rossiella praepaleaecea (Schrader),Screptroneis hungarica,Shionodiscus oestrupii,Skeletonema spp.,Surirella fluminensis,Synedra tabulata var. rupicola,Thalassionema nitzschoides (Grunow),Thalassionema robusta,Thalassiosira brunii,Thalassiosira burckliana,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira eccentrica (Ehrenberg),Thalassiosira fraga,Thalassiosira grunowii,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira oestrupii (Ostenfeld),Thalassiosira plicata,Thalassiosira praeconvexa,Thalassiosira primalabiata,Thalassiosira spinosa,Thalassiosira spumellaroides,Thalassiosira tappanae,Thalassiosira yabei (Barron) var. elliptica,Thalassiosira yabei (Kanaya),Thalassiothrix spp.,Trachyneis aspera,Triceratium pileus,Triceratium spp.,Xanthiopyxis spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1501C-1H-CC-PAL-DIAT,0,5,9.19,9.24,,M,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,F,,,,,,,,,,R,R,,,,,,,,,F,,,,,,,R,,,,F,F,,,,,,,,,,,,,,,,,,,F,,,,F,,,,R,F,,,,,,,,F,,,,C,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,CC,PAL,ba6d830a41250a52b20d9b407adc2d84
368-U1501C-2H-CC-PAL(18-23)-DIAT,0,5,17.93,17.98,,M,F,,,,,,,,,,R,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,R,,,,,,F,,,,,F,,,,,,,,,R,,,,,,,,,,,F,,,,R,,,,,F,,,,,,,,F,,,F,C,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,368,U1501,C,2,H,CC,PAL,051a5853f1d1e369259bb58cb7c24c06
368-U1501C-3H-CC-PAL(15-20)-DIAT,0,5,28.51,28.56,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,3,H,CC,PAL,00551f1ea6ffd92890851584113ff5ba
368-U1501C-4H-CC-PAL(15-20)-DIAT,0,5,38.03,38.08,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,4,H,CC,PAL,d529a976f1973571293a5c3481f8d00c
368-U1501C-5H-CC-PAL(13-18)-DIAT,0,5,46.9,46.95,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,5,H,CC,PAL,c7750cfc70cf2a57d8798b0da2d5ad6b
368-U1501C-6H-CC-PAL(15-20)-DIAT,0,5,57.02,57.07,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,6,H,CC,PAL,a2fb922fe76ff690907638c3841cde1f
368-U1501C-7H-CC-PAL(11-16)-DIAT,0,5,66.17,66.22,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,7,H,CC,PAL,eee1854fd226abf89fdb33e8d2f3f5ab
368-U1501C-8H-CC-PAL(23-28)-DIAT,0,5,75.76,75.81,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,8,H,CC,PAL,4993ee8b6181af26b1d95e4c8e0378d1
368-U1501C-9H-CC-PAL(19-24)-DIAT,0,5,85.45,85.5,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,9,H,CC,PAL,e05e7499efc3fe4ba88c93366e7a6be0
368-U1501C-10H-CC-PAL(21-26)-DIAT,0,5,94.86,94.91,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,10,H,CC,PAL,ccc0b39a8298c94f1d79f318dc3826f1
368-U1501C-11H-CC-PAL(39-44)-DIAT,0,5,104.86,104.91,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,11,H,CC,PAL,38e29be4fb222631acb5324f1337a5c2
368-U1501C-12H-CC-PAL(28-33)-DIAT,0,5,113.92,113.97,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,12,H,CC,PAL,c56e4a0b47db2566553e28cd90a19fd4
368-U1501C-13H-CC-PAL(21-26)-DIAT,0,5,123.78,123.83,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,13,H,CC,PAL,352b32d57ea6e804a155c69477507281
368-U1501C-14H-CC-PAL(21-26)-DIAT,0,5,131.48,131.53,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,14,H,CC,PAL,948219bb07239636c56edc88b8e1e905
368-U1501C-15H-CC-PAL(20-25)-DIAT,0,5,142.14,142.19,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,15,H,CC,PAL,7dbdbe3b06711eb0e31ac4b16ffcdae1
368-U1501C-16H-CC-PAL(26-31)-DIAT,0,5,151.75,151.8,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,16,H,CC,PAL,6f5d198b232a7aac63c4a87a7c9e6f72
368-U1501C-17H-CC-PAL(0-5)-DIAT,0,5,156.7,156.75,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,17,H,CC,PAL,52e228c4ed4aaa9da219abdbe6e546f6
368-U1501C-18F-CC-PAL-DIAT,0,5,161.67,161.72,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,18,F,CC,PAL,f06e3e63f2f5e303aec737a422727f3d
368-U1501C-19F-CC-PAL(25-30)-DIAT,0,5,166.25,166.3,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,19,F,CC,PAL,baa4f7d633a1b23e88d5c95ba69904a9
368-U1501C-20F-CC-PAL(23-28)-DIAT,0,5,169.92,169.97,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,20,F,CC,PAL,5c06f0650ae64b3eda1f562e3cb0535a
368-U1501C-21F-CC-PAL(23-28)-DIAT,0,5,175.92,175.97,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,21,F,CC,PAL,69898e15b5962cbd773485e5c9dcee5d
368-U1501C-22F-CC-PAL(23-28)-DIAT,0,5,180.55,180.6,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,22,F,CC,PAL,df8d4a93e733fc20fb523d308ecd68d1
368-U1501C-23F-CC-PAL(27-32)-DIAT,0,5,184.4,184.45,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,23,F,CC,PAL,1fbec60bc53d606de4feb90229a2a54e
368-U1501C-24F-CC-PAL(10-15)-DIAT,0,5,189.42,189.47,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,24,F,CC,PAL,d6771dbd705ccaa5f877f1402f385520
368-U1501C-25F-CC-PAL(0-5)-DIAT,0,5,193.3,193.35,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,25,F,CC,PAL,4e8c23766053a6bc61ff9ff372852d93
368-U1501C-26F-CC-PAL(25-30)-DIAT,0,5,198.33,198.38,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,26,F,CC,PAL,35eac761d1dccc20a8190d5273f74e41
368-U1501C-27F-CC-PAL(29-34)-DIAT,0,5,204.03,204.08,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,27,F,CC,PAL,54e2f9c594fbb545cbc6ad662ebdf5dc
368-U1501C-28F-CC-PAL(20-25)-DIAT,0,5,208.65,208.7,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,28,F,CC,PAL,870fa026ca2354f8de10759d211fb014
368-U1501C-29F-CC-PAL(17-22)-DIAT,0,5,212.67,212.72,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,29,F,CC,PAL,890f7258b53875b36962ab3e6cbe55e9
368-U1501C-30F-CC-PAL(22-27)-DIAT,0,5,217.54,217.59,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,30,F,CC,PAL,5210c8245e57e49bdb212870ecab435b
368-U1501C-31F-CC-PAL(19-24)-DIAT,0,5,221.53,221.58,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,31,F,CC,PAL,9ab3ee58a885d31dcd2ee930987d9087
368-U1501C-32F-CC-PAL(24-29)-DIAT,0,5,226.42,226.47,,,B,Occasional sponge spicules w/ a complete radiolarian observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,32,F,CC,PAL,7a115a7418879f11c92f5b52a0625417
368-U1501C-33F-CC-PAL(30-35)-DIAT,0,5,231.78,231.83,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,33,F,CC,PAL,22d59c21fbd76974696a6aa0af724785
