Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],No. specimens/tray,Preservation,Comment,Argilloecia spp.,Bairdoppilata spp.,Blind trachyleberidids,Bradleya spp.,Cletocythereis rastromarginata,Cytheralison sp.,Cytherella sp.,Cytheropteron spp.,Dutoitella crassinodosa,Dutoitella suhmi,Glencoeleberis? sp.,Krithe spp.,Legitimocythere acanthoderma,Oertliella? sp.,Philoneptunus paragravezia,Philoneptunus cf. tricolonos,Poseidonamicus spp.,Pseudobosquetina mucronalata,Sighted trachyleberidids,Xestolebris spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
371-U1510A-1H-CC-PAL-OSTRA,0,10,4.98,5.08,14.8,2,,3,,7,5,,,1,30,,,,13,,,,,3,,0,,,,,371,U1510,A,1,H,CC,PAL
371-U1510A-4H-CC-PAL-OSTRA,0,10,33.41,33.51,10.4,4,,,,6,5,,,2,11,,,,15,,,,,5,,0,,,,,371,U1510,A,4,H,CC,PAL
371-U1510A-7H-CC-PAL-OSTRA,0,10,62.18,62.28,21.4,4,,2,1,15,13,,,3,33,,,,9,,,,,10,,0,,,,,371,U1510,A,7,H,CC,PAL
371-U1510A-11H-CC-PAL-OSTRA,0,10,100.35,100.45,7.2,4,,7,,7,6,,,4,9,,,,2,,,,,6,,0,2,,,,371,U1510,A,11,H,CC,PAL
371-U1510A-13H-CC-PAL-OSTRA,0,10,119.57,119.67,7.8,4,,4,,3,5,,,4,6,,,,4,,,,,2,,0,,,,,371,U1510,A,13,H,CC,PAL
371-U1510A-14H-CC-PAL-OSTRA,0,10,128.61,128.71,12,4,,14,2,2,10,,,5,8,,,,1,,,,,6,,0,,,,,371,U1510,A,14,H,CC,PAL
371-U1510A-15H-CC-PAL-OSTRA,0,10,135.33,135.43,3.4,4,,,,0,1,,,,3,,,,5,,,,,,,0,1,,,,371,U1510,A,15,H,CC,PAL
371-U1510A-16H-CC-PAL-OSTRA,0,10,147.83,147.93,130,4,,57,21,5,,,,13,48,,,,5,,,,,,,29,30,,,,371,U1510,A,16,H,CC,PAL
371-U1510A-20X-CC-PAL-OSTRA,0,10,169.9,170,128,5,,49,12,14,16,,,32,22,,,,3,,,,,,,13,31,,,,371,U1510,A,20,X,CC,PAL
371-U1510A-21X-CC-PAL-OSTRA,0,10,180.77,180.87,39.5,6,,14,7,9,3,,,11,6,,,,3,,,,,,,9,8,,,,371,U1510,A,21,X,CC,PAL
371-U1510A-22X-CC-PAL-OSTRA,0,10,186.89,186.99,97,6,,10,11,22,5,,,11,6,,,,,,,,,,,8,,,,,371,U1510,A,22,X,CC,PAL
371-U1510A-24X-CC-PAL-OSTRA,0,10,209.22,209.32,80,6,,21,2,16,9,,,10,1,,,,2,,,,,,,0,2,,,,371,U1510,A,24,X,CC,PAL
371-U1510A-25X-CC-PAL-OSTRA,0,10,215.1,215.2,2.3,6,,5,,2,,,,5,,,,,1,,,,,,,0,,,,,371,U1510,A,25,X,CC,PAL
371-U1510A-27X-CC-PAL-OSTRA,0,10,234.86,234.96,0.4,6,,2,,0,,,,,,,,,,,,,,,,0,,,,,371,U1510,A,27,X,CC,PAL
371-U1510A-29X-CC-PAL-OSTRA,0,10,255.08,255.18,0,,,,,0,,,,,,,,,,,,,,,,0,,,,,371,U1510,A,29,X,CC,PAL
371-U1510A-31X-CC-PAL-OSTRA,0,10,275.24,275.34,13,7,,3,1,3,10,,,12,3,,,,1,,,,,,,1,,,,,371,U1510,A,31,X,CC,PAL
371-U1510A-33X-CC-PAL-OSTRA,0,10,293.61,293.71,8.6,7,,10,7,10,,,,,1,,,,1,,,,,,,0,,,,,371,U1510,A,33,X,CC,PAL
371-U1510A-35X-CC-PAL-OSTRA,0,10,315.74,315.84,120,6,,22,6,16,8,,,1,9,,,,2,,,,,4,,1,8,,,,371,U1510,A,35,X,CC,PAL
371-U1510A-37X-CC-PAL-OSTRA,0,10,332.26,332.36,20.5,6,,6,,9,8,,,5,1,,,,,,,,,1,,0,2,,,,371,U1510,A,37,X,CC,PAL
371-U1510A-39X-CC-PAL-OSTRA,0,10,356.51,356.61,84,6,,14,6,14,9,,,8,1,,,,2,,,,,6,,0,2,,,,371,U1510,A,39,X,CC,PAL
371-U1510A-41X-CC-PAL-OSTRA,0,10,375.42,375.52,49,6,,,,11,,,,6,1,,,,,,,,,3,,3,2,,,,371,U1510,A,41,X,CC,PAL
371-U1510A-43X-CC-PAL-OSTRA,0,10,388.6,388.7,67,4,,15,4,37,8,,,9,3,,,,3,,,,,,,1,3,,,,371,U1510,A,43,X,CC,PAL
371-U1510A-44X-CC-PAL-OSTRA,0,10,399.86,399.96,30,6,,7,2,25,3,,,4,1,,,,3,,,,,4,,3,,,,,371,U1510,A,44,X,CC,PAL
371-U1510A-45X-CC-PAL-OSTRA,0,10,411.32,411.42,3.6,5,,1,,10,,,,,,,,,,,,,,,,3,,,,,371,U1510,A,45,X,CC,PAL
371-U1510A-46X-CC-PAL-OSTRA,0,10,419.6,419.7,8.7,6,,4,,22,1,,,6,2,,,,1,,,,,3,,0,,,,,371,U1510,A,46,X,CC,PAL
371-U1510A-48X-CC-PAL-OSTRA,0,10,438.83,438.93,14,6,,3,,30,,,,5,,,,,,,,,,,,0,,,,,371,U1510,A,48,X,CC,PAL
371-U1510A-50X-CC-PAL-OSTRA,0,10,459.96,460.06,18.5,6,,18,,20,5,,,1,8,,,,7,,,,,,,1,,,,,371,U1510,A,50,X,CC,PAL
371-U1510A-51X-CC-PAL-OSTRA,0,10,468.98,469.08,0,,,,,0,,,,,,,,,,,,,,,,0,,,,,371,U1510,A,51,X,CC,PAL
371-U1510A-52X-CC-PAL-OSTRA,0,10,478.13,478.23,1,7,,,,1,,,,,,,,,,,,,,,,0,,,,,371,U1510,A,52,X,CC,PAL
