Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Group abundance,General comment,Agglutinated Taxa,Adercotryma glomerata,Ammobaculites coprolithoformis,Ammobaculites expansus,Ammodiscus glabratus,Ammoscalaria pseudospiralis,Arenodosaria antipoda,Bathysiphon alba,Bathysiphon cylindrica,Bathysiphon sp.,Cribrostomoides arenaceous,Cribrostomoides crassimargo,Cyclammina incisa,Cyclammina rotundata,Eggerella bradyi nitens,Gaudryina reussi,Haplophragmoides sp.,Hyperammina cylindrica,Martinottiella communis,Miliammina arenacea,Protobotellina cylindrica,Psammosphaera fusca,Reophax cushmani,Reophax difflugiformis,Reophax  nodulosus,Reophax scorpiurus,Reophax sp.,Rhabdammina linearis,Rhizammina algaeformis,Siphotextularia awamoana,Textularia earlandi,Textularia plummerae,Trochammina antarctica,Trochammina multiloculata,Trochammina rossensis,Trochammina wiesneri,Trochammina sp.,Nodosariids,Astacolus crepidulus,Astacolus sp.,Dentalina advena,Fissurina agassizi,Fissurina annectens,Fissurina bisulcata,Fissurina danica,Fissurina fimbriata,Fissurina kerguelenensis,Fissurina laevigata,Fissurina lucida,Fissurina marginata,Fissurina sp.,Islandiella norcrossi,Islandiella teretis,Lagena laevigata,Lagena laevis,Lagena nebulosa,Lagena sequeziana,Lagena sp.,Lagena striata,Lagena sulcata,Lenticulina callifera,Lenticulina lenticula,Lenticulina sp.,Marginulina tumida,Marginulinopsis pedum,Margulina cocoaensis,Margulina tumida,Nodosaria calomorpha,Nodosariid taxa,Nodosaria sp.,Oolina apiculata,Oolina apiopleura,Oolina globosa,Oolina sp.,Parafissurina curta,Parafissurina lateralis,Parafissurina subcarinata,Parafissurina tasmanica,Pseudonodosaria symmetrica,Saracenaria kellumi,Saracenaria sp.,Vaginulina awamoana,Miliolids,Articulina sp.,Cruciloculina triangularis,Flintina droogeri,Miliolinella circularis,Miliolinella antarctica,Miliolinella subrotunda,Miliolids indeterminate,Planispirinoides bucculentus,Pyrgo fornasini,Pyrgo vespertilio,Pyrgo williamsoni,Pyrgo sp.,Pyrulinoides sp.,Quinqueloculina seminulina,Quinqueloculina triangularis,Quinqueloculina sp.,Sigmoilina obesa,Triloculina rotundata,Triloculina brongniartiana,Other calcareous taxa,Ammoelphidiella pustulosa,Ammoelphidiella uniforamina,Ammoelphidiella sp.,Angulogerina earlandi,Angulogerina fluens,Angulogerina aff. fueguina,Angulogerina pauperata,Anomalina bassensis,Anomalinoides fasciatus,Anomalinoides globulosus,Anomalinoides macraglabra,Anomalinoides pinguiglabra,Anomalinoides sp.,Astrononion antarcticus,Astrononion echolsi,Baggina brevior,Bolivina sp.,Bucella sp.,Bulimina aculeata,Bulimina sp.,Cancris laevinflatus,Cassidulina neocarinata,Cassidulinoides aequilatera,Cassidulinoides bradyi,Cassidulinoides braziliensis,Cassidulinoides chapmani,Cassidulinoides parkerianus,Cassidulinoides porrectus,Cibicides grossepunctatus,Cibicides lobatulus,Cibicides mckannai,Cibicides mediocris,Cibicides pseudoungerianus,Cibicides refulgens,Cibicides sp.,Cibicides subhaidingeri,Cibicides temperatus,Cibicides thiara,Cibicides vortex,Cribroelphidium sp.,Discorbis australis,Ehrenbergina glabra,Elphidium bartletti,Elphidium ex. gr. excavatum,Elphidium magellanicum,Elphidium nitidum,Elphidium sp.,Epistominella exigua,Epistominella vitrea,Eponides bradyi,Eponides sp.,Eponides tumidulus,Eponides weddellensis,Euuvigerina paeniteries,Fursenkoina fusiformis,Fursenkoina schreibersiana,Gavelinopsis lobatulus,Globocassidulina biora,Globocassidulina crassa,Globocassidulina subglobosa,Globocassidulina sp.,Gyroidina neosoldani,Gyroidina obicularis,Gyroidina parva,Gyroidina zelandica,Hanzawaia sp.,Heronallenia kempii,Melonis affinis,Melonis barleeanus,Melonis graniferum,Nonion germanicus,Nonionella auris,Nonionella bradii,Nonionella iridea,Nonionella magnalingua,Notorotalia serrata,Oridorsalis tenera,Nuttalides umbonifera,Patellina antarctica,Planispirillina dimidiata,Pseudobolivina antarctica,Pullenia bulloides,Pullenia subcarinata,Robertina tasmanica,Robertina wiesneri,Rosalina globularis,Sphaeroidina bulloides,Stainforthina sp.,Uvigerina bifurcata,Uvigerina sp.,Planktics,Antarcticella antarctica,Chiloguembelina cubensis,Ciperoella ouachitaensis,Globoquadrina dehiscens,Globigerina bulloides,Globigerina falconensis,Globigerina megastoma,Globigerinita glutinata,Globoconella inflata,Globorotalia sp.,Globoturborotalita connecta,Globoturborotalita woodi,Globorotaloides suteri,Neogloboquadrina incompta,Neogloboquadrina nympha,Neogloboquadrina pachyderma,Paragloborotalia incognita,Paragloborotalia semivera,Paragloborotalia siakensis,Tenuitella gemma,Turborotalita quinqueloba,COMMENTS,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1525A-1H-CC-PAL-FORAM,0,5,8.57,8.62,,G,P,1 benthic specimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandy, pebbly; Quartz, K-spar, granite, schist, biotite, basalt, chert. VR spicules, VR rads.",,,,374,U1525,A,1,H,CC,PAL
374-U1525A-2H-CC-PAL-FORAM,0,5,18.72,18.77,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clastics as above. R spicules.,,,,374,U1525,A,2,H,CC,PAL
374-U1525A-3H-CC-PAL-FORAM,0,5,28.16,28.21,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clastics as above; R glauconite. No biogenics observed (no rads, no diatoms, no spicules).",,,,374,U1525,A,3,H,CC,PAL
374-U1525A-5F-CC-PAL-FORAM,0,5,33.75,33.8,,G,P,7 specimens; P<B in situ + 1 reworked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,"Sandy, pebbly sample; Clastics as above. R spicules, VR rads, VR diatoms.",,,,374,U1525,A,5,F,CC,PAL
374-U1525A-7F-CC-PAL-FORAM,0,5,38.87,38.92,,M,P,"6 specimens; P<B, all tiny; reworked?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,"Sandy, pebbly sample; clastics as above, R glauconite. VR spicules, VR rads.",,,,374,U1525,A,7,F,CC,PAL
374-U1525A-10X-1-PAL-FORAM,0,3,51.3,51.33,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay with little residue; Quartz, biotite, schist, basalt. Nothing biogenic.",,,,374,U1525,A,10,X,1,PAL
374-U1525A-11F-CC-PAL-FORAM,0,5,60.54,60.59,,G,F,"67 specimens, all planktic; all sizes, in situ + transport?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,"Laminated mud, v little residue of fine sand. F diatoms, R spicules, VR rads.",,,,374,U1525,A,11,F,CC,PAL
374-U1525A-12F-CC-PAL-FORAM,0,5,65.46,65.51,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay with very little residue; Quartz, K-spar, granite. VR rads.",,,,374,U1525,A,12,F,CC,PAL
374-U1525A-13F-CC-PAL-FORAM,0,5,69.73,69.78,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clay with virtually no residue. Nothing biogenic observed.,,,,374,U1525,A,13,F,CC,PAL
374-U1525A-14F-CC-PAL-FORAM,0,5,74.68,74.73,,P,P,"3 tiny, benthics; 2 broken; transported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay with small residue. R spicules, R diatoms, echinoderm spine, pyrite burrow.",,,,374,U1525,A,14,F,CC,PAL
