Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Cibicides kullenbergi >1000 m,Cibicides molestus >150 m,Cibicides neoperforatus >200 m,Cibicides robertsoninaus >1000 m,Eggerella bradyi >600 m,Elphidium sp.,Euuvigerina miozea (group) >100 m,Euuvigerina rodleyi (group) >50 m,Karreriella bradyi >600 m,Karreriella cylindrica >400 m,Nodosarids (elongate forms),Notorotalia sp.,Planulina wuellerstorfi >1000 m,Pullenia bulloides >200 m,Sigmoilopsis schlumbergeri >600 m,Siphouvigerina notohispida >1000 m,Tritaxilina zealandica >1500 m,Vulvulina pennatula >800 m,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1520D-1H-1-PAL_MUDLINE-FORAM,0,0,0,0,VG-M,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,1,H,1,PAL_MUDLINE,c4b6d5d10eaad32d910986f8e5e3e13a
375-U1520D-1H-CC-PAL-FORAM,0,5,5.88,5.93,VG-G,,,,,,,,,,,X,,,,,,X,,,,,,,375,U1520,D,1,H,CC,PAL,7fc817d3710b3e260be1efaafe8e69c2
375-U1520D-2H-CC-PAL-FORAM,0,10,15.7,15.8,VG,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,2,H,CC,PAL,882afc08a06d7fbf570e0036abec1249
375-U1520D-4H-CC-PAL-FORAM,0,10,34.87,34.97,G,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,4,H,CC,PAL,03d08060290831a8aa186ba197ff3f39
375-U1520D-6H-CC-PAL-FORAM,0,10,53.21,53.31,VG,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,6,H,CC,PAL,a6cc393edb351f8f923ec3949e915dc6
375-U1520D-8H-CC-PAL-FORAM,0,10,70.82,70.92,G-P,,,,,,,,,X,X,,,,X,,X,X,,,,,,,375,U1520,D,8,H,CC,PAL,e2b674460e9ef5d0ca13921a2f79f3ad
375-U1520D-11H-CC-PAL(7-17)-FORAM,0,10,101.87,101.97,VG-G,,,,,,,,,,,,,,X,,,,,,,,,,375,U1520,D,11,H,CC,PAL,4aae2d50fd2bf7a44329d3c21b412d10
375-U1520D-13H-CC-PAL-FORAM,0,10,120.89,120.99,G,,,,,,,X,,,,,,,,,,X,,,,,,,375,U1520,D,13,H,CC,PAL,13938c3d95e9a3b2d503e30730002fc2
375-U1520D-15H-CC-PAL-FORAM,0,10,139.34,139.44,G,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,15,H,CC,PAL,9d894aeb9d38a54ed0d3c44f3efe74ce
375-U1520D-17H-CC-PAL-FORAM,0,10,156.18,156.28,VG-G,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,17,H,CC,PAL,3b175d090fdec04c99d60d4eabc022ae
