Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments,eodp_id
323-U1341C-1H-CC-PAL-NANNO42,323,U1341,C,1,1-CC,H,CC,PAL,NANNO42,0,0,5.44,5.44,M [323_Na],C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,1cc28157fd6da0dbfd4b29a1d5730e62
323-U1341C-2H-CC-PAL-NANNO47,323,U1341,C,2,2-CC,H,CC,PAL,NANNO47,0,0,15.34,15.34,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c47a73034076e23dbe69805050abf7c3
323-U1341C-3H-CC-PAL-NANNO52,323,U1341,C,3,3-CC,H,CC,PAL,NANNO52,0,0,24.82,24.82,M [323_Na],F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd6f3f835d1d55d7cb58cdad52a926f4
323-U1341C-4H-CC-PAL-NANNO57,323,U1341,C,4,4-CC,H,CC,PAL,NANNO57,0,0,34.41,34.41,M-P [323_Na],A,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,aa296cc16f8b8494f990b589197a0450
323-U1341C-5H-CC-PAL-NANNO62,323,U1341,C,5,5-CC,H,CC,PAL,NANNO62,0,0,41.69,41.69,M-P [323_Na],F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,f6f3eb0a4e864f4e6b23d8fe13bc25c7
323-U1341C-6H-CC-PAL-NANNO12,323,U1341,C,6,6-CC,H,CC,PAL,NANNO12,0,0,53.52,53.52,G [323_Na],F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,F,,,,,,R,,F,,,,,,,,,,,d84cfac53e26620776d8b78c0d48053a
323-U1341C-7H-CC-PAL-NANNO17,323,U1341,C,7,7-CC,H,CC,PAL,NANNO17,0,0,62.14,62.14,M-P [323_Na],F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,R,,,,,,R,,R,,,,,,,,,,,79a9a994ab10a855cc14a3bfb4cf4bf7
323-U1341C-8H-5-W 146/146-NANNO78,323,U1341,C,8,8-5,H,5,W,146/146-NANNO78,0,0,68.46,68.46,G [323_Na],A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,A,D,,,,,,,,C,C,,,,,,,,,,e25018d5c0a98573bb2ef093612b1d3c
323-U1341C-8H-CC-PAL-NANNO22,323,U1341,C,8,8-CC,H,CC,PAL,NANNO22,0,0,70.96,70.96,M-P [323_Na],A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,D,,,,,,,,A,R,,,,,,,,,,928e027c7155393a8945ee031fe1b368
323-U1341C-9H-CC-PAL-NANNO27,323,U1341,C,9,9-CC,H,CC,PAL,NANNO27,0,0,80.52,80.52,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e43e16c2285d6e832d509e630af38490
