Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comment,File Data,eodp_id
339-U1386C-2R-CC-PAL-FORAM,339,U1386,C,2,2-CC,R,CC,PAL,FORAM,0,5,168.76,168.81,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,R,,,,6eef24ac931afce590911c74a3482fac
339-U1386C-4R-CC-PAL-FORAM,339,U1386,C,4,4-CC,R,CC,PAL,FORAM,0,5,213.86,213.91,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,ece05d7dcec4f40f11c336366b3fdbdc
339-U1386C-5W-CC-PAL-FORAM,339,U1386,C,5,5-CC,W,CC,PAL,FORAM,0,5,218.37,218.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,744efed185def9240a565440bb7fe4a7
339-U1386C-6R-CC-PAL-FORAM,339,U1386,C,6,6-CC,R,CC,PAL,FORAM,0,5,406.38,406.43,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,,,P,,,,400db12effd69ed1244aefc06377f2c9
339-U1386C-7R-CC-PAL-FORAM,339,U1386,C,7,7-CC,R,CC,PAL,FORAM,0,5,421.7,421.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,26168a8def7dd024a99e0ae6b134ef48
339-U1386C-8R-CC-PAL-FORAM,339,U1386,C,8,8-CC,R,CC,PAL,FORAM,0,5,426.03,426.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,A,,,A,,,,f68664fddc32243b20bddd07de54612c
339-U1386C-9R-CC-PAL-FORAM,339,U1386,C,9,9-CC,R,CC,PAL,FORAM,0,5,438.5,438.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,8452ef1807e01b84b97beb8b2557adcf
339-U1386C-10R-CC-PAL-FORAM,339,U1386,C,10,10-CC,R,CC,PAL,FORAM,0,5,451.59,451.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,dad8a8791c12eabe83b033e342e7a86b
339-U1386C-11R-CC-PAL-FORAM,339,U1386,C,11,11-CC,R,CC,PAL,FORAM,0,5,454.03,454.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,,,,,R,,R,R,,,,ba1afd85e8bd94abed7670467fa8388d
339-U1386C-12R-CC-PAL-FORAM,339,U1386,C,12,12-CC,R,CC,PAL,FORAM,0,5,467.86,467.91,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,edbcc155aadf519b66ec113fcbae70e2
339-U1386C-13R-CC-PAL-FORAM,339,U1386,C,13,13-CC,R,CC,PAL,FORAM,0,5,478.02,478.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6975e91621c36f3a3938effb43decbd9
339-U1386C-14R-CC-PAL-FORAM,339,U1386,C,14,14-CC,R,CC,PAL,FORAM,0,5,486.54,486.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,3109d9368ee5e1599c72e7e6c65cc707
339-U1386C-15R-CC-PAL-FORAM,339,U1386,C,15,15-CC,R,CC,PAL,FORAM,0,5,498.36,498.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,R,,,,e467968e79906e88a543084d968c5ade
339-U1386C-16R-CC-PAL-FORAM,339,U1386,C,16,16-CC,R,CC,PAL,FORAM,0,5,508.23,508.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4be6e77cca5e246c6b02c0f05523b3bf
339-U1386C-17R-CC-PAL-FORAM,339,U1386,C,17,17-CC,R,CC,PAL,FORAM,0,5,517.28,517.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,R,,,,d3597892e63fa02b8c3293a440421ce2
