Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data,eodp_id
339-U1389A-1H-CC-PAL-FORAM,339,U1389,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.25,4.3,,,,R,,,,P,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,P,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,4bdaaf590cc1dfc8df2b5d75df4f9d52
339-U1389A-2H-CC-PAL-FORAM,339,U1389,A,2,2-CC,H,CC,PAL,FORAM,0,5,14.13,14.18,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff835650ae8f7b85421ad6404722cddd
339-U1389A-3H-CC-PAL-FORAM,339,U1389,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.66,23.71,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,P,,,,R,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,dd2896c58e626f6907de272a4a622dcb
339-U1389A-4H-CC-PAL-FORAM,339,U1389,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.34,33.39,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,P,,,,,P,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,b3d527b38ea13b6a7ed2b118f8b1b66e
339-U1389A-5H-CC-PAL-FORAM,339,U1389,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.99,43.04,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,54b7470032cd6664f736222d7defb644
339-U1389A-6H-CC-PAL-FORAM,339,U1389,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.38,52.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,0b1ec4a6909081a4e1ee4ff620f9735c
339-U1389A-7H-CC-PAL-FORAM,339,U1389,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.49,61.54,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,5501c71b35cdd7abb227f7ce289feade
339-U1389A-8H-CC-PAL-FORAM,339,U1389,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.33,71.38,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,80e72cfd51f428eed8c766f8a3c25be2
339-U1389A-9H-CC-PAL-FORAM,339,U1389,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.95,81,,,,P,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,efae5071ae78fd758b8474d0a39e627b
339-U1389A-10H-CC-PAL-FORAM,339,U1389,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.5,90.55,,,,F,,,,,,,,,R,,,,,,,,,,,,P,,R,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,P,,,,,,,,a611553fba70ad060d84671a62a3136c
339-U1389A-11H-CC-PAL-FORAM,339,U1389,A,11,11-CC,H,CC,PAL,FORAM,0,5,97.26,97.31,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,d3ba1d4ac50062ce794991cbf7230841
339-U1389A-12X-CC-PAL-FORAM,339,U1389,A,12,12-CC,X,CC,PAL,FORAM,0,5,102.5,102.55,,,,R,,,,,,,R,,R,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ed32c75dd168e431644cfe2713cf1c6b
339-U1389A-13X-CC-PAL-FORAM,339,U1389,A,13,13-CC,X,CC,PAL,FORAM,0,5,109.94,109.99,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,cd8be31b6ea9b134b9d6a4168efc1cb6
339-U1389A-14X-CC-PAL-FORAM,339,U1389,A,14,14-CC,X,CC,PAL,FORAM,0,5,120.9,120.95,,,,R,,,,,,,P,,,,,,,,,,,,,,P,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,32edcf881f9dca8dafc524737d85ba5f
339-U1389A-15X-CC-PAL-FORAM,339,U1389,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.5,129.55,,,,,,,,,,,R,,,,,,,,,,,,,,,R,P,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,f9a1aa89e63c0198070ebcd741dd745c
339-U1389A-16X-CC-PAL-FORAM,339,U1389,A,16,16-CC,X,CC,PAL,FORAM,0,5,139.73,139.78,,,,,,,,,,,P,,R,,,,,,,,,,,,R,,,,,,F,,,,,,,,,,F,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,4bbffee84756b54ab6b96d3f987df29f
339-U1389A-17X-CC-PAL-FORAM,339,U1389,A,17,17-CC,X,CC,PAL,FORAM,0,5,148.32,148.37,,,,,,,,,,,P,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d9e1d331418418efa09715cd166b204
339-U1389A-18X-CC-PAL-FORAM,339,U1389,A,18,18-CC,X,CC,PAL,FORAM,0,5,158.26,158.31,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,323af9f6ed899a8258ec7f5444438652
339-U1389A-19X-CC-PAL-FORAM,339,U1389,A,19,19-CC,X,CC,PAL,FORAM,0,5,168.37,168.42,,,,R,,,,,,,,,A,,,,,,,,,,,,,,R,,F,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,43a76116cd7a86de4326e57285d19c74
339-U1389A-20X-CC-PAL-FORAM,339,U1389,A,20,20-CC,X,CC,PAL,FORAM,0,5,177.64,177.69,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,087e3196f2c3d919cbda6838aa336403
339-U1389A-21X-CC-PAL-FORAM,339,U1389,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.69,187.74,,,,,,,,,,,P,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,c14aead4c390b6b6fe1e9323ed83a7a4
339-U1389A-22X-CC-PAL-FORAM,339,U1389,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.47,197.52,,,,R,,,,,,,P,,,,,,,,,P,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2f603114fd8afd2bb8908ce3b0c74332
339-U1389A-23X-CC-PAL-FORAM,339,U1389,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.88,206.93,,,,P,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec27e08952bf8fbe3c6ad08cce0ea0da
