Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1390A-1H-CC-PAL-FORAM,339,U1390,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.58,3.63,,,R,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,6eed1af621cc60cd242b8d4b689989db
339-U1390A-2H-CC-PAL-FORAM,339,U1390,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.4,13.45,,,,,,R,,,P,,,P,,,,,,,,,,,,,,,,,,P,P,,,,,P,,,,,,,,99c44e04bc33ea8ae30ae023d497f07b
339-U1390A-3H-CC-PAL-FORAM,339,U1390,A,3,3-CC,H,CC,PAL,FORAM,0,5,22.88,22.93,,,R,,,R,,,P,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,R,,,,,,f698ea0656dedb41c168087c8812f8a5
339-U1390A-4H-CC-PAL-FORAM,339,U1390,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.25,32.3,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,9c0653501f4ddd71c3ed611558285043
339-U1390A-5H-CC-PAL-FORAM,339,U1390,A,5,5-CC,H,CC,PAL,FORAM,0,5,41.09,41.14,,P,,,,P,,,R,,P,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,5933bb8f08f81db86d7ef58b3d70680c
339-U1390A-6H-CC-PAL-FORAM,339,U1390,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.95,51,,,R,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,33836a47bf874e58d0a8b4bf8e019de7
339-U1390A-7H-CC-PAL-FORAM,339,U1390,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,6fa34423ee853465c41b68c8132b5f06
339-U1390A-8H-CC-PAL-FORAM,339,U1390,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.48,70.53,,,F,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,48bfb5b462d74cb0b5400bed59ddd868
339-U1390A-9H-CC-PAL-FORAM,339,U1390,A,9,9-CC,H,CC,PAL,FORAM,0,5,76.65,76.7,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,d3be7627e8cb801b893e6b0d80b273c4
339-U1390A-10X-CC-PAL-FORAM,339,U1390,A,10,10-CC,X,CC,PAL,FORAM,0,5,84.32,84.37,,,R,,,P,,,,,,,,,,,,,,,,R,P,,,,,,,A,,R,,,,,,,,,,,,4f1f4277776910cd91e62c09c372e78a
339-U1390A-11X-CC-PAL-FORAM,339,U1390,A,11,11-CC,X,CC,PAL,FORAM,0,5,92.56,92.61,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,9c782bbafa66acba7f1e9849583a9ba1
339-U1390A-12X-CC-PAL-FORAM,339,U1390,A,12,12-CC,X,CC,PAL,FORAM,0,5,101.15,101.2,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,P,P,P,F,,,,,,P,,,,,,a2e7dcaf7067e35b2940500771fc27a0
339-U1390A-13X-CC-PAL-FORAM,339,U1390,A,13,13-CC,X,CC,PAL,FORAM,0,5,110.44,110.49,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,c5e82c3819b5c748599c22e1a20c07ff
339-U1390A-14X-CC-PAL-FORAM,339,U1390,A,14,14-CC,X,CC,PAL,FORAM,0,5,121.18,121.23,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,P,,,0bf8807874855f534062606770484a76
339-U1390A-15X-CC-PAL-FORAM,339,U1390,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.38,129.43,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,eeb3c5a27ac06a6f7691434fa9a48181
339-U1390A-16X-CC-PAL-FORAM,339,U1390,A,16,16-CC,X,CC,PAL,FORAM,0,5,140.05,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,cf3e8690b7bf9660f14bf5ffdcd964ef
339-U1390A-17X-CC-PAL-FORAM,339,U1390,A,17,17-CC,X,CC,PAL,FORAM,0,5,149.92,149.97,,,,,,A,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,b69064ffe541598bef3890bdaa24d8f1
339-U1390A-18X-CC-PAL-FORAM,339,U1390,A,18,18-CC,X,CC,PAL,FORAM,0,5,159.02,159.07,,,R,,,P,,,,,,,,,,,,,,,,R,P,,,,,,,,,R,,,,,,,,,,,,823381da828f0133b360d6ad60069756
339-U1390A-19X-CC-PAL-FORAM,339,U1390,A,19,19-CC,X,CC,PAL,FORAM,0,5,165.76,165.81,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,ac4014eeee231a5baa3965a9112b9f42
339-U1390A-20X-CC-PAL-FORAM,339,U1390,A,20,20-CC,X,CC,PAL,FORAM,0,5,178.73,178.78,,,P,,,F,R,,,,,,,,,,,,,,,F,,,,,,,,F,,A,,P,,,,,,,,,,db7175afe4f0c6118161cdb2bd6ac4e2
339-U1390A-21X-CC-PAL-FORAM,339,U1390,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.55,187.6,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,,,,,,,038a9feebef5004382129aa5b097ac67
339-U1390A-22X-CC-PAL-FORAM,339,U1390,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.03,197.08,,,A,,,A,,,,,,,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,0c23285e08d76ab0d739d67aa14b04e4
339-U1390A-23X-CC-PAL-FORAM,339,U1390,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.98,207.03,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,c2dcd415f1a3e2af9bfde2163958b0e2
339-U1390A-24X-CC-PAL-FORAM,339,U1390,A,24,24-CC,X,CC,PAL,FORAM,0,5,217.31,217.36,,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,0ff4eadc9503b45382de281a5a12a566
339-U1390A-25X-CC-PAL-FORAM,339,U1390,A,25,25-CC,X,CC,PAL,FORAM,0,5,224.61,224.66,,,R,,,A,,,,,,,,,,,,,,,,P,,,,,,,,,,F,,,,,,,,,,,,9777439ab05a1e21cddd9772d23d1348
339-U1390A-26X-CC-PAL-FORAM,339,U1390,A,26,26-CC,X,CC,PAL,FORAM,0,5,236.23,236.28,,,P,,,P,,,P,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,fb8e8a21716367ec68d62090eb3c6020
339-U1390A-27X-CC-PAL-FORAM,339,U1390,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.21,246.26,,,,,,F,,,R,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,5762a86645b4a87fa0c8afd1d613142a
339-U1390A-28X-CC-PAL-FORAM,339,U1390,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.03,256.08,,,P,,,R,,,P,,,,,,,,,,,,,P,,,,,,,,P,P,F,,,,,,,,,P,,,560815f06ae671146e37ce2f5b78403e
339-U1390A-29X-CC-PAL-FORAM,339,U1390,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.47,265.52,,,P,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,636d7029335464e63b565e5108ac804a
339-U1390A-30X-CC-PAL-FORAM,339,U1390,A,30,30-CC,X,CC,PAL,FORAM,0,5,275.32,275.37,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,90e80db34d5f51f56b4bfb36d1759e56
