Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comment,File Data,eodp_id
339-U1385A-1H-CC-PAL-NANNO,339,U1385,A,1,1-CC,H,CC,PAL,NANNO,0,5,1.39,1.44,G,VA,,,,,,F,F,C,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,R,A,C,C,,VA,,,C,,,,,,,,,,R,F,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,C,,,946bd1cbc7a0a41f194f710471a184ce
339-U1385A-2H-CC-PAL-NANNO,339,U1385,A,2,2-CC,H,CC,PAL,NANNO,0,5,11.3,11.35,G,VA,,,,,,F,F,,,,,,,,,,,C,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,R,,A,C,F,,VA,,,C,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,5b34efe534a80a27d0c6bc565ac86d75
339-U1385A-3H-CC-PAL-NANNO,339,U1385,A,3,3-CC,H,CC,PAL,NANNO,0,5,20.87,20.92,G,VA,,,,,,F,R,F,,,,,,,R,,,R,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,VA,C,C,,C,,,C,,,,,,,,,,F,F,,,,,,,,,,,,,R,,,,,,,,,,,,C,,,,,,C,,,0de75195bfba49684dcf1b744c7cdb30
339-U1385A-4H-CC-PAL-NANNO,339,U1385,A,4,4-CC,H,CC,PAL,NANNO,0,5,30.66,30.71,G,VA,,,,,,C,F,C,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,F,F,,VA,,,C,,,R,,,,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,F,,,d1b6de36842bd90a31a53945fc7e6177
339-U1385A-5H-CC-PAL-NANNO,339,U1385,A,5,5-CC,H,CC,PAL,NANNO,0,5,39.92,39.97,G,VA,,,,,,F,,F,,,,,,,,,,C,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,VA,F,,C,,VA,,,C,,,,,,,,,,R,R,,,,,,,,,,,,,F,,,,,,,,,,,,C,,,,,,F,,,7bd20f0755d2b8fa096df1f8c53f9912
339-U1385A-6H-CC-PAL-NANNO,339,U1385,A,6,6-CC,H,CC,PAL,NANNO,0,5,49.43,49.48,G,VA,,,,,,F,,F,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,VA,C,,,,VA,,,F,,,R,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,R,,,,,,,,5076fa04a9aeb2cb58098693d869e4d4
339-U1385A-7H-CC-PAL-NANNO,339,U1385,A,7,7-CC,H,CC,PAL,NANNO,0,5,58.71,58.76,G,VA,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,VA,F,,,,VA,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,fb71b05e2e40a960688b09c218bace9f
339-U1385A-8H-CC-PAL-NANNO,339,U1385,A,8,8-CC,H,CC,PAL,NANNO,0,6,68.58,68.64,G,VA,,,,,,C,,C,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,R,,VA,,,C,,,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dd414fa90199e7b602c8008f238e50d
339-U1385A-9H-CC-PAL-NANNO,339,U1385,A,9,9-CC,H,CC,PAL,NANNO,0,5,77.78,77.83,G,VA,,,,,,F,,C,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,F,,,R,VA,,,,,,,,,,,,,,R,C,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,R,,,9e2b37540a8d83184f627eeb551c2c4a
339-U1385A-10H-CC-PAL-NANNO,339,U1385,A,10,10-CC,H,CC,PAL,NANNO-NANNO,0,0,87.74,87.74,G,VA,,,,,,F,,F,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,R,R,VA,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,a5f336cd4f7b0396976db227a8497737
