Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,,eodp_id
339-U1389C-1H-CC-PAL-FORAM,339,U1389,C,1,1-CC,H,CC,PAL,FORAM,0,5,9.69,9.74,R,,VG,D,A,R,B,,,R,,,,,P,,,,,,,,,R,P,,,,,,,,,,,,,,,,B,,A,,P,,,,,,,,,,,7b35d00b57c673f6ce41bb207fb60007
339-U1389C-2H-CC-PAL-FORAM,339,U1389,C,2,2-CC,H,CC,PAL,FORAM,0,5,19.49,19.54,R,,VG,D,A,B,,,,R,,,,,P,P,P,,,P,,,,P,R,,,,,,,,,,,P,,,,,B,,F,,P,,,,,,,R,black coral pieces,,,1ab30983fe8eaaecec28e821d857dc41
339-U1389C-3H-CC-PAL-FORAM,339,U1389,C,3,3-CC,H,CC,PAL,FORAM,0,5,29.18,29.23,R,,VG,D,A,P,B,,,F,,,,,,P,,,,P,,,,R,R,,,,,,,,,,,,,,,,B,,A,,R,,,,,,,,,,,77eb35bd886e7861fd40a135eb4a7428
339-U1389C-4H-CC-PAL-FORAM,339,U1389,C,4,4-CC,H,CC,PAL,FORAM,0,5,37.95,38,B,,G,D,A,P,B,,,P,,,,,,,,,,P,,,,P,R,,,,,,,,,,,P,,,,,B,B,A,P,R,,,,,,,A,,,,8d4c0a93ad4163881a441f64ad126b69
339-U1389C-5H-CC-PAL-FORAM,339,U1389,C,5,5-CC,H,CC,PAL,FORAM,0,5,47.97,48.02,B,,G,D,A,P,B,,,F,,,D,,P,R,,,,,,,,B,P,,,,,,,,,,,P,,,P,,B,,R,,R,,,,,,,,,,,fc5364d8038656ad2076301030d291e1
339-U1389C-6H-CC-PAL-FORAM,339,U1389,C,6,6-CC,H,CC,PAL,FORAM,0,5,57.41,57.46,B,,G,D,A,P,B,,,A,,,,,,R,,,,P,,,,R,P,,,,,,,,,,,,,P,P,,B,,F,,R,,,,,,,P,,,,88102b9a2ee1dbc8fca1e09b38484b16
339-U1389C-7H-CC-PAL-FORAM,339,U1389,C,7,7-CC,H,CC,PAL,FORAM,0,5,66.65,66.7,B,,G,D,A,R,B,,,A,,,,,R,,,,,P,,,,R,P,,,,,,,,,,,,P,,,,B,,R,,R,,,,,,,P,,,,0dc52b014a735969893d30e282b552c4
339-U1389C-8H-CC-PAL-FORAM,339,U1389,C,8,8-CC,H,CC,PAL,FORAM,0,5,75.56,75.61,B,,G,D,A,B,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,B,,D,,R,,,,,,,F,,,,530511c5a71ad4f0acf303399bd55d23
339-U1389C-9H-CC-PAL-FORAM,339,U1389,C,9,9-CC,H,CC,PAL,FORAM,0,5,86.09,86.14,B,,M,D,F,F,B,,,P,,,,,R,,,,,P,,,,P,P,,,,,,,,,,,,,,,,B,,F,,R,,,,,,,P,,,,265a0d680a474150e7a8e66c9cb5db7a
339-U1389C-10H-CC-PAL-FORAM,339,U1389,C,10,10-CC,H,CC,PAL,FORAM,0,5,96.16,96.21,B,,G,D,A,F,B,,,A,,,,,P,P,,,,P,,,,P,P,,,,,,,,,,,,,,P,,B,,R,,R,,,,,,,,,,,8023318b832a764574795080011eaf4f
339-U1389C-11X-CC-PAL-FORAM,339,U1389,C,11,11-CC,X,CC,PAL,FORAM,0,5,101.62,101.67,B,,VG,D,D,D,,,,,,,,,,,,,,R,,P,,,P,,,,,,,,,,,,,,,,B,,A,,R,,,,,,,P,,,,07ad6383bb0863f647342fbcc1402be5
339-U1389C-12X-CC-PAL-FORAM,339,U1389,C,12,12-CC,X,CC,PAL,FORAM,0,5,111.59,111.64,B,,M,A,A,R,B,,,F,,,P,,P,,,,,,,,,,P,P,,,,,,,,,,,,,,,B,,A,,F,,,,,,,,,,,8bfd2b4d8289c3a82e404a41cfc6d864
339-U1389C-13X-CC-PAL-FORAM,339,U1389,C,13,13-CC,X,CC,PAL,FORAM,0,5,122.21,122.26,B,,M,A,A,P,B,,,R,,,,D,P,,,,,,,R,,,,P,,,,,,,,,,,,P,P,,B,,F,,R,,,,,,,,,,,10893c60508a1a2b84aaf1a46026ab20
339-U1389C-14X-CC-PAL-FORAM,339,U1389,C,14,14-CC,X,CC,PAL,FORAM,0,5,131.61,131.66,B,,G,D,A,,,,,R,,,P,P,P,P,,,,,,,,P,R,,,,,,,,,,,P,,,,,,,R,P,,,,,,,,P,,,,424cee7a8e05901563f5bf398420fbb7
339-U1389C-15X-CC-PAL-FORAM,339,U1389,C,15,15-CC,X,CC,PAL,FORAM,0,5,140.96,141.01,B,,G,D,A,R,,,,R,,,,,P,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,A,P,B,,,,,,,R,,,,0db61ff1f31b06090efb56dfc60176b2
339-U1389C-16X-CC-PAL-FORAM,339,U1389,C,16,16-CC,X,CC,PAL,FORAM,0,5,148.43,148.48,B,,G,D,A,P,,,,R,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,A,P,R,,,,,,,P,,,,01d78f98e5823aab1bb1da3513080996
339-U1389C-17X-CC-PAL-FORAM,339,U1389,C,17,17-CC,X,CC,PAL,FORAM,0,5,155.32,155.37,B,,VG,D,A,P,,,,R,,,P,,,,,,,P,,,,P,P,,,,,,,,,,,P,,P,,,,,F,,R,,,,,,,R,,,,86a535c8d842ae628ccbc4896d574ce6
339-U1389C-18X-CC-PAL-FORAM,339,U1389,C,18,18-CC,X,CC,PAL,FORAM,0,5,163.01,163.06,B,,G,D,A,P,,,,R,,,,P,,P,,,,P,,,,P,,,,,,,,,,,,P,,P,,,,,F,P,R,,,,,,,R,,,,381587615e2f103426e5b0649bdc1f78
339-U1389C-19X-CC-PAL-FORAM,339,U1389,C,19,19-CC,X,CC,PAL,FORAM,0,5,172.88,172.93,B,,G,D,A,,,,,R,,,,P,P,P,,,,,,,,P,R,,,,,,,,,,,P,,,,,,,A,P,P,,,,,,,F,,,,0694dfd9c875c6207e276eb7eaf4459e
339-U1389C-20X-CC-PAL-FORAM,339,U1389,C,20,20-CC,X,CC,PAL,FORAM,0,5,182.66,182.71,B,,G,D,F,A,,P,,F,,,P,,P,R,,,,P,,,,P,P,P,,,,,,,,,,R,,P,P,,,,R,,R,,,,,,,,,,,04754b5727a7559809e465a4d46a489c
339-U1389C-21X-CC-PAL-FORAM,339,U1389,C,21,21-CC,X,CC,PAL,FORAM,0,5,192.16,192.21,B,,VG,D,F,F,,,,A,,,P,,,F,,,,P,,,,P,P,,,,,,,,,,,P,,P,,,,,A,,R,P,,,,,,,,,,27d32241d795fda05e1e60bfb61fb61b
339-U1389C-22X-CC-PAL-FORAM,339,U1389,C,22,22-CC,X,CC,PAL,FORAM,0,5,201.58,201.63,B,,G,A,A,B,,,,F,,,,,P,P,,,,,,,,P,,,,,,,,,,,,P,,,,,,,D,P,R,,,,,,,,,,,08165ff75032d591e4b15ff47ccd3dd0
339-U1389C-23X-CC-PAL-FORAM,339,U1389,C,23,23-CC,X,CC,PAL,FORAM,0,5,211.47,211.52,B,,VG,D,A,R,,,,F,,,,,P,,,,,P,,,,P,P,,,,,,,,,,,P,,,,,,,F,,,,,,,,,R,,,,d5ff5dafc30dbdf25aa5128ba54d4763
339-U1389C-24X-CC-PAL-FORAM,339,U1389,C,24,24-CC,X,CC,PAL,FORAM,0,5,221.07,221.12,B,,G,D,A,P,,,,,P,,,,R,P,,,,,,,,,R,,,,,,,,,,,P,,,,,,,A,P,R,,,,,,,,,,,7b40c122889858052943a2c3c57e0d4b
339-U1389C-25X-CC-PAL-FORAM,339,U1389,C,25,25-CC,X,CC,PAL,FORAM,0,5,228.41,228.46,B,,G,D,A,F,,,,P,,,P,,P,R,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,A,,B,,,,,,,,,,,f1001adad4f404873dae3b7998eaced6
339-U1389C-26X-CC-PAL-FORAM,339,U1389,C,26,26-CC,X,CC,PAL,FORAM,0,5,239.09,239.14,,,VG,D,D,R,,,,R,,,,,P,P,,,,P,,,,,P,,,,,,,,,,,P,,,,,,,F,,R,,,,,,,,,,,1eb6a16e38994fe2ec50e3eb30c3f157
339-U1389C-27X-CC-PAL-FORAM,339,U1389,C,27,27-CC,X,CC,PAL,FORAM,0,5,249.73,249.78,,,VG,D,A,P,,,,A,,,,P,P,P,,,,R,,P,,P,R,,,,,,,,,,,P,,P,P,,,,A,,P,,,,,,P,R,,,,de1db0e2320810dfed4b0a3fcfdde6c7
339-U1389C-28X-CC-PAL-FORAM,339,U1389,C,28,28-CC,X,CC,PAL,FORAM,0,5,259.28,259.33,R,,VG,D,P,R,,,,A,,,,,P,,,,,,,,,P,R,,,,,,,,,,,P,,,P,,,,A,P,A,,,,,P,,F,,,,9a946c9582edebe4068e7d416a0e3796
339-U1389C-29X-CC-PAL-FORAM,339,U1389,C,29,29-CC,X,CC,PAL,FORAM,0,5,269.07,269.12,,,VG,D,R,F,,,P,A,,,,P,R,P,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,A,,R,P,,,,,,P,,,,cfb3c5ebec395a9d244d90387a6bc708
339-U1389C-30X-CC-PAL-FORAM,339,U1389,C,30,30-CC,X,CC,PAL,FORAM,0,5,278.7,278.75,,,VG,D,A,R,,,P,A,,,,P,P,,,,,,,,,R,P,,,,,,,,,,,P,,,,,,,A,,P,,,,,,,R,,,,3cceda6860aaceb23c695083a21f3d5e
339-U1389C-31X-CC-PAL-FORAM,339,U1389,C,31,31-CC,X,CC,PAL,FORAM,0,6,288.18,288.24,B,,G,D,A,R,,,,A,,,,,P,,,,,R,,,,P,R,,,,,,,,,,,P,,P,P,,,,A,P,R,,,,,,,R,,,,4c953b370a802234bdce5f2f41acb718
339-U1389C-32X-CC-PAL-FORAM,339,U1389,C,32,32-CC,X,CC,PAL,FORAM,0,5,297.72,297.77,B,,G,D,R,R,,,,A,,,,R,P,,,,,P,,F,,R,P,,,,,,,,,,,P,,,,,,,A,P,R,,,,,,,R,,,,4ac594cee56d20d838f005b9fe66326c
339-U1389C-33X-CC-PAL-FORAM,339,U1389,C,33,33-CC,X,CC,PAL,FORAM,0,5,306.74,306.79,B,,G,D,R,F,,,P,F,,,,P,P,,,,,,,R,,R,R,,,,,,,,,,,P,,P,,,,,D,P,P,,,,,,,R,,,,f6b5025e703ba478e7c2b3ff1a60b6e1
339-U1389C-34X-CC-PAL-FORAM,339,U1389,C,34,34-CC,X,CC,PAL,FORAM,0,5,316.06,316.11,B,,G,D,F,F,,,,A,,,,P,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,D,P,F,,,,,,,R,,,,c73b77912a3d91afb88ae64406ab179e
339-U1389C-35X-CC-PAL-FORAM,339,U1389,C,35,35-CC,X,CC,PAL,FORAM,0,5,323.24,323.29,B,,M,A,F,R,,,,F,,,,,P,P,,,,,,P,,P,P,,,,,,,,,,,,,,,,,,R,A,R,,,,,,,P,,,,ff93be04321e3e2e5152e3d3b98fc331
339-U1389C-36X-CC-PAL-FORAM,339,U1389,C,36,36-CC,X,CC,PAL,FORAM,0,5,328.42,328.47,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7186b6d5a472e617457a629652b13c94
339-U1389C-37X-CC-PAL-FORAM,339,U1389,C,37,37-CC,X,CC,PAL,FORAM,0,5,338.45,338.5,B,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"almost barren; few specimens of G. truncatulinoides, G. ruber (white) and N. pachyderma.",,,c5eaaf87af77e273949bf6d448ef98e0
339-U1389C-38X-CC-PAL-FORAM,339,U1389,C,38,38-CC,X,CC,PAL,FORAM,0,5,346.84,346.89,B,,P,P,F,F,,,,D,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,acef5a8f8bae8bfa5c0196c9a1b97ac0
