Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Acervulinid taxa,Agglutinates (indeterminant fragments),Ammobaculites sp.,Ammonia beccarii,Ammonia sp.,Ammonia tepida,Amphicoryna spp.,Amphistegina gibbosa,Amphistegina lessonii,Amphistegina radiata,Amphistegina sp.,Astacolus sp.,Asterigerina sp.,Bigenerina sp.,Biloculina sp.,Bolivina spp.,Bolivinita quadrilatera,Bulimina aculeata,Bulimina costata,Bulimina marginata,Bulimina pupoides,Bulimina sp.,Cassidulina sp.,Cassidulina teretis,Chilostomella sp.,Cibicides  bradyi,Cibicides pachyderma,Cibicides refulgens,Cibicides sp.,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides lobatulus,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides wuellerstorfi,Cornuspira sp.,Cribrononion kerguelenense,Cribrononion sp.,Cyclorbiculina compressa,Cymbaloporetta sp.,Dentalina advena,Dentalina inornata,Dentalina sp.,Dentalina subemaciata,Dentalina subsoluta,Discorbina sp.,Dorothia exilis,Eggerella sp.,Ehrenbergina sp.,Elphidium excavatum,Eponides repandus,Fissurina marginata,Fissurina orbignyana,Fissurina semimarginata,Fissurina sp.,Fissurina wiesneri,Florilus spp.,Fursenkoina sp.,Gavelinopsis sp.,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides spp,Hauerinella inconstans,Heterostegina sp.,Hoeglundina elegans,Karreriella bradyi,Lagena laevis,Lagena sp.,Lagena striata,Laticarinina pauperata,Lenticulina iota,Lenticulina orbicularis,Lenticulina peregrina,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marinittiella sp.,Melonis spp.,Myllostomella costai,Myllostomella huygaensis,Myllostomella spp.?,Nodosaria albatrossi,Nodosaria sp.,Oolina melo,Oolina spp.,Oridorsalis umbonatus,Orthomorphina cf. jedlitschkai,Orthomorphina perversa,Orthomorphina sp.,Osangularia spp.,Parasorites orbitolitoides,Peneroplis sp.,Planctostoma luculenta,Planispirinoides bucculentus,Planulina ariminensis,Planulina sp.,Pleurostomella alternans,Pleurostomella sp.,Proxifrons inaequalis,Pullenia bulloides,Pyrgo comata,Pyrgo depressa,Pyrgo elongata,Pyrgo murrhina,Pyrgo serrata,Pyrgo sp.,Pyrgoella irregularis,Pyrgoella sp.,Pyrulina cylindroides,Quinqueloculina agglutinans,Quinqueloculina bicostata,Quinqueloculina bosciana,Quinqueloculina bradyana,Quinqueloculina candeiana,Quinqueloculina granulocostata,Quinqueloculina seminulum,Quinqueloculina sp.,Rectobolivina sp.,Rectoglandulina sp.,Reophax sp.,Robertina bradyi,Robertina sp. A,Robertinoides spp.,Rupertina stabilis,Sigmavirgulina tortuosa,Sigmoilopsis spp.,Siphonina bradyana,Siphonina sp.,Siphonodosaria cooperensis,Siphonodosaria insecta,Siphonodosaria pomuligera,Siphonodosaria sargrinensis,Siphonodosaria sp.,Siphouvigerina ampullacea,Sphaerogypsina globulus,Sphaeroidina bulloides,Spirillina sp.,Spiroloculina sp.,Stilostomella antillea,Stilostomella fistuca,Stilostomella sp.,Trifarina sp.,Triloculina insignis,Triloculina spp.,Uvigerina auberiana,Uvigerina cf. canariensis,Uvigerina hispida,Uvigerina hollicki,Uvigerina peregrina,Uvigerina peregrina f. parvula,Uvigerina sp.,Vaginulina americana,Vertebralina sp.,Virgulina cf texturata,Vulvulina pennatula,Comment,File Data,eodp_id
340-U1395A-1H-CC-PAL-FORAMB,340,U1395,A,1,1-CC,H,CC,PAL,FORAMB,0,0,3.32,3.32,M,D,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,F,P,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,F,,,,,,,,,,,R,,,,,R,,R,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,95bf6c2edef09032c08e8e97706f7d0d
340-U1395A-2H-6-PAL-FORAM,340,U1395,A,2,6,H,,PAL,FORAM,0,0,11.71,11.71,M,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,R,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,769e7fa8544dad30332d747165b2c06d
340-U1395A-3H-CC-PAL-FORAMB,340,U1395,A,3,3-CC,H,CC,PAL,FORAMB,0,0,19.89,19.89,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe068120634fe01f4a5f589dd7df2184
340-U1395A-4H-CC-PAL-FORAMB,340,U1395,A,4,4-CC,H,CC,PAL,FORAMB,0,0,29.93,29.93,G,D,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,P,,,,,,P,P,,P,,,,,,,,,,,,R,,F,R,,,,R,,,,,,R,,,,,,R,R,,,,,,P,,R,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,R,,,,,R,,,P,P,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,4a097b8e8c0f8de902daee4a3b9deb0f
340-U1395A-5H-CC-PAL-FORAMB,340,U1395,A,5,5-CC,H,CC,PAL,FORAMB,0,0,39.48,39.48,M,D,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,F,,,,,,,P,,R,,,,,,,,,,R,,R,,,,,,,R,,,,,,,P,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,P,,,,,,,R,,A,,,,,,,,,,,,,b8158a40ced6b1432e5ac42ca70483fb
340-U1395A-6H-CC-PAL-FORAMB,340,U1395,A,6,6-CC,H,CC,PAL,FORAMB,0,0,48.93,48.93,G,D,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,P,,,,R,,,,,,,,,b3de0f8d2046031618819e862f3ffb7f
340-U1395A-7H-CC-PAL-FORAMB,340,U1395,A,7,7-CC,H,CC,PAL,FORAMB,0,0,57.09,57.09,M,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c99cf73a4a04bdcfe941026876912ec2
340-U1395A-8H-CC-PAL-FORAMB,340,U1395,A,8,8-CC,H,CC,PAL,FORAMB,0,0,62.86,62.86,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,R,,,,,,R,,,R,R,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,R,P,,,,,,,,,R,,,,878422a3d777d4cb753f9cbe2dd54659
340-U1395A-9H-CC-PAL-FORAMB,340,U1395,A,9,9-CC,H,CC,PAL,FORAMB,0,0,73.0,73.0,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,6cbc5b146e0d87a6d27d36749903ea17
340-U1395A-10H-CC-PAL-FORAMB,340,U1395,A,10,10-CC,H,CC,PAL,FORAMB,0,0,80.45,80.45,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0583b3a0faa98b9add37d34c4a4594fc
