Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,PF Group Abundance,Beella digitata,Beella praedigitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Clavatorella nicobarensis,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globosa,Dentoglobigerina praedehiscens,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella kugleri,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina falconensis,Globigerina glutinata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina rubescens,Globigerina umbilicata,Globigerinatella insueta,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella pseudobesa,Globigerinita iota,Globigerinoides altiaperturus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides elongatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconella conoidea,Globoconella conomiozea,Globoconella incognita,Globoconella inflata,Globoconella miozea,Globoconella nana,Globoconella panda,Globoconella praescitula,Globoconella puncticulata,Globoconella sphericomiozea,Globoconella zealandica,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia bermudezi,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia menardii,Globorotalia merotumida,Globorotalia paralenguaensis,Globorotalia plesiotumida,Globorotalia scitula,Globorotalia theyeri,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagonus,Globorotaloides suteri,Globorotaloides variabilis,Hastigerina pelagica,Hastigerinopsis riedeli,Hirsutella challengeri,Hirsutella cibaoensis,Hirsutella hirsuta,Hirsutella juanai,Hirsutella margaritae,"Hirsutella scitula (Brady, 1882)",Jenkinsella acrostoma,Jenkinsella bella,Jenkinsella mayeri,Jenkinsella semivera,Jenkinsella siakensis,Menardella archeomenardii,Menardella exilis,Menardella limbata,Menardella menardii,Menardella miocenica,Menardella multicamerata,Menardella pertenuis,Menardella praemenardii,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina universa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina transitoria,Protentella prolixa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis (dex.),Pulleniatina primalis (sin.),Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Streptochilus globigerum,Tenuitella anfracta,Tenuitella clemenciae,Tenuitella munda,Truncorotalia cavernula,Truncorotalia crassaformis,Truncorotalia crassula,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Turborotalita cristata,Turborotalita humilis,Zeaglobigerina apertura,Zeaglobigerina brazieri,Zeaglobigerina connecta,Zeaglobigerina decoraperta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina woodi,PF Comment,File Data
340-U1394B-1H-CC-PAL-FORAMP,340,U1394,B,1,1-CC,H,CC,PAL,FORAMP,0,0,8.21,8.21,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,R,,,R,F,,,,,,,,P,,F,,,,,,,,,,,F,D,F,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,
340-U1394B-2H-CC-PAL-FORAMP,340,U1394,B,2,2-CC,H,CC,PAL,FORAMP,0,0,14.59,14.59,G,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,,F,F,,,,,,,,F,,F,,,,,,,,,,,R,A,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,
340-U1394B-3X-CC-PAL-FORAMP,340,U1394,B,3,3-CC,X,CC,PAL,FORAMP,0,0,15.38,15.38,G,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,R,,,F,,,,,,,,,R,,F,,,,,,,,,,,F,D,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,R,,P,P,,,,,,,,,,,,
340-U1394B-4X-CC-PAL-FORAMP,340,U1394,B,4,4-CC,X,CC,PAL,FORAMP,0,0,22.4,22.4,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,F,,A,,,,,,,,,,,F,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,
340-U1394B-5X-CC-PAL-FORAMP,340,U1394,B,5,5-CC,X,CC,PAL,FORAMP,0,0,31.25,31.25,G,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,R,,,R,,,,,,,,,F,,F,,,,,,,,,,,F,A,A,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,P,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,R,,,,,,P,,,P,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,
340-U1394B-6X-CC-PAL-FORAMP,340,U1394,B,6,6-CC,X,CC,PAL,FORAMP,0,0,40.68,40.68,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,A,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,,P,F,,,,,,,,,,,,
340-U1394B-7X-CC-PAL-FORAMP,340,U1394,B,7,7-CC,X,CC,PAL,FORAMP,0,0,51.2,51.2,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,F,,,,,,,,,,,,,P,A,A,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,,,,,,,,,F,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,,
340-U1394B-8H-CC-PAL-FORAMP,340,U1394,B,8,8-CC,H,CC,PAL,FORAMP,0,0,66.28,66.28,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1394B-9H-CC-PAL-FORAMP,340,U1394,B,9,9-CC,H,CC,PAL,FORAMP,0,0,71.61,71.61,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,R,,R,,,,,,,,,,,,F,A,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,,P,F,,,,,,,,,,,,
340-U1394B-10H-CC-PAL-FORAMP,340,U1394,B,10,10-CC,H,CC,PAL,FORAMP,0,0,82.01,82.01,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,,P,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,P,F,,,,,,,,,,,,
