Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,eodp_id
341-U1417B-1H-CC-PAL,341,U1417,B,1,1-CC,H,CC,PAL,0,13,5.28,5.41,B. aquilonaris,Botyrostrobus aquilonaris,,G [P28],F,,,,,,,,,C,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,c8b80762197b8d4df28ae8347c2282e5
341-U1417B-3H-CC-PAL,341,U1417,B,3,3-CC,H,CC,PAL,0,6,21.41,21.47,B. aquilonaris,Botyrostrobus aquilonaris,"LO Lychnocanoma nipponica sakaii (Morley et Nigrini, 1995)",M [P28],C,,,,,,,,R,F,,,,,,,,,A,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,R,,,,,A,,,,,,,,,R,,,,F,,,,,A,R,F,,,,,,,,,,,,,,,,,,,,,01e69b99bc933a3f3a72ad9fb57b8033
341-U1417B-4H-CC-PAL,341,U1417,B,4,4-CC,H,CC,PAL,0,17,31.07,31.24,B. aquilonaris,Botyrostrobus aquilonaris,,P [P28],F,,,,,,,,R,F,,,,R,,,,,F,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,C,,,,,,,,,R,,,,R,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,95eb3a1c7ce2c0c7517ffba38633cf94
341-U1417B-5H-CC-PAL,341,U1417,B,5,5-CC,H,CC,PAL,0,21,40.68,40.89,B. aquilonaris,Botyrostrobus aquilonaris,,P [P28],R,,,,,,,,R,R,,,,,,,,,R,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,ec7d0ee32b36ef052f616d7d67577095
341-U1417B-6H-CC-PAL,341,U1417,B,6,6-CC,H,CC,PAL,0,23,48.99,49.22,B. aquilonaris,Botyrostrobus aquilonaris,,G [P28],A,,,,,,,,R,C,,,,,,,,,A,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,C,,,,,R,C,,,,,,,,R,,,,,,,,,R,F,,,,,,,,,,,,,R,,,,,,,,,8c9d3e0dccf23582b0f4b9d04a44c344
341-U1417B-7H-CC-PAL,341,U1417,B,7,7-CC,H,CC,PAL,0,28,58.02,58.3,B. aquilonaris,Botyrostrobus aquilonaris,,M [P28],F,,,,,,,,R,R,,,,,R,,,,C,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,F,,,,,R,R,,,,,,,,,,,,F,,,,,F,R,,F,,,,,,,,,,,R,,,,,,,,,83301341f8d304d5275dc2864eec3f46
341-U1417B-8H-CC-PAL,341,U1417,B,8,8-CC,H,CC,PAL,0,22,67.03,67.25,B. aquilonaris,Botyrostrobus aquilonaris,"LO Stylacontarium acquilonium (Kamikuri et al., 2007)",M [P28],R,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,R,,,,,R,,,,,,,,,,C,,,,R,,,,,,,,,0ae1fd2d2539ba557f2cff26d738793c
341-U1417B-9H-CC-PAL,341,U1417,B,9,9-CC,H,CC,PAL,0,21,76.25,76.46,S. universus,Stylatractus universus,"LO Stylatractus universus (Kamikuri et al., 2007)",G [P28],A,,,,,,,,,F,,,,,R,,,,C,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,C,,,,,A,F,,,,R,,,,R,,,,C,,,,,C,F,,C,,,,,,,A,A,,,R,,,,,,,,,dc3ff1721481b5b2996507b0a88db725
341-U1417B-10H-CC-PAL,341,U1417,B,10,10-CC,H,CC,PAL,0,10,86.11,86.21,S. universus,Stylatractus universus,,G [P28],C,,,,,,,,,A,,,,,,,,,A,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,C,,,,,,,,,,,,,,R,,,,F,,,,,C,C,,F,,,,,,,C,R,,,R,,,,,,,,,e67b979e793ef092e12bb2988b3dbddf
341-U1417B-11H-CC-PAL,341,U1417,B,11,11-CC,H,CC,PAL,0,18,94.9,95.08,S. universus,Stylatractus universus,,G [P28],C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d7cc6c6ac62e8603b9878649b9730cee
