Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data
341-U1419B-1H-CC-PAL-RADS,0,5,8.48,8.53,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],F [A81],,,,,,,,R [A82],,,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A82],,R [A82],,,,,,,,,,,,,,,,,,,,,,,R [A82],R [A82],,R [A82],,,,,,,,,,,,,,,R [A82],,,,
341-U1419B-2H-CC-PAL-RADS,0,5,11.94,11.99,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,R [A82],,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,
341-U1419B-3H-CC-PAL-RADS,0,5,19.3,19.35,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],C [A81],,,,,,,,C [A82],F [A82],,,,,,,,,A [A82],R [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A82],,R [A82],,,,,,R [A82],,,,,,,,R [A82],,,,,,,,,A [A82],,R [A82],,,,,,,,,,,,,,,,F [A82],,,,
341-U1419B-4H-CC-PAL-RADS,0,5,37.74,37.79,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],C [A81],,,,,,,,R [A82],C [A82],,,,,,,,,C [A82],F [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A82],,R [A82],,,,,,C [A82],,,,,,,,R [A82],,,,,,,,,F [A82],R [A82],,,,,,,,,,,,,,,,,F [A82],,,,
341-U1419B-5H-CC-PAL-RADS,0,5,47.27,47.32,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,R [A82],R [A82],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A82],,R [A82],,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419B-6H-CC-PAL-RADS,0,5,50.34,50.39,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],A [A81],,,,,,,,R [A82],R [A82],,,,,,,,,A [A82],F [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,A [A82],,R [A82],,,,,,A [A82],,,,,,,,R [A82],,,,,,,,,C [A82],,,R [A82],,,,,,,,,,,,,,,C [A82],,,,
341-U1419B-7H-CC-PAL-RADS,0,5,60.51,60.56,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419B-8H-CC-PAL-RADS,0,5,69.56,69.61,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,R [A82],,,,,,,,,,C [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,
341-U1419B-9H-CC-PAL-RADS,0,5,78.18,78.23,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419B-10H-CC-PAL-RADS,0,5,81.7,81.75,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],F [A81],,,,,,,,F [A82],F [A82],,,,,,,,,A [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,A [A82],,R [A82],,,,,,A [A82],,,,,,,,F [A82],,,,,,,,,A [A82],F [A82],F [A82],,,,,,,,,,,,,,,,,,,,
341-U1419B-11H-CC-PAL-RADS,0,5,86.7,86.75,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],C [A81],,,,,,,,,R [A82],,,,,,,,,A [A82],F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A82],,R [A82],,,,,,R [A82],,,,,,R [A82],,R [A82],,,,,,,,,A [A82],F [A82],F [A82],,,,,,,,,,,,,,,,,,,,
341-U1419B-12H-CC-PAL-RADS,0,5,89.62,89.67,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],C [A81],,,,,,,,,,,,,,,,,,F [A82],,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,R [A82],,,,,,R [A82],,R [A82],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,
341-U1419B-13H-CC-PAL-RADS,0,7,95.5,95.57,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419B-14H-CC-PAL-RADS,0,5,100.34,100.39,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,R [A82],,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419B-15H-CC-PAL-RADS,0,5,105.11,105.16,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419B-16H-CC-PAL-RADS,0,5,109.68,109.73,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1419B-19H-CC-PAL-RADS,0,5,113.98,114.03,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
