Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Amphisphaera coronata s.l.,Amphisphaera goruna,Axoprunum pierinae group,Bekoma bidartensis,Bekoma campechensis,Bekoma divaricata,Buryella clinata,Buryella pentadica,Buryella tetradica,Calocycloma ampulla,Calocycloma castum,Clathrocyclas australis,Dictyoprora mongolfieri,Eusyringium fistuligerum,Eusyringium lagena,"Heliodiscus asteriscus Haeckel, 1887",Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme,Lamptonium pennatum,Lithochytris vespertilio,Lophocyrtis (Cyclampterium) hadra,Lophocyrtis (Lophocyrtis) jacchia,Lophocyrtis aspera,Lophocyrtis biaurita,Lophocyrtis semipolita group,Lychnocanoma amphitrite,Lychnocanoma auxilla,Lychnocanoma bellum,Lychnocanoma conica,Lychnocanoma elongata,Periphaena decora,Periphaena heliasteriscus,Periphaena tripyramis triangula,Peritiviator(?) dumitricai,Phormocyrtis striata exquisita,Phormocyrtis striata praexquisita,Phormocyrtis striata striata,Phormocyrtis turgida,Podocyrtis aphorma,Podocyrtis diamesa,Podocyrtis papalis,Pterocodon (?) ampla,Pterocodon (?) anteclinata,Pterocodon (?) poculum,Rhopalocanium ornatum,Sethochyrtis chrysalli,Sethochytris bablylonis,Sethochytris triconiscus,Spongatractus balbis,Spongatractus pachystylus,Stylotrochus nitidus,Theocorys acroria,Theocorys anaclasta,Theocotyle conica,Theocotyle cryptocephala,Theocotyle nigriniae,Theocotylissa ficus,Thyrsocyrtis hirsuta,Thyrsocyrtis rhizodon,Thyrsocyrtis tensa,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
342-U1403A-1H-1-W 48/50-RADS,0,2,0.48,0.5,,,,P [P22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,342,U1403,A,1,H,1,W,e02b11970be3d88d45ff912e62c875c5
342-U1403A-1H-2-W 48/50-RADS,0,2,1.98,2.0,,,,P [P22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,342,U1403,A,1,H,2,W,de711c650c04218b39c0175ee2599de0
342-U1403A-2H-CC-PAL,0,5,15.67,15.72,,,,M [P22],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,2,H,CC,PAL,4dfa5f7d83e3d73308c89403313a724a
342-U1403A-3H-CC-PAL,0,5,25.14,25.19,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,3,H,CC,PAL,58994417dcd6544a67f74fb24734a6c0
342-U1403A-4H-CC-PAL,0,5,34.29,34.34,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,4,H,CC,PAL,28b489ace57fa1afaf200da47c5e90ab
342-U1403A-5H-CC-PAL,0,5,43.79,43.84,,,,M [P22],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,5,H,CC,PAL,88b87702df7f4b75a9560778eb129689
342-U1403A-6H-CC-PAL,0,5,53.64,53.69,,,,P [P22],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,6,H,CC,PAL,8fe98ef9f057ed45f9de1dc08abe9188
342-U1403A-7H-CC-PAL,0,5,63.34,63.39,,,,P [P22],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,7,H,CC,PAL,6213cbe3dcee04bfba0f45921b515a12
342-U1403A-8H-CC-PAL,0,5,72.96,73.01,RP12,RP12 - Thyrsocyrtis triacantha,,M [P22],A,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,P,,P,P,,,,,342,U1403,A,8,H,CC,PAL,2d33265309b6cdf1087f8a1e05c5b64f
342-U1403A-9H-4-W 50/52-RADS,0,2,77.27,77.29,,,,P [P22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,342,U1403,A,9,H,4,W,64e212a5d81b2ed202c6e9c520a56eb7
