Exp,Hole,Core,Type,Section,Top Depth CFS (m),Abundance,Preservation,Marine,Coscinodiscus marginatus,Grammatophora sp.,Hyalodiscus sp.,Thalassiosira oestrupii,Thalassiosira spp.,,Coastal upwelling,Resting spores of Chaetoceros,,Coastal,Paralia sulcata,Thalassionema nitzschioides,,Fresh or brackish water,Gen. et sp. indet,Comments,
317,U1353A,1,H,CC,5.44,C,M,,,,X,,X,,,X,,,C,,,,X,,
317,U1353A,2,H,CC,9.33,B,,,,,,,,,,,,,,,,,,,
317,U1353A,3,H,CC,17.95,B,,,,,,,,,,,,,,,,,,,
317,U1353A,4,H,CC,26.72,B,,,,,,,,,,,,,,,,,,,
317,U1353A,5,H,CC,34.08,B,,,,,,,,,,,,,,,,,,,
317,U1353A,6,H,CC,41.37,B,,,,,,,,,,,,,,,,,,,
317,U1353A,7,H,CC,48.33,B,,,,,,,,,,,,,,,,,,,
317,U1353A,8,H,CC,55.97,X,P,,,,,,,,,,,,,,,,,,
317,U1353B,1,H,CC,7.94,C,M,,X,X,,X,X,,,R,,,C,X,,,,,
317,U1353B,2,H,CC,16.90,B,,B,,,,,,,,,,,,,,,,,
317,U1353B,3,H,CC,26.06,B,,,,,,,,,,,,,,,,,,,
317,U1353B,4,H,CC,27.67,B,,,,,,,,,,,,,,,,,,,
317,U1353B,5,H,CC,35.53,B,,,,,,,,,,,,,,,,,,,
317,U1353B,6,H,CC,43.15,B,,,,,,,,,,,,,,,,,,,
317,U1353B,7,H,CC,48.91,B,,,,,,,,,,,,,,,,,,,
317,U1353B,8,H,CC,56.84,B,,,,,,,,,,,,,,,,,,,
317,U1353B,9,H,CC,61.90,B,,,,,,,,,,,,,,,,,,,
317,U1353B,10,H,CC,67.50,B,,,,,,,,,,,,,,,,,,,
317,U1353B,11,H,CC,73.14,B,,,,,,,,,,,,,,,,,,,
317,U1353B,12,H,CC,80.12,X,P,,,,,,,,,,,,X,,,,,caved,
317,U1353B,13,H,CC,80.20,B,,,,,,,,,,,,,X,X,,,,,
317,U1353B,14,X,CC,80.77,B,,,,,,,,,,,,,,,,,,,
317,U1353B,16,X,CC,97.20,B,,,,,,,,,,,,,,,,,,,
317,U1353B,17,H,CC,106.80,B,,,,,,,,,,,,,,,,,,,
317,U1353B,18,X,CC,108.44,B,,,,,,,,,,,,,,,,,,,
317,U1353B,19,H,CC,117.04,X,P,,,,,,,,,,,,X,,,,,caved,
317,U1353B,20,H,CC,119.16,B,,,,,,,,,,,,,,,,,,All barren from Section 20H-CC to 98X-CC,
317,U1353B,21,H,CC,121.16,B,,,,,,,,,,,,,,,,,,,
317,U1353B,23,H,CC,135.71,B,,,,,,,,,,,,,,,,,,,
317,U1353B,24,H,CC,139.67,B,,,,,,,,,,,,,,,,,,,
317,U1353B,25,H,CC,142.86,B,,,,,,,,,,,,,,,,,,,
317,U1353B,26,H,CC,147.39,B,,,,,,,,,,,,,,,,,,,
317,U1353B,27,H,CC,149.68,B,,,,,,,,,,,,,,,,,,,
317,U1353B,28,H,CC,152.95,B,,,,,,,,,,,,,,,,,,,
317,U1353B,29,H,CC,158.06,B,,,,,,,,,,,,,,,,,,,
317,U1353B,30,H,CC,161.36,B,,,,,,,,,,,,,,,,,,,
317,U1353B,31,X,CC,161.67,B,,,,,,,,,,,,,,,,,,,
317,U1353B,32,X,CC,164.10,B,,,,,,,,,,,,,,,,,,,
317,U1353B,33,H,CC,177.00,B,,,,,,,,,,,,,,,,,,,
317,U1353B,34,H,CC,181.79,B,,,,,,,,,,,,,,,,,,,
317,U1353B,35,H,CC,182.50,B,,,,,,,,,,,,,,,,,,,
317,U1353B,36,H,CC,187.79,B,,,,,,,,,,,,,,,,,,,
317,U1353B,37,H,CC,190.06,B,,,,,,,,,,,,,,,,,,,
317,U1353B,38,H,CC,192.96,B,,,,,,,,,,,,,,,,,,,
317,U1353B,39,H,CC,196.38,B,,,,,,,,,,,,,,,,,,,
317,U1353B,40,H,CC,201.40,B,,,,,,,,,,,,,,,,,,,
317,U1353B,41,H,CC,202.79,B,,,,,,,,,,,,,,,,,,,
317,U1353B,42,H,CC,204.98,B,,,,,,,,,,,,,,,,,,,
317,U1353B,43,H,CC,206.27,B,,,,,,,,,,,,,,,,,,,
317,U1353B,44,X,CC,206.42,B,,,,,,,,,,,,,,,,,,,
317,U1353B,45,H,CC,220.75,B,,,,,,,,,,,,,,,,,,,
317,U1353B,46,H,CC,225.76,B,,,,,,,,,,,,,,,,,,,
317,U1353B,47,H,CC,228.68,B,,,,,,,,,,,,,,,,,,,
317,U1353B,48,H,CC,232.08,B,,,,,,,,,,,,,,,,,,,
317,U1353B,50,H,CC,233.66,B,,,,,,,,,,,,,,,,,,,
