Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Alabamminella weddelensis,Amphicoryna sp.,Anomalinoides globulosus,Anomalinoides sp. A,Astrononion echolsi,Astrononion sp. indet.,Bigenerina sp.,Brizalina pusilla,Bulimina alazanensis,Buliminella parvula,Cassidulina sp. A,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides wuellerstorfi,Cibicidoides sp. A,Cibicidoides sp. C,Cibicidoides sp. indet.,Cystammina pauciloculata,Dentalina spp.,Eggerella bradyi,Ehrenbergina histrix,Evolvecassidulina cf. howei,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fursenkoina bradyi,Glandulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides sp. indet.,Heronallenia sp.,Karreriella chapapotensis,Laticarinina pauperata,Lenticulina spp.,Mattinotiella cummunis,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides umbonifer,Nuttallides sp.,Oridorsalis umbonatus,Orthomorphina spp.,Paracassidulina sp.,Planulina costata,Planulina renzi,Pleurostomella spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Pullenia sp. indet.,Pyrulina spp.,Quadrimorphina? sp.,Quinqueloculina sp.,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroloculina sp.,Spiroplectammina spectabilis,Textularia spp.,Triloculina sp.,Trochamminas? sp.,Turrilina robertsi,Tube-shaped agglutinated form.,Unilocular species,Uvigerina peregrina pradyiana,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample
320,A,"1H-cc, 21-26 cm",8.22,M,LB-A,,,,,,,,,,R,,,,,,,,F,,,,,,R,,,,,,,,,R,R,R,,,R,,,,R,R,,,,,,,A,,R,,,,,R,R,,R,,,,,F,R,,,R,,R,R,,R,,,,,,,F,,,,R,cc,1,H,21,26,U1336,,,320-U1336A-1H-cc-nan
320,A,"2H-cc, 15-20 cm",17.71,G,LB-A,,,,F,,,,,,,,,,,,,,F,,,,R,,,,R,,,,,,,R,,,,,R,,,,,F,,,,,,,,,R,,,,,,,,R,,,,,,,,,R,,,,,,,,R,,,,,,,,F,cc,2,H,15,20,U1336,,,320-U1336A-2H-cc-nan
320,A,"3H-cc, 24-29 cm",27.50,G,LB-A,,,,,R,,,R,,,,,,,R,R,,A,,R,,R,,R,R,,,,,F,,,F,,F,,,R,,,,,R,,,,,,,,,F,,,,R,,,,R,R,,R,,R,,R,,R,R,,R,,,R,,,,,,F,,R,,F,cc,3,H,24,29,U1336,,,320-U1336A-3H-cc-nan
320,A,"4H-cc, 17-22 cm",36.23,G,LB-A,,,,R,,,,,,,R,,,,,R,,R,,,,,,,,,,,,,,,R,R,,,R,,,,,,R,,,,,,,R,,F,,,,R,R,,,,,,,,R,,,,R,,,,,,,,,,,,R,,,,R,cc,4,H,17,22,U1336,,,320-U1336A-4H-cc-nan
320,A,"5H-cc, 21-26 cm",46.44,G,LB-A,,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,R,,,,,,R,,,,,,,R,,,,,,,F,,,,,,,,,,R,,R,,,,,,,,,,,,F,,R,,F,cc,5,H,21,26,U1336,,,320-U1336A-5H-cc-nan
320,A,"6H-cc, 14-19 cm",55.17,G,LB-A,,,,,R,,R,,,,R,,,,R,,,F,,,,,,R,,,,,,,,,A,R,R,R,,,R,,,,,R,,,,,,R,,A,,,R,R,R,R,,,R,,,,R,,R,,,,R,R,,,R,,,,,,F,R,R,R,R,cc,6,H,14,19,U1336,,,320-U1336A-6H-cc-nan
320,A,"7H-cc, 27-32 cm",65.59,G,LB-A,,,,R,R,R,,R,,,,,,,R,,,F,,,,,,R,,,,,,R,,,F,R,,R,R,R,,,,,,,,,,,,R,,A,,,,,F,R,,R,,,,,,,F,,R,,R,R,R,,,,,,,F,F,,,,F,cc,7,H,27,32,U1336,,,320-U1336A-7H-cc-nan
320,A,"8H-cc, 14-19 cm",74.41,G,LB-A,,,,,,,,R,,,,,,,,,,F,,R,,,,R,R,,R,,,R,,,A,R,R,R,,,,,,,R,,,,,,R,R,,A,,,,,R,,,A,R,,,,,,,,R,,R,R,R,,,R,,,,R,F,,,,R,cc,8,H,14,19,U1336,,,320-U1336A-8H-cc-nan
320,A,"9H-cc, 21-26 cm",84.61,G,LB-A,,,,R,,,,R,,,,,,,,,,F,,R,,,,,,,,,,,,,F,R,,,,,,,,,F,R,,,,R,,,,A,,,,,R,,R,R,,,,,,,,,R,R,R,,,,,,,,,,R,,R,,,cc,9,H,21,26,U1336,,,320-U1336A-9H-cc-nan
320,A,"10H-cc, 20-25 cm",93.81,G,LB-A,,,,R,F,,,,,,R,,,,,R,,,,,,,,R,R,,,,,,,F,F,R,R,R,,F,R,,,,,,,,,,,R,,F,R,,,,R,R,,F,,,,,R,,,,,,,A,,,,,,,,,,,,,,cc,10,H,20,25,U1336,,,320-U1336A-10H-cc-nan
