Expedition,Site,Hole,Core,Core Type,Section,Section Half,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],Zone,Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (small),C. pelagicus,C. braarudii,R. minutula,R. minuta,C. leptoporus,C. leptoporus (small),Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,1,H,CC,,0,10,5.86,5.96,NN21,A,G,A,,F,F,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,2,H,CC,,13,23,15.72,15.82,,R,M-G,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,3,H,CC,,18,28,25.56,25.66,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,4,H,CC,,27,37,35.04,35.14,,R,G,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,5,H,CC,,32,42,43.94,44.04,,R,M,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,6,H,CC,,30,40,53.77,53.87,,R,M-G,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,7,H,CC,,57,67,63.11,63.21,,R,M-G,,,R,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,8,H,CC,,37,47,72.5,72.6,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,9,H,CC,,31,41,82.04,82.14,,R,M,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,10,H,CC,,28,38,91.81,91.91,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,11,H,CC,,34,44,101.23,101.33,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,12,H,3,A,22,22,103.72,103.72,,A,G,,,A,A,C,,,,,,Sample from the Sedimentology collection. Laminated interval. Gephyrocapsids are G. caribbeanica type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1345,C,12,H,CC,,25,35,110.98,111.08,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
