"Expedition, site, hole, core, section, interval (cm):",Bottom Depth [m],Top Depth [m],Age:,Globoconella inflata,Globoconella puncticuloides,Globoconella puncticuloides (compressed),Globoconella triangula,Globoconella triangula (cf.),Truncorotalia crassacarina (S),Truncorotalia crassacarina (D),Truncorotalia crassula (S),Truncorotalia crassula (D),Truncorotalia viola (S),Truncorotalia viola (D),Truncorotalia truncatulinoides (S),Truncorotalia truncatulinoides (D),Hirsutella hirsuta (D),Hirsutella scitula,Hirsutella theyeri,Globigerina bulloides,Globigerina falconensis,Globigerina sp.,Turborotalita quinqueloba,Globigerinella aequilateralis,Globigerinella calida,Globigerinopsis obesa,Globigerinita glutinata,Neogloboquadrina dutertrei (S),Neogloboquadrina dutertrei (D),Neogloboquadrina incompta,Neogloboquadrina pachyderma,Globigerinoides conglobatus,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides rubescens,Globigerinoides sacculifer,Globigerinoides trilobus,Orbulina bilobata,Orbulina universa,Globorotalia tumida,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Globoconella miotumida,Globoquadrina dehiscens,Hirsutella panda,Paragloborotalia mayeri s.l.,Paragloborotalia partimlabiata,Truncorotalia crassaformis (S),Truncorotalia crassaformis (D),Zeaglobigerina apertura,Zeaglobigerina woodi,Zeaglobigerina sp.,Sample,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
"372-U1517C-1H-1, 20-25",0.25,0.2,Holocene,A,,,C,,,,2,,1,3,12,7,5,,,A,F,F,,R,,,,,,R,,,,,R,,,,,F,,R,,,,,,,,,,,,,372-U1517C-1H-1,20,25,372,U1517,C,1,H,1,,5cc969585f39b5745e318b4b36fb714b
"372-U1517C-1H-2, 106-111",2.61,2.56,,A,,,F,,,,?,?,,,14,18,3,,,A,R,F,,F,,,,,,F,,,F,,F,,,,,R,,,,?,,,,,,,,,,,372-U1517C-1H-2,106,111,372,U1517,C,1,H,2,,d220c812025d095ce1e48793fe9b238d
"372-U1517C-1H-13, 29-34",3.34,3.29,,C,,,,A,,,,,4,1,6,22,7,,,A,F,F,,R,R,,R,,R,F,,,,,F,,,,,F,,F,,,,,,,,,,,,,372-U1517C-1H-13,29,34,372,U1517,C,1,H,13,,e59c78a99df716d5c2b89d8cb1cb3b1e
"372-U1517C-1H-4, 42-47",4.97,4.92,Late Pleistocene,A,,,R,,,,?,,,,8,1,,,,C,R,F,R,,,,R,,,R,,,,(R),,,,,,F,,,,,(?),,,(R),,,,(R),,(R),372-U1517C-1H-4,42,47,372,U1517,C,1,H,4,,b873c5752f526defb41598f0c7a3a322
"372-U1517C-1H-CC, 28-33",5.7,5.65,,A,R,,,,,,?,,,,13,1,,R,,C,R,R,,,,,R,,R,F,R,,,,R,,,,,R,,,,,(?),,,(F),,,,(R),(R),(R),372-U1517C-1H-CC,28,33,372,U1517,C,1,H,CC,,f19c94f93b57846131913677822bef37
"372-U1517C-2H-CC, 33-38",15.2,15.15,,A,R,R,,,,,1,,1,,40,,,,,A,R,F,F,R,,,R,,R,A,R,,,R,,,,,,R,,,,,(R),,,,(?),,,,,(R),372-U1517C-2H-CC,33,38,372,U1517,C,2,H,CC,,e4ca5391f48321480ce90a9a1b979d24
"372-U1517C-3F-CC, 25-30",19.9,19.85,,A,,,,,,,1,,4,,4,,,,,A,F,C,F,R,,,F,,R,A,R,,,,,,,,,R,,,,,(R),,,,,,,,(R),,372-U1517C-3F-CC,25,30,372,U1517,C,3,F,CC,,956515ed23d46bb22f72b01b3fe44136
"372-U1517C-4F-CC, 24-29",24.6,24.55,,A,,,,R,,,5,,2,,39,2,,R,,A,F,C,F,,,,F,,R,C,R,,,,,,,,,R,,,,,,,,,,,,,(R),,372-U1517C-4F-CC,24,29,372,U1517,C,4,F,CC,,04665221f6a55de615905dd40af4a935
"372-U1517C-5F-CC, 24-29",29.3,29.25,,,R,,,,,,3,,,,8,1,,,,C,R,F,,R,,,,,R,C,R,,,,,,R,R,,,,,,,(R),,,,,(R),,,(R),(R),372-U1517C-5F-CC,24,29,372,U1517,C,5,F,CC,,b8e14c58bcc89fcb52e0fbb85c2b9773
"372-U1517C-6F-CC, 21-26",33.98,33.93,,A,,,,,,,9,,,,24,,,,,A,R,F,,F,,,F,,F,A,R,,R,R,R,,,,,,,,,,,,(R),,,,,,(F),,372-U1517C-6F-CC,21,26,372,U1517,C,6,F,CC,,73e899e46c85023d03b6f7954e9ab0e2
