leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
10,86,,1,1,0.0,33.0,13.00,13.00,13.33,, CLAYEY OOZE, 5YR5/4, MASSIVE, MODERATELY DISTUR BED,,,,,, 11110000.3450
10,86,,1,1,33.0,150.0,13.00,13.33,14.50,, FORAM CLAYEY NANNO OOZE," 10YR7/2,5Y6/1,5Y7/1,5GY6 /1,5G7/1,5B5/1"," 33-36 CM 10YR7/2 AND 5Y6/1 MICROMOT TLES,5G7/1-MODERATE TO SPARSELY MOTTLED WITH THIN ST REAKS (LAM) OF 5B5/1, POSSIBLE BURROWS,TOP BOUNDARY SHARP CONTACT"," LAMINAE DISTORTED DURING DRILLING,MO DERATELY DISTURBED",,,, 37-44 CM 5Y7/1,, 00000000
10,86,,1,2,0.0,150.0,13.00,14.50,16.00,, FORAM CLAYEY NANNO OOZE," -GREENISH GRAY,5G7/1,5B8 /1,5GY6/1-GREEN GRAY,5Y5/1-OLIVE GRAY"," MODERATELY B URROWED,5G7/1 WITH THIN LAMINAE OF 5B5/1 (FE S STAIN ?)",, ISOLATED POINTS OF FES ? STAINING, FES,, LITH IS GREENISH GRAY,, 00000000
10,86,,1,3,0.0,145.0,13.00,16.00,17.45,, FORAM CLAYEY NANNO OOZE," 5Y6/1,5G7/1,5B5/1"," MODE RATE TO SPARSELY BURROWED,5G7/1 WITH THIN LAMINAE OF 5B5/1",, ISOLATED POINTS OF FES ? STAINING, FES,, 9 -12 CM 5Y6/1,, 00000000
10,86,,2,1,55.0,150.0,52.00,52.55,53.50,, FORAM CLAYEY NANNO OOZE," 5G6/1,5G7/1,5GY6/1"," COL OR MOTTLED WITH INTERVAL MOTTLES SUGGESTING BURROWS (MODERATE INTENSITY),126-130 CM 5G7/1 WITH BURROW FI LL AS 5GY6/1", INTENSE DEFORMATION, MINOR FES STAIN AT SMALL BURROW OPENINGS ?,,, CORE EXTRUDED IN DISOR IENTED FRAGMENTS,, 00000000
10,86,,3,1,0.0,150.0,161.00,161.00,162.50,, FORAM CLAYEY NANNO OOZE," 5G7/1,5G6/1,-GREENISH GR AY"," BURROWED/MOTTLED MODERATE TO SEVERE,5G7/1 WITH SUBSIDIARY AMOUNTS OF 5G6/1 AS MOTTLES/BURROW-FILL"," 0-80 CM SEVERE BRECCIATED,80-150 CM INTENSE DEFORMA TION", LOCALIZED SPOTS OF FES ? STAINING BURROW FILL, FES,, TYPICAL PELAGITE AS IN BARRELS 1 AND 2,, 00000000
10,86,,3,2,0.0,150.0,161.00,162.50,164.00,, FORAM CLAYEY NANNO OOZE,,,,,,, SAME AS 3-1,, 00000000
10,86,,3,3,0.0,150.0,161.00,164.00,165.50,, FORAM CLAYEY NANNO OOZE,,,,,,, IDENTICAL TO 3-2,, 00000000
10,86,,3,4,0.0,150.0,161.00,165.50,167.00,, FORAM CLAYEY NANNO OOZE,,,,,,, IDENTICAL TO 3-2,, 00000000
10,86,,3,5,0.0,150.0,161.00,167.00,168.50,, FORAM CLAYEY NANNO OOZE," -GREENISH GRAY,5G7/1,5G6 /1", BURROW/MOTTLED MODERATE TO SEVERE GREENISH GRAY SLIGHTLY FORAM LAMINAT ED TO BANDED CLAYEY NANNO OOZE, MODERATE DE FORMATION, LOCAL SPOTS OF FES STAINING SMALL BURROW FILL ?, FES,, 5G7/1 WITH 5G6/1 EV IDENTLY REFLECTIONS LESSER CLAY CONTENT IN LIGHTER H UE,, 00000000
10,86,,3,6,0.0,150.0,161.00,168.50,170.00,, FORAM CLAYEY NANNO OOZE," 5G7/1,5G6/1"," LAMINAE LE SS NUMEROUS AND BURROW MIXING MORE SEVERE,110 CM FES LAMINAE",,, FES,, AS 3-5,, 00000000
10,86,,4,1,0.0,150.0,257.00,257.00,258.50,, FORAM CLAYEY NANNO OOZE," 5G7/1,5G6/1 -GREENISH GRA Y", LAMINATED TO BANDED SEVERELY TO MODERATELY BURROWED,, LOCAL SP OTS OF FES ? STAIN BURROW FILL, FES,,,, 00000000
10,86,,4,2,0.0,150.0,257.00,258.50,260.00,, FORAM CLAYEY NANNO OOZE," -GREENISH GRAY,5G6/1,5G7 /1"," VAGUELY BANDED SEVERELY TO MODERATELY BURROWED, HARD BANDS/LAMINAE APPEAR TO BE COHERENT NANNO (DISC ) OOZE 22-23 CM 60-63 CM 102-103 CM AND 140-142 CM",, LOCAL SPOTS OF FES ? STAINING BURROW FILL ?, F ES, DISC, COLORS MIXED, HARD BANDS, 00000000
10,86,,4,3,0.0,150.0,257.00,260.00,261.50,, FORAM CLAYEY NANNO OOZE,, SEVERAL HARD BANDS/LAMIN AE OF COCCOLITH OOZE, SOME SEVERE DISTORTION,,, COCC OLITH OOZE," AS ABOVE (4-2),NOTE THAT HARD BANDS DEF INE BEDDING WHEREAS INTERVENING SEGMENTS SHOW SEVERE DISTORTION", HARD BANDS, 00000000
10,86,,4,4,0.0,150.0,257.00,261.50,263.00,, FORAM CLAYEY NANNO OOZE,,,,,,, AS 4-2 WITH HARD BANDS/L AMINAE OF COCCOLITH OOZE AS IN PRECEDING SECTION,, 00000000
10,86,,4,5,0.0,150.0,257.00,263.00,264.50,, NANNO CALCILUTITE OOZE," 5GY7/2-GRAYISH YELLOW GRE EN,10Y6/2-PALE OLIVE,N3-DARK GRAY"," MOTTLED OR STREA KED GRAYISH YELLOW GREEN AND PALE OLIVE WITH SPECKS OF DARK GRAY FES (?),SOFTER ZONES HIGHLY STREAKED,PR ESUMABLY BURROW MOTTLING ALSO THRUOUT", HARD ZONES L ESS DISTURBED,, FES, SAND SIZE PLANKTONIC (GLOBIGER INID-TYPE) FORAMS MEGASCOPICALLY VISIBLE THRUOUT, C LAY TO SILT SIZE DOMINANT," HARD ZONES AT 21-24 CM 5 6-60 CM 80-84 CM,HARDER 110-150 CM,SOFT ZONES OCCUPY REST OF CORE", 00000000
10,86,,5,1,80.0,150.0,371.00,371.80,372.50,, NANNO CALCILUTITE OOZE, N8-VERY LIGHT GRAY," INTE RBEDDED SILTY (HARD) AND CLAYEY (SOFT) VERY LIGHT GR AY NANNO CALCILUTITE OOZE,STRATIFICATION LACKING EXC EPT FOR FRACTURE PARTING,POSSIBLE VERY FAINT MOTTLIN G (BURROW ?) IN HARDER SILT ZONE",,,, FORAMS PRESENT TH RUOUT,, HARD ZONES 80-100 CM AND 120-130 CM, 00000000
10,86,,5,2,0.0,150.0,371.00,372.50,374.00,, NANNO CLAYEY-SILTY CALCILUTITE OOZE," 5GY8/1-LIGHT GREENISH GRAY,N7-LIGHT GRAY"," MOTTLING OF MORE CLAY EY LIGHT GREENISH GRAY AND SILTIER LIGHT GRAY,DISTIN CTLY BURROW MOTTLING HERE (75-105 CM) DIMINISHING DO WNWARD",,,,," NEARLY FEATURELESS STRATIFICATION EXCEPT WH ERE NOTED BY PARTING DASHES OR BURROW SYMBOLS,THE LI GHT GREENISH GRAY COLOR PREDOMINATES"," HARD ZONES 15 -20 CM 25-35 CM 40-74 CM 77-105 CM 110-133 CM AND 14 0-150 CM,SOFT ZONES INBETWEEN", 00000000
10,86,,5,3,0.0,150.0,371.00,374.00,375.50,, FORAM COCCOLITH OOZE CHALK," 5GY9/1,N7"," 5GY9/1 WI TH MORE HIGHLY BURROWED ZONES SHOWING SUBSIDIARY N7 AS BURROW FILL,WHITE GREENISH GRAY MOTTLED/BURROWED MODERATE TO SEVERELY,SOME ZONES NEARLY MASSIVE TO F EATURELESS WITH BURROWS VERY SUBTLE DUE TO LAKC OF C ONTRAST,BURROWS OFTEN FILLED WITH ASH RESIDUE"," SOFT ZONES ARE INTERPETED AS MECHANICALLY DISTURBED ZONE S,STRONG DEFORMATION",,,, HARD ZONES ARE MOST REPRESENT ATIVE, HARD ZONES 0-12 CM 40-43 CM 46-59 CM 62-100 CM 101-110 CM 115-123 CM 137-141 CM, 00000000
10,86,,5,4,0.0,150.0,371.00,375.50,377.00,, FORAM COCCOLITH OOZE CHALK," 5GY9/1,N7,-WHITE GREE NISH GRAY"," 5GY9/1 OF MINOR N7 AS BURROW FILL,WHITE GREENISH GRAY MOTTLED/BURROWED MODERATE",,,,,, HARD AND S OFT ZONES NOT DIFFERENTIATED HERE, 00000000
10,86,,6,CC,0.0,0.0,440.00,441.60,441.60,, FORAM COCCOLITH CHALK," -VERY LIGHT GREENISH GRAY, N5,N6"," VERY LIGHT GREENISH GRAY MOTTLED WITH N5 N6, BURROWED ?",,,,,, MODERATELY HARD, 00000000
10,86,,7,1,0.0,150.0,498.00,498.00,499.50,, NOT OPENED,,,,,,,," SOFT,TO SOUPY", 00000000
10,86,,7,2,0.0,150.0,498.00,499.50,501.00,, FORAM COCCOLITH OOZE CHALK, 10YR8/2-VERY PALE ORA NGE N3," DOMINANT 10YR8/2 WITH THIN LAMINAE OF N3 SLIGH TLY TO MODERATELY BURROWED,VAGUELY LAMINATED CONSISTS OF ALTERNATING HARD AND SO FT LAYERS WITH SOFT LAYERS PREDOMINATE", INTEN SE DEFORMATION,,,,," HARD,SOFT", 00000000
10,86,,7,3,0.0,150.0,498.00,501.00,502.50,, FORAM CLAYEY COCCOLITH OOZE CHALK," 10YR8/2,N3,-VE RY PALE ORANGE", SLIGHTLY BURROWED VAGUELY LAMINATED, INTENSE DEFORMATION,,,,,, 11121210.1221
