leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
14,140,,2,1,114.0,116.0,201.00,202.42, 2,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BEPIT0010,Epistominella sp.,RARE,  ,1
14,140,,2,1,114.0,116.0,201.00,202.42, 2,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BUVIG0010,Uvigerina sp.,FEW,  ,1
14,140,,2,2,120.0,122.0,201.00,203.98, 2,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BGYRO0010,Gyroidina sp.,RARE,  ,1
14,140,,2,2,120.0,122.0,201.00,203.98, 2,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BUVIG0010,Uvigerina sp.,RARE,  ,1
14,140,,2,3,120.0,122.0,201.00,205.48, 3,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BBOLI0010,Bolivina sp.,RARE,  ,1
14,140,,2,3,120.0,122.0,201.00,205.48, 3,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BEPIT0010,Epistominella sp.,RARE,  ,1
14,140,,2,3,120.0,122.0,201.00,205.48, 3,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BUVIG0010,Uvigerina sp.,RARE,  ,1
14,140,,2,4,120.0,122.0,201.00,206.98, 4,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BBOLI0010,Bolivina sp.,RARE,  ,1
14,140,,2,4,120.0,122.0,201.00,206.98, 4,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BEPIT0010,Epistominella sp.,RARE,  ,1
14,140,,2,4,120.0,122.0,201.00,206.98, 4,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BGYRO0010,Gyroidina sp.,RARE,  ,1
14,140,,2,4,120.0,122.0,201.00,206.98, 4,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BUVIG0010,Uvigerina sp.,RARE,  ,1
14,140,,2,6,120.0,122.0,201.00,209.98, 3,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BBOLI0010,Bolivina sp.,RARE,  ,1
14,140,,2,6,120.0,122.0,201.00,209.98, 3,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BEPIT0010,Epistominella sp.,RARE,  ,1
14,140,,2,6,120.0,122.0,201.00,209.98, 3,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BUVIG0010,Uvigerina sp.,RARE,  ,1
14,140,,2,CC,0.0,0.0,201.00,210.37, 4,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BELPI0131,Elphidium macellum (q),RARE,  ,1
14,140,,2,CC,0.0,0.0,201.00,210.37, 4,"BECKMANN,J.P.",,14,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,406,BEPIT0010,Epistominella sp.,RARE,  ,1
