leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RARTP0030,Artophormis gracilis,PRESENT,  ,1,cfb2f6915769d3233405cb90f609813f,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RCANN0070,Cannartus prismaticus,RARE,  ,1,c7a1136c57affa330b245490b94200fe,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RCYCA0070,Cyclampterium pegetrum,PRESENT,  ,1,7a6bb6c87b01c24a2b2928741800556e,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RDORC0030,Dorcadospyris ateuchus,RARE,  ,1,d1eb2d2eab6c1a47b1d54c22601f494c,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RDORC0110,Dorcadospyris papilio,RARE,  ,1,a5184849d8b035927a6ea6e124e9f45c,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RLYCO0090,Lychnocanoma elongata,FEW,  ,1,c6f3197acdbbeab2d90db0685af2b5de,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RTEPK0020,Tepka perforata,PRESENT,  ,1,366fbc52fa6ac8a6426420b9a2a8fbdd,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RTHEI0010,Theocyrtis annosa,RARE,  ,1,5b26ef42a425e279dfc7d0dbf67591bf,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RTHEM0160,Theocampe mongolfieri,PRESENT,  ,1,51f08c6da1cf169dee64efc745bf8971,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RTHER0090,Theocorys spongoconus,PRESENT,  ,1,01b67c9738be03acb3d52e27470b2140,15-146-2-1
15,146,,2,1,75.0,75.0,254.00,255.04,11,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RTHYR0080,Thyrsocyrtis rhizodon,PRESENT,  ,2,256b33957d674349bb69a8e4188bc6ca,15-146-2-1
15,146,,2,2,128.0,130.0,254.00,257.08, 4,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RDORC0100,Dorcadospyris forcipata,PRESENT,  ,1,8044d7e883032d445dbeba88d294053c,15-146-2-2
15,146,,2,2,128.0,130.0,254.00,257.08, 4,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RDORC0110,Dorcadospyris papilio,RARE,  ,1,4e8405c5069eec6d933f65b9af76266b,15-146-2-2
15,146,,2,2,128.0,130.0,254.00,257.08, 4,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RLITL0035,Lithocyclia aristotelis group,PRESENT,  ,1,682845d0ed390feefdd27180a0dd9b90,15-146-2-2
15,146,,2,2,128.0,130.0,254.00,257.08, 4,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RLYCO0090,Lychnocanoma elongata,FEW,  ,1,ca434ae179b1fde9b3bc18877787b283,15-146-2-2
15,146,,2,3,142.0,146.0,254.00,258.73, 9,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,ABUNDANT,,,MODERATE,NO AGE GIVEN,708,RARTP0030,Artophormis gracilis,RARE,  ,1,f169a6ec9807a5a8189626c2e896da16,15-146-2-3
