leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DACIN0060,Actinoptychus senarius,RARE,  ,1,ae663c9a28898cec247c301ebcb272fd,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0040,Asteromphalus brookei,FEW,  ,1,2c88cc670d540e9801e8fbefb2d0735b,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0130,Asteromphalus imbricatus,COMMON,  ,1,bcd0c82fccc252222db4c2e715f772f3,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0210,Asteromphalus wyvillii,RARE,  ,1,760c292e64fcef18906d1fa1b7bfee7a,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCHAE0010,Chaetoceros sp.,FEW,  ,1,7f49e1e626451fd1c8c74d14e4a443e5,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0030,Coscinodiscus africanus,RARE,  ,1,8fca6187e11ef7b658fa08684c9b4f03,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0280,Coscinodiscus excentricus,FEW,  ,1,0ccce73c9f906a603bd6b6521acf0401,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0360,Coscinodiscus gigas diorama,FEW,  ,1,81c8b27f26e4acb109d0249708b4d536,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0470,Coscinodiscus lineatus,RARE,  ,1,a07f40fe86960b7ebb3830788d8d4a4d,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0580,Coscinodiscus nodulifer,ABUNDANT,  ,1,2b17cd9fe2400ab2b1349dc68d1a5a27,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DETHM0010,Ethmodiscus rex,FEW,  ,2,531a34243f66f6baee18405a7ff6ef15,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DHEMD0010,Hemidiscus cuneiformis,FEW,  ,2,e027660aae7a636925247f01bd288534,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DNITZ0380,Nitzschia marina,RARE,  ,2,25da77dc4dc2643421378436fdace1be,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DPLEU0010,Pleurosigma sp.,RARE,  ,2,3b0613dd7591a6f2d82a0a1b660bb2e9,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DRHIZ0050,Rhizosolenia bergonii,RARE,  ,2,58f71ccb3025440eb218a1f1244e70e4,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DROPE0020,Roperia tesselata,COMMON,  ,2,5077cda9b2c5b2cfaa999a518d639d26,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DSTIC0020,Stichodiscus californicus,RARE,  ,2,a7a6d3ad72e7efc6cb371c55aad9502b,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DSTIC0080,Stichodiscus trigonus,RARE,  ,2,ed40b7d61389b3e66da998605aa434ca,16-157-1-CC
16,157,,1,CC,0.0,0.0,10.00,19.10,19,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DSURI0025,Surirella sp.,PRESENT,  ,2,783a58f9d243141f5973295044b70bd9,16-157-1-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DACIN0010,Actinoptychus sp.,RARE,  ,1,7c9e49b7c7386aa6e7d13434d506062b,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DACIN0060,Actinoptychus senarius,RARE,  ,1,a4cca23097cab8154e9df3bd3d1d1415,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DACIN0110,Actinoptychus vulgaris monicae,RARE,  ,1,4c90e4c883e05dbfdf42db452f25f999,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0020,Asteromphalus arachne,RARE,  ,1,203c25f8436a61b434df8b1cfe8d808c,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0040,Asteromphalus brookei,RARE,  ,1,2aa3c3790cd9fc5bd32955ec7b59b50b,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0090,Asteromphalus heptactis,RARE,  ,1,72af5e3adc1c028dcf6984759ec5b51e,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0130,Asteromphalus imbricatus,COMMON,  ,1,52edd9885e49e7870f428a46c7d8da72,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCHAE0010,Chaetoceros sp.,FEW,  ,1,7c160995cb0104cef4c81ff1a3489a14,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0280,Coscinodiscus excentricus,COMMON,  ,1,02f79f4cf654162d5607f88415b30fe9,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0360,Coscinodiscus gigas diorama,FEW,  ,1,3d4d287f7b614b660f22d2bc02675d42,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0470,Coscinodiscus lineatus,FEW,  ,2,cd2ca77cd6d6e28e1124f63cfc003923,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0490,Coscinodiscus marginatus,RARE,  ,2,e4577818042538230fcd90e9372f9bbf,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DCOSC0580,Coscinodiscus nodulifer,ABUNDANT,  ,2,0b3e594e2ddb1c4d1846700eb69ea123,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DETHM0010,Ethmodiscus rex,FEW,  ,2,c501e61c075db9074c0d4a9f8d2dfa34,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DHEMD0010,Hemidiscus cuneiformis,FEW,  ,2,aa1557c37cea6ea4c54ba978cb922a8b,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DROPE0020,Roperia tesselata,COMMON,  ,2,dee2783873d661e553f5a18fdea2ab04,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DSTIC0080,Stichodiscus trigonus,RARE,  ,2,311306ff42d8fcdfa5610a0313ab75c0,16-157-2-CC
16,157,,2,CC,0.0,0.0,19.00,28.10,18,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DTHAS0005,Thalassiothrix sp.,COMMON,  ,2,ef2fee836dc55d9ab0cfc79c719648aa,16-157-2-CC
16,157,,3,CC,0.0,0.0,28.00,37.10,17,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DACIN0060,Actinoptychus senarius,FEW,  ,1,060a935af6f0c939f84f948d72eba553,16-157-3-CC
16,157,,3,CC,0.0,0.0,28.00,37.10,17,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTE0010,Asterolampra sp.,RARE,  ,1,8851cec8d308dfdd464f73ce5c16aed0,16-157-3-CC
16,157,,3,CC,0.0,0.0,28.00,37.10,17,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0020,Asteromphalus arachne,RARE,  ,1,7a71473ce98286566e95ad631e00b3fd,16-157-3-CC
16,157,,3,CC,0.0,0.0,28.00,37.10,17,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0090,Asteromphalus heptactis,RARE,  ,1,b866a462a8317babd2ee701042683fe6,16-157-3-CC
16,157,,3,CC,0.0,0.0,28.00,37.10,17,"BUKRY,D.;FOSTER,J.",04/1973,16,DIATOMS,,,,,NO AGE GIVEN,830,DASTR0130,Asteromphalus imbricatus,ABUNDANT,  ,1,50469a9b4b98814a949f261cf39d7ee3,16-157-3-CC
