leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
18,177,A,1,1,65.0,66.0,9.00,9.66, 8,"SCHRADER,H.",06/1973,18,DIATOMS,RARE,,,GOOD,NO AGE GIVEN,683,DCOSC0830,Coscinodiscus stellaris,RARE,  ,1,f9a23714b754a004e786919f1d6b35cb,18-177A-1-1
18,177,A,1,1,65.0,66.0,9.00,9.66, 8,"SCHRADER,H.",06/1973,18,DIATOMS,RARE,,,GOOD,NO AGE GIVEN,683,DDENT0150,Denticula seminae,FEW,  ,1,706c82b1f337107a0198d33587d723b8,18-177A-1-1
18,177,A,1,1,65.0,66.0,9.00,9.66, 8,"SCHRADER,H.",06/1973,18,DIATOMS,RARE,,,GOOD,NO AGE GIVEN,683,DRHAP0190,Rhaphoneis surirella,RARE,  ,1,7ab2a2ebd13382a89fef7adfe2bd009e,18-177A-1-1
18,177,A,1,1,65.0,66.0,9.00,9.66, 8,"SCHRADER,H.",06/1973,18,DIATOMS,RARE,,,GOOD,NO AGE GIVEN,683,DSTEA0060,Stephanopyxis dimorpha,RARE,  ,1,0470c7d147b7c8e22c07cef0ccbca293,18-177A-1-1
18,177,A,1,1,65.0,66.0,9.00,9.66, 8,"SCHRADER,H.",06/1973,18,DIATOMS,RARE,,,GOOD,NO AGE GIVEN,683,DTHAA0280,Thalassiosira oestrupii,RARE,  ,1,b95d2683154899f6f2f4c68abb192b0e,18-177A-1-1
18,177,A,1,1,65.0,66.0,9.00,9.66, 8,"SCHRADER,H.",06/1973,18,DIATOMS,RARE,,,GOOD,NO AGE GIVEN,683,DTHAA0300,Thalassiosira pacifica,RARE,  ,1,6d2d76b3062ff3735fa952faf6464147,18-177A-1-1
18,177,A,1,1,65.0,66.0,9.00,9.66, 8,"SCHRADER,H.",06/1973,18,DIATOMS,RARE,,,GOOD,NO AGE GIVEN,683,DTHAL0060,Thalassionema nitzschioides,FEW,  ,1,380f7ef3fb0f565910952f8b5988ae87,18-177A-1-1
18,177,A,1,1,65.0,66.0,9.00,9.66, 8,"SCHRADER,H.",06/1973,18,DIATOMS,RARE,,,GOOD,NO AGE GIVEN,683,DTHAS0020,Thalassiothrix longissima,RARE,  ,1,3da2789b453d797ac1b26730173272cf,18-177A-1-1
18,177,A,2,6,107.0,108.0,18.00,26.57,11,"SCHRADER,H.",06/1973,18,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,683,DACTI0160,Actinocyclus ochotensis,RARE,  ,1,60fa9552dca892a4b0e76271e8b738b0,18-177A-2-6
18,177,A,2,6,107.0,108.0,18.00,26.57,11,"SCHRADER,H.",06/1973,18,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,683,DDENT0150,Denticula seminae,RARE,  ,1,ab466cf4fbfbe01d0a10f5ca0130fa15,18-177A-2-6
18,177,A,2,6,107.0,108.0,18.00,26.57,11,"SCHRADER,H.",06/1973,18,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,683,DRHIZ0050,Rhizosolenia bergonii,RARE,  ,1,dc65c0fdffb077c309f66973d6838290,18-177A-2-6
18,177,A,2,6,107.0,108.0,18.00,26.57,11,"SCHRADER,H.",06/1973,18,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,683,DRHIZ0140,Rhizosolenia hebetata hiemalis,RARE,  ,1,8a702e0d58f3a38d864253ab9d762acd,18-177A-2-6
18,177,A,2,6,107.0,108.0,18.00,26.57,11,"SCHRADER,H.",06/1973,18,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,683,DSTEA0060,Stephanopyxis dimorpha,COMMON,  ,1,ebb4e4f718959a4abfc0f931067c0997,18-177A-2-6
18,177,A,2,6,107.0,108.0,18.00,26.57,11,"SCHRADER,H.",06/1973,18,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,683,DSTEA0290,Stephanopyxis turris,RARE,  ,1,5f523d09b380afa9772445799a3f4598,18-177A-2-6
18,177,A,2,6,107.0,108.0,18.00,26.57,11,"SCHRADER,H.",06/1973,18,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,683,DTHAA0150,Thalassiosira gravida,RARE,  ,1,a2c32f20c52409df62117251a82a9dbd,18-177A-2-6
18,177,A,2,6,107.0,108.0,18.00,26.57,11,"SCHRADER,H.",06/1973,18,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,683,DTHAA0280,Thalassiosira oestrupii,RARE,  ,1,d5f07c84b5d9bdc2a88859e3e78d2d57,18-177A-2-6
18,177,A,2,6,107.0,108.0,18.00,26.57,11,"SCHRADER,H.",06/1973,18,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,683,DTHAL0060,Thalassionema nitzschioides,FEW,  ,1,3d7ddca3775f5836f50ad1a1cdc9264d,18-177A-2-6
