leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
28,269,A,1,1,78.0,147.0,416.50,417.28,417.97,, CLAY, 10Y4/2-GRAYISH OLIVE,,,,,, DRILLING BRECCIA 78- 94, SEMI-LITHIFIED, 00000000
28,269,A,1,1,147.0,150.0,416.50,417.97,418.00,, CHERT, 5GY2/1-GRAYISH OLIVE,,,,,,,, 21130000
28,269,A,1,2,0.0,134.0,416.50,418.00,419.34,, SILTY CLAY," 10Y4/2-GRAYISH OLIVE,5GY4/1-DARK GREE NISH GRAY",,,,,, LAYERED SILT AND SILTY CLAY, FIRM, 33213000
28,269,A,1,2,134.0,150.0,416.50,419.34,419.50,, CHERTIFIED CLAYSTONE AND CHERT,, SOME MOTTLES,,,,,,, 21130000
28,269,A,1,CC,0.0,0.0,416.50,419.60,419.60,, CHERT, 5G2/1-GREENISH BLACK,,,,,,,, 21130000
28,269,A,2,1,87.0,150.0,426.00,426.87,427.50,, CLAY, 5Y3/1-DARK OLIVE GRAY,,,,,, SOME CHERTIFICATION 126-133, FIRM, 33211000
28,269,A,2,2,0.0,86.0,426.00,427.50,428.36,, CLAYSTONE," 5Y3/1,N7-LIGHT GRAY,5GY3/2-GRAYISH OLI VE GREEN", LAYERED,,,,," 1-25,37-66,67-71,73-86 5Y3/1,25 -37 N7,65-67 5GY3/2",, 00000000
28,269,A,2,2,86.0,110.0,426.00,428.36,428.60,, SILTY CLAY, 10Y4/2-GRAYISH OLIVE, INTENSELY BURR OWED,,,,,, PARTLY LITHIFIED, 00000000
28,269,A,2,2,111.0,150.0,426.00,428.61,429.00,, CLAYSTONE," 5G3/1-GREENISH BLACK,5Y3/1",,,,,, IN SOME P LACES CHERTIFIED,, 00000000
28,269,A,2,CC,0.0,0.0,426.00,429.10,429.10,, PARTLY CHERTIFIED CLAYSTONE," 10Y4/2-GRAYISH ORANG E,5Y3/1-DARK OLIVE GRAY",,,,,,,, 00000000
28,269,A,3,1,60.0,150.0,473.50,474.10,475.00,, CLAYSTONE," 5Y2/1-OLIVE BLACK,5GY4/1-DARK GREENISH GRAY",,,,,," 60-81 5GY4/1,81-150 5Y2/1",, 00000000
28,269,A,3,2,0.0,147.0,473.50,475.00,476.47,, CLAYSTONE," 5Y2/1,5GY2/1,5GY4/1",,,,,," 0-102,106-111 5Y 2/1,102-106 5GY4/1,111-147 5GY4/1",, 00000000
28,269,A,4,1,18.0,79.0,521.00,521.18,521.79,, CLAYSTONE, 5Y3/1-DARK OLIVE GRAY,,,,,,, RATHER SOFT AN D FRACTURED, 33231000
28,269,A,4,1,79.0,113.0,521.00,521.79,522.13,, SILTY CLAY, 5GY4/1-DARK GREENISH GRAY,,,,,,, FIRM, 00000000
28,269,A,4,1,113.0,138.0,521.00,522.13,522.38,, CLAYEY SILT, 10Y4/2-GRAYISH OLIVE,,,,,,, SOFT, 00000000
28,269,A,4,2,0.0,84.0,521.00,522.50,523.34,, SILTY CLAY," 5Y3/2-OLIVE GRAY,10Y4/2-GRAYISH OLIVE", 34-84 MOTTLED,,,,," 0-18,34-84 5Y3/2,18-32 10Y4/2,32- 34 VOID", FIRM, 33233000
28,269,A,4,2,84.0,150.0,521.00,523.34,524.00,, CLAY," 5Y3/2-OLIVE GRAY,10Y4/2-GRAYISH OLIVE",,,,,," 84- 141 5Y3/2,141-150 10Y4/2", FIRM, 00000000
28,269,A,4,CC,0.0,0.0,521.00,524.10,524.10,, CALCEROUS SILTY CLAYSTONE, N7-LIGHT GRAY,,,,,," NO CHE RT SEEN,LITHIFIED",, 00000000
28,269,A,5,1,0.0,150.0,568.50,568.50,570.00,, CLAYSTONE, 5Y2/1-OLIVE BLACK,,,,,, SOME SILT LAYERS N ONE MORE THEN 1 CM THICK,, 33231000
28,269,A,5,2,35.0,150.0,568.50,570.35,571.50,, CLAYSTONE, 5Y2/1-OLIVE BLACK,,,,,," BLOCKS,PULVERIZED CUTTINGS",, 33231000
28,269,A,5,CC,0.0,0.0,568.50,571.60,571.60,, CLAY,,,,,,,,, 33211000
28,269,A,6,1,120.0,150.0,606.50,607.70,608.00,, SILTY CLAYSTONE, 5GY4/1-DARK GREENISH GRAY, STRO NGLY MOTTLED,,,,,,, 33233000
28,269,A,6,2,0.0,23.0,606.50,608.00,608.23,, SILTY CLAY," 5Y2/1-OLIVE BLACK,5GY4/1", 16-23 BURR OWED,,,,,, FIRM, 33213000
28,269,A,6,2,23.0,87.0,606.50,608.23,608.87,, SILTY CLAYSTONE," 5GY5/1,5Y2/1-OLIVE BLACK", 34-65 BIODISTURBED,,,,," 39-65 5GY5/1,REST 5Y2/1",, 00000000
28,269,A,6,2,87.0,150.0,606.50,608.87,609.50,, CALCEROUS SILTY CLAY, 5GY5/1, BURROWS,,,,,, FIRM, 33213000.1110
28,269,A,6,3,0.0,150.0,606.50,609.50,611.00,, SILTY CLAYSTONE AND CLAYSTONE," 5GY2/1,5GY4/1-DARK GREENISH GRAY,10R4/2-GRAYISH RED",,,,,," 1-6,17-32 5GY2/1 ,103-105 10R4/2,REST 5GY4/1",, 33213000
28,269,A,6,CC,0.0,0.0,606.50,611.10,611.10,, SILTY CLAYSTONE, 5Y3/2-OLIVE GRAY, SEMI-LITHIFIE D,,,,,,, 00000000
28,269,A,7,1,117.0,142.0,654.00,655.17,655.42,, CLACEROUS SILTY CLAY, N6-GRAY," LITHIFIED,MUCH MO TTLING",,,,,, FIRM, 33213000
28,269,A,7,1,142.0,150.0,654.00,655.42,655.50,, SILTY CLAYSTONE, 5GY3/1-DARK GREENISH GRAY,,,,,,,, 33233000
28,269,A,7,2,2.0,15.0,654.00,655.52,655.65,, SILTY CLAY," N3,N4",,,,,," 3-14 N3,14-15 N4", FIRM, 00000000
28,269,A,7,2,15.0,19.0,654.00,655.65,655.69,, SILT, N4,,,,,, LAMINATED, FIRM, 33215000
28,269,A,7,2,19.0,23.0,654.00,655.69,655.73,, VERY FINE SANDSTONE, N5-MEDIUM GRAY,,,,,, POORLY SORT ED, HARD, 33234000
28,269,A,7,2,23.0,55.0,654.00,655.73,656.05,, SILTY CLAY," N3-DARK GRAY,5GY4/1-DARK GREENISH GRA Y,5Y2/1-OLIVE BLACK",,,,,," 23-35.5 N3,35.5-38 5GY4/1,38-5 5 5Y2/1", FIRM, 00000000
28,269,A,7,2,55.0,60.0,654.00,656.05,656.10,, VERY FINE SANDSTONE,,,,,,,, HARD, 33234000
