leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
29,281,A,1,1,40.0,40.0,0.00,0.40, 8,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCOCO0100,Coccolithus eopelagicus,RARE,  ,1,3436e8ca856638237f33721c8e1d0308
29,281,A,1,1,40.0,40.0,0.00,0.40, 8,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCOCO0302,Coccolithus pelagicus s. ampl.,FEW,  ,1,44fdf68b81fec267ffe3b642616f92bb
29,281,A,1,1,40.0,40.0,0.00,0.40, 8,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCYCO0080,Cyclococcolithina leptopora,FEW,  ,1,dcc06ec1c2bddeb1c1c4f554a13d1be0
29,281,A,1,1,40.0,40.0,0.00,0.40, 8,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCYCO0110,Cyclococcolithina macintyrei,RARE,  ,1,21ff988228dd2f1033586d13d1bdf565
29,281,A,1,1,40.0,40.0,0.00,0.40, 8,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NGEPH0101,Gephyrocapsa sp. small,FEW,  ,1,4203a28a6632139e16a025419f48fe38
29,281,A,1,1,40.0,40.0,0.00,0.40, 8,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NHELI0090,Helicopontosphaera intermedia,RARE,  ,1,53395b1bcfae5a00d7f88bec090209ed
29,281,A,1,1,40.0,40.0,0.00,0.40, 8,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NPSEU0010,Pseudoemiliania lacunosa,RARE,  ,1,9af1075698a1ce4649e59f41e7ccdfb2
29,281,A,1,1,40.0,40.0,0.00,0.40, 8,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NSYRA0050,Syracosphaera histrica,RARE,  ,1,0454c5a60b8ad72ae60ee16f87adc20a
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCOCO0100,Coccolithus eopelagicus,RARE,  ,1,ca10b071024fdc89bc440fbf99e3e5cf
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCOCO0302,Coccolithus pelagicus s. ampl.,FEW,  ,1,2ce4061aab84ea1b7fa2c63a25efea94
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCRUI0041,Cruciplacolithus neohelis (q),RARE,  ,1,40937311c18905f5b9c8e8a29b266487
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCYCO0080,Cyclococcolithina leptopora,FEW,  ,1,bee5d8e21ec3f5576f2ed8dc6300b0cc
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NGEPH0060,Gephyrocapsa oceanica,RARE,  ,1,3f9c1bf4512b08b4cd53cf08ae7be365
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NGEPH0101,Gephyrocapsa sp. small,FEW,  ,1,537981de733a9c5c3ed70bdf9085969a
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NHELI0090,Helicopontosphaera intermedia,RARE,  ,1,f975adc24d72477eaf3c78415a41b023
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NRHAO0010,Rhabdosphaera clavigera,RARE,  ,1,f0c8765167fa631b61654477c479c749
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NSYRA0050,Syracosphaera histrica,FEW,  ,1,bdc2c8fa5f1f03c9310858945731a396
29,281,A,1,1,145.0,145.0,0.00,1.45,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NSYRA0070,Syracosphaera pulchra,FEW,  ,1,3c6464faaed581996a46aae7d682a5c0
29,281,A,1,2,130.0,130.0,0.00,2.80, 4,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCOCO0302,Coccolithus pelagicus s. ampl.,FEW,  ,1,60a3ce8c9210f52f155c0381358bdb99
29,281,A,1,2,130.0,130.0,0.00,2.80, 4,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NCYCO0080,Cyclococcolithina leptopora,RARE,  ,1,de87f18c307d56361ded68b2b7f15641
29,281,A,1,2,130.0,130.0,0.00,2.80, 4,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NHELI0090,Helicopontosphaera intermedia,FEW,  ,1,d4163f6db8f8100827cf81c0323567f1
29,281,A,1,2,130.0,130.0,0.00,2.80, 4,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,488,NPSEU0010,Pseudoemiliania lacunosa,RARE,  ,1,c38c12d7f5c360bde4c0270fffb00eee
29,281,A,1,2,145.0,145.0,0.00,2.95, 7,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,488,NCOCO0302,Coccolithus pelagicus s. ampl.,FEW,  ,1,7a2f2a83b2e8b9c4fa6d6b2acb797537
