leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
29,283,,2,CC,0.0,0.0,10.00,16.10, 2,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,736,CPALE0010,Palaeoperidinium sp.,PRESENT,  ,1,4aeb3ee9839fff582360cc809c2bb2ce
29,283,,2,CC,0.0,0.0,10.00,16.10, 2,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,736,CTECT0010,Tectatodinium sp.,PRESENT,  ,1,43e3dc9b6d913fe4775974f33789669d
29,283,,6,2,117.0,117.0,124.00,126.67, 1,"PERCH-NIELSEN,K.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,875,CCARD0020,Carduifolia gracilis,RARE,  ,1,dd1131f1c15bb8d887d059837a7f5668
29,283,,7,CC,0.0,0.0,152.50,161.60, 3,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,734,CDEFL0100,Deflandrea cygniformis,PRESENT,  ,1,7ceefd53d082a629770a99957c914249
29,283,,7,CC,0.0,0.0,152.50,161.60, 3,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,734,CDEFL0200,Deflandrea phosphoritica,PRESENT,  ,1,5e64864b329b9b9c3132796992c482d3
29,283,,7,CC,0.0,0.0,152.50,161.60, 3,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,734,CLEPT0010,Leptodinium sp.,PRESENT,  ,1,b7bd6c970d2a01e6c4138ba970bd3fba
29,283,,8,CC,0.0,0.0,190.50,195.10, 1,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,736,CHYSR0050,Hystrichokolpoma rigaudae,PRESENT,  ,1,aa2b336c3eaf8e76d1c67a95dcab76d5
29,283,,11,CC,0.0,0.0,276.00,280.60, 3,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,734,CAIOR0010,Aiora fenestrata,PRESENT,  ,1,21c3ae5ef5816ec9cbe1b41971260d9c
29,283,,11,CC,0.0,0.0,276.00,280.60, 3,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,734,CARES0020,Areosphaeridium diktyoplokus,PRESENT,  ,1,7474dc7917c0bdea99d33b6d9e9b60db
29,283,,11,CC,0.0,0.0,276.00,280.60, 3,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,734,CWETZ0030,Wetzeliella echinosuturata,PRESENT,  ,1,2d2f5150b0dfd683558b4a948cc9db68
29,283,,13,2,15.0,15.0,371.00,372.65, 2,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,736,CDICY0010,Dictyosphaeridium deflandrei,PRESENT,  ,1,9c4f25d2ea4f88a369e65764d91322fd
29,283,,13,2,15.0,15.0,371.00,372.65, 2,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,736,CLEPT0010,Leptodinium sp.,PRESENT,  ,1,217a4fb974c5e85f9447608a5c34511f
29,283,,13,4,38.0,38.0,371.00,375.88, 1,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,734,CSVAL0020,Svalbardella australina,PRESENT,  ,1,0b95fe30d0fa9dd47ed7229448c2bf56
29,283,,14,2,70.0,70.0,428.00,430.20, 1,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,738,CEISE0020,Eisenackia crassitabulata,PRESENT,  ,1,4de097bbe264fc8acc9bfe7791e7615b
29,283,,14,2,81.0,81.0,428.00,430.31, 1,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,738,CLEPT0030,Leptodinium dispertitum,PRESENT,  ,1,003591012c212e868d20cf25085d3954
29,283,,14,4,70.0,70.0,428.00,433.20, 1,"HASKELL,T.R.;WILSON,G.J.",,29,DINOFLAGELLATES,,,,,NO AGE GIVEN,736,CPALE0020,Palaeoperidinium pyrophorum,PRESENT,  ,1,19727e07e48980f03acc996c2349a899
