leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
3,20,A,2,1,49.0,50.0,15.00,15.50, 3,"GARTNER,S.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,624,NCOCO0260,Coccolithus neogammation,PRESENT,  ,1
3,20,A,2,1,49.0,50.0,15.00,15.50, 3,"GARTNER,S.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,624,NRETI0210,Reticulofenestra scissura,PRESENT,  ,1
3,20,A,2,1,49.0,50.0,15.00,15.50, 3,"GARTNER,S.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,624,NSPHN0190,Sphenolithus predistentus,PRESENT,  ,1
3,20,A,2,1,70.0,71.0,15.00,15.70, 5,"BUKRY,D.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,608,NCOCO0030,Coccolithus bisectus,PRESENT,  ,1
3,20,A,2,1,70.0,71.0,15.00,15.70, 5,"BUKRY,D.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,608,NCYCC0150,Cyclococcolithus neogammation,PRESENT,  ,1
3,20,A,2,1,70.0,71.0,15.00,15.70, 5,"BUKRY,D.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,608,NDISC0125,Discoaster deflandrei,PRESENT,  ,1
3,20,A,2,1,70.0,71.0,15.00,15.70, 5,"BUKRY,D.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,608,NHELI0040,Helicopontosphaera compacta,PRESENT,  ,1
3,20,A,2,1,70.0,71.0,15.00,15.70, 5,"BUKRY,D.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,608,NSPHN0190,Sphenolithus predistentus,PRESENT,  ,1
3,20,A,2,6,148.0,150.0,15.00,23.99, 5,"GARTNER,S.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,624,NBRAM0010,Bramletteius serraculoides,PRESENT,  ,1
3,20,A,2,6,148.0,150.0,15.00,23.99, 5,"GARTNER,S.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,624,NCOCO0260,Coccolithus neogammation,PRESENT,  ,1
3,20,A,2,6,148.0,150.0,15.00,23.99, 5,"GARTNER,S.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,624,NRETI0210,Reticulofenestra scissura,PRESENT,  ,1
3,20,A,2,6,148.0,150.0,15.00,23.99, 5,"GARTNER,S.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,624,NRETI0230,Reticulofenestra umbilica,PRESENT,  ,1
3,20,A,2,6,148.0,150.0,15.00,23.99, 5,"GARTNER,S.",,3,NANNOFOSSILS,,,,,NO AGE GIVEN,624,NSPHN0210,Sphenolithus radians,PRESENT,  ,1
