leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RAMPI0020,Amphicraspedum prolixum,RARE,  ,1,029c77eaf84625a5d6aae4a2f6c8d3fe
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RCALY0010,Calocycloma ampulla,RARE,  ,1,bcfc575904f1d08d9ea35a4760e38150
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RDORC0200,Dorcadospyris triceros,RARE,  ,1,f0cacd7eb2a74e83161e4b37ca24d348
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RDRUP0030,Druppatractus coronata laevis,RARE,  ,1,ab5fa2746f138bbccb591886a0d0f1c1
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,REUCO0020,Eucoronis hertwigii,RARE,  ,1,2a2b30f82942f5d73d2d0dca9d6e553e
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RLITL0035,Lithocyclia aristotelis group,RARE,  ,1,8283f2faa3350dc578008acca4b800d0
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RLOPH0020,Lophochytris jacchia (q),RARE,  ,1,f51f023c857858523ad2e26b81251891
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RLYCO0010,Lychnocanoma sp.,RARE,  ,1,6dd4394ccc09acd327bbd7415ea2cff4
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RLYCO0060,Lychnocanoma babylonis-turgidulum,RARE,  ,1,1d629271f5db565d707199f265dc9a8f
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RPODY0160,Podocyrtis mitra,RARE,  ,1,f196548ae52938238abb57e0f295571e
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RPODY0170,Podocyrtis papalis,RARE,  ,2,a2de93f1b14b8c8b5a29dc7c0c9efb4e
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RPTET0030,Pterocyrtidium sp.,FEW,  ,2,f7df6a35f2c0ea801b33c8bec22ad85e
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RSPOD0140,Spongodiscus quartus quartus,RARE,  ,2,0fa867f4ff0496dce0b2c25c152704b7
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RTHEM0050,Theocampe armadillo,RARE,  ,2,9ee26a70797ff7a155608a81edf7a18f
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RTHEM0160,Theocampe mongolfieri,RARE,  ,2,597b077a4c1fef7515a3fe304d22722b
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RTHET0040,Theocotyle cryptocephala cryptocephala,RARE,  ,2,23ff2e1198ba0bc4ad4109e3396fcc4d
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RTHOS0015,Tholospyris sp.(q),RARE,  ,2,7faccde4ec8b81b76308de4bbca9ca80
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RTHYR0030,Thyrsocyrtis bromia,RARE,  ,2,f90ad67a0332d740eea35873240da526
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RTHYR0050,Thyrsocyrtis hirsuta hirsuta,RARE,  ,2,8c7f7a05d67b7f600403f8c116eff2f9
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RTHYR0080,Thyrsocyrtis rhizodon,RARE,  ,2,eae15fb1000223bccaadeb9aaebe75de
31,291,A,1,CC,0.0,0.0,98.00,107.10,21,"LING,H.Y.",,31,RADIOLARIA,COMMON,,,POOL,NO AGE GIVEN,706,RTHYR0110,Thyrsocyrtis triacantha,FEW,  ,3,01ce4bf2628c9c1f90733c47f21b1cdb
31,291,A,2,CC,0.0,0.0,107.50,107.60,11,"LING,H.Y.",,31,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,706,RDEND0060,Dendrospyris didiceros,RARE,  ,1,fbd8c2604190bf26180f35bef95e70d1
