leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
31,301,,8,2,6.0,8.0,240.50,7.00, 1,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,COMMON,  ,1,249a1ced5a0894fc8525b32212011fe6
31,301,,9,1,130.0,132.0,269.00,131.00, 1,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,FEW,  ,1,89bb12bd376633982bbeae2b5350b173
31,301,,9,CC,0.0,0.0,269.00,0.00, 1,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,RARE,  ,1,d7dd823986325c4c1ada4f0fcfa4bc60
31,301,,10,1,25.0,27.0,297.50,26.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,FEW,  ,1,b3316a920bd5cfa2c2365c7c2d1c4379
31,301,,10,1,25.0,27.0,297.50,26.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,FEW,  ,1,bc2bca6305bc4d7ac32eea359980cde3
31,301,,11,1,75.0,77.0,316.50,76.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,FEW,  ,1,6d064a50e45b13f8f50bb3e7c27b71a1
31,301,,11,1,75.0,77.0,316.50,76.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,RARE,  ,1,66827df5825e7d36687a5c869ef3e139
31,301,,11,CC,0.0,0.0,316.50,0.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,COMMON,  ,1,351686bc86697b866b0059432fbde2d0
31,301,,11,CC,0.0,0.0,316.50,0.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,COMMON,  ,1,f900998b3714af57c030c6b3469897ce
31,301,,12,CC,0.0,0.0,335.50,0.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,COMMON,  ,1,6e5144d8f1d1a32767885f7eb3010c01
31,301,,12,CC,0.0,0.0,335.50,0.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,COMMON,  ,1,0e6b9279343e60e7bdb39efaf84cea5e
31,301,,13,1,68.0,70.0,354.50,69.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,COMMON,  ,1,69963226466d7a601a8e7c7a5eed38e3
31,301,,13,1,68.0,70.0,354.50,69.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,COMMON,  ,1,7dfa314e89ed5badb8c6bfb9c4f905be
31,301,,13,CC,0.0,0.0,354.50,0.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,FEW,  ,1,f0c216b4bc6ed923c45b25ac2a7a45be
31,301,,13,CC,0.0,0.0,354.50,0.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,FEW,  ,1,bda99875cf51246b6f9de0b7a7ff7d00
31,301,,14,1,73.0,75.0,373.50,74.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,COMMON,  ,1,ac2376c796bb1d8cc51b4d6846ae9ff4
31,301,,14,1,73.0,75.0,373.50,74.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,COMMON,  ,1,d8536272695e37adb7269bae201f752f
31,301,,14,CC,0.0,0.0,373.50,0.00, 1,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,COMMON,  ,1,c0d4e333821c2119de6227b9f2f6ee3c
31,301,,15,1,14.0,16.0,392.50,15.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,RARE,  ,1,7a78aa59efa9eff723e751a708a9487f
31,301,,15,1,14.0,16.0,392.50,15.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,FEW,  ,1,94983f3305addfa9b4c88dad79f2387c
31,301,,15,3,30.0,32.0,392.50,31.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,FEW,  ,1,e7d77363c8f9b8fcc913a488339624b2
31,301,,15,3,30.0,32.0,392.50,31.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,FEW,  ,1,7c2028543776c24158c60938bc5e5565
31,301,,15,CC,0.0,0.0,392.50,0.00, 3,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,COMMON,  ,1,a734e55c15e4a28ca0dc7b89ff84e6c1
31,301,,15,CC,0.0,0.0,392.50,0.00, 3,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,COMMON,  ,1,bb09c9fb3fc50cf357fdbb2430118ae6
31,301,,15,CC,0.0,0.0,392.50,0.00, 3,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QHERE0020,Hermesium adriaticum,PRESENT,  ,1,8f73a7183d713b76268e1ea9f6546518
31,301,,16,1,73.0,75.0,421.00,74.00, 3,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,COMMON,  ,1,4dc4bc4ff02fa15568d44d0f11e6eabf
31,301,,16,1,73.0,75.0,421.00,74.00, 3,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,COMMON,  ,1,430e35ea53f8b10f475bf379b01d3a38
31,301,,16,1,73.0,75.0,421.00,74.00, 3,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,COMMON,,,MODERATE,NO AGE GIVEN,769,QHERE0020,Hermesium adriaticum,PRESENT,  ,1,4403558e0f58d8ee8c1c9a631522df45
31,301,,16,CC,0.0,0.0,421.00,0.00, 3,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,FEW,  ,1,da19d75dacbcc0152c6e6c0f5c183266
31,301,,16,CC,0.0,0.0,421.00,0.00, 3,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,RARE,  ,1,83c934d6665df6e7c2c66fc21232b43a
31,301,,16,CC,0.0,0.0,421.00,0.00, 3,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QHERE0020,Hermesium adriaticum,PRESENT,  ,1,951028c8c3ec3cc227177368f1bbf6e7
31,301,,17,1,31.0,33.0,449.50,32.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,RARE,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,FEW,  ,1,4cff7591251441fdd6c9f3c184294e16
31,301,,17,1,31.0,33.0,449.50,32.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,RARE,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,FEW,  ,1,750d6fc74d9924c87a41234805e26520
31,301,,17,CC,0.0,0.0,449.50,0.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,FEW,  ,1,25bf0b0979c0fd5bcaea991b81f9f5b7
31,301,,17,CC,0.0,0.0,449.50,0.00, 2,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,FEW,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,FEW,  ,1,f153f4ac04a1f106c136cd4879f6c603
31,301,,18,1,66.0,68.0,468.50,67.00, 1,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,RARE,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,RARE,  ,1,6e14643ba5f22ffeeefdbd45c22f4bfb
31,301,,18,3,6.0,8.0,468.50,7.00, 1,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,RARE,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,RARE,  ,1,9293adc9c6818c67305326c6fe65cace
31,301,,19,1,70.0,72.0,478.00,71.00, 1,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,RARE,,,MODERATE,NO AGE GIVEN,769,QEBRO0010,Ebriopsis antiqua,RARE,  ,1,a774017a4ec10319c365c96d1a325f11
31,301,,19,4,47.0,49.0,478.00,48.00, 1,"LING,H.Y.",,31,EBRIDIANS & ACTINICIDIANS,RARE,,,MODERATE,NO AGE GIVEN,769,QAMMO0030,Ammodochium rectangulare,RARE,  ,1,64c2b22384e6c72ab578382a731839f3
