leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
32,303,,1,CC,0.0,0.0,0.00,1.60, 7,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0040,Dictyocha aspera clinata,34%,  ,1,e230141958fa54ce636bc12dee543720
32,303,,1,CC,0.0,0.0,0.00,1.60, 7,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0170,Dictyocha fibula,1%,  ,1,033c1b3acad4fd28de5de1820587ab14
32,303,,1,CC,0.0,0.0,0.00,1.60, 7,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0670,Dictyocha stapedia,37%,  ,1,b02102b421fed06f16fd6b77b9064a8b
32,303,,1,CC,0.0,0.0,0.00,1.60, 7,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0260,Distephanus octangulatus,18%,  ,1,05f3e504d2004d83a69e564711c6df35
32,303,,1,CC,0.0,0.0,0.00,1.60, 7,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0410,Distephanus slavnicii,1%,  ,1,e010231786fd79cfac9e2384425acdcc
32,303,,1,CC,0.0,0.0,0.00,1.60, 7,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0490,Distephanus speculum pentagonus,2%,  ,1,f72fa2beb358ad407da1a286c68c66e9
32,303,,1,CC,0.0,0.0,0.00,1.60, 7,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0580,Distephanus speculum speculum,7%,  ,1,ab2253e84dc4c8dfe86aad47ae5c64e7
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0030,Dictyocha aspera aspera,1%,  ,1,55a0b1d1a25b99f7934be77d237f8753
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0170,Dictyocha fibula,19%,  ,1,17f5462648f87aa54bb31f7f69f3372b
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0570,Dictyocha pulchella,1%,  ,1,e20dc9a49348b0c44753170c38bf4b45
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0600,Dictyocha rhombica,4%,  ,1,5f293078d82e3ea5c207a6d8a7576748
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0070,Distephanus boliviensis frugalis,1%,  ,1,804e7d392031d08569c96d453fb2a4a4
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0080,Distephanus boliviensis jimlingii,3%,  ,1,edaae85f3a188aab9df825d8f13bae5f
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0430,Distephanus speculum binoculus,1%,  ,1,c965f8fa125e0d394a408b37b846af89
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0440,Distephanus speculum elongatus,1%,  ,1,6fbe96f3437fa5740d6370b8f49dd958
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0490,Distephanus speculum pentagonus,7%,  ,1,ba7e7e177cc351d496b10282d52a951b
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0550,Distephanus speculum quintus,1%,  ,1,84da7c46e801eee074594874684aa54e
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0580,Distephanus speculum speculum,23%,  ,2,8d446179f13c16da69d311bed4c3bfbd
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0610,Distephanus speculum varians,1%,  ,2,3bebccc0309b6e5c859fff000ab3c4bb
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SMESO0060,Mesocena circulus,7%,  ,2,45f3e91b96c4477d7be1bd84d229cc70
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SMESO0090,Mesocena diodon,2%,  ,2,05f47b6578bf8620ddb6ac5b4cc097e9
32,303,,2,1,86.0,88.0,62.00,62.87,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SMESO0100,Mesocena elliptica,32%,  ,2,9e68073bb34f8f95438d0ff038d7ab5f
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0030,Dictyocha aspera aspera,1%,  ,1,3dff099d5cc21c876feaa539e94d4187
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0170,Dictyocha fibula,13%,  ,1,cf1fc825242cfa4bfff22208191184cd
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0570,Dictyocha pulchella,1%,  ,1,5670b046011e530046cd9b5dd764c99e
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0600,Dictyocha rhombica,9%,  ,1,0e3f8af00c7b3df61b94134b36669e0e
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0070,Distephanus boliviensis frugalis,1%,  ,1,482bb3e3f8fade8679588445ed2cee81
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0080,Distephanus boliviensis jimlingii,1%,  ,1,6b0503760c9ce2cbe5fb72e5db0c27c0
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0090,Distephanus boliviensis major,2%,  ,1,af1da26e399a734522d0c8c7e5c0dd6b
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0110,Distephanus crux,2%,  ,1,b85e4d699240a5a3da67769d57d2bc6d
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0430,Distephanus speculum binoculus,2%,  ,1,7e7822e174c94fdebc0b3a7a8156bce2
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0490,Distephanus speculum pentagonus,3%,  ,1,8fd7924ca7013cdf83c0cb6fed51a26e
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0550,Distephanus speculum quintus,1%,  ,2,b4de47bf86779e26ed3309b9edb9658d
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0580,Distephanus speculum speculum,50%,  ,2,d115e4c6009ad6ca35f1c202548dfffc
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SMESO0060,Mesocena circulus,4%,  ,2,9fcd6ce4c2f9b8ec134e03b629a5b511
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SMESO0090,Mesocena diodon,2%,  ,2,a23f9fc3ad9f137d816a9bd02148ec35
32,303,,2,5,90.0,92.0,62.00,68.91,15,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SMESO0100,Mesocena elliptica,9%,  ,2,2b0e4fc6401f74ecfd56293bc8286c0e
32,303,,3,1,140.0,141.0,117.00,118.41, 9,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0030,Dictyocha aspera aspera,13%,  ,1,60e8f01e834573574ffc16ee843fafea
32,303,,3,1,140.0,141.0,117.00,118.41, 9,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0040,Dictyocha aspera clinata,37%,  ,1,56fbbfaf88fd737b845b58c0fe842bab
32,303,,3,1,140.0,141.0,117.00,118.41, 9,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0170,Dictyocha fibula,6%,  ,1,fe0598ad482aa5ebe673c78d116cb90e
32,303,,3,1,140.0,141.0,117.00,118.41, 9,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0570,Dictyocha pulchella,13%,  ,1,8c444c08d88645cfb7a8db994c09e8ed
32,303,,3,1,140.0,141.0,117.00,118.41, 9,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDICT0600,Dictyocha rhombica,8%,  ,1,b1ec6e153f344e30ce72beb8cb23e5b9
32,303,,3,1,140.0,141.0,117.00,118.41, 9,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,684,SDIST0490,Distephanus speculum pentagonus,2%,  ,1,2f1500152c3222813413998fd9ac538c
