leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
33,317,,1,1,0.0,150.0,0.00,0.50,2.00,," NANNO-FORAM OOZE,FORAM-NANNO OOZE", 10YR7/4-GREYIS H ORANGE,, MODERATE DEFORMATION, FE-MN SPECKS," FE, MN"," FORAMS,NANNOS"," ROUGHLY HOMOGENOUS,SANDY,SLIGHT LY MORE FORAM RICH AT TOP OF SECTION THAN AT BASE,RE SULT DUE TO WINNOWING BY BOTTOM CURRENTS?"," SLIGHTLY FIRM,OOZE", 00000000,431ce3bf38fc51d81d8cc83817c6f958,33-317-1-1
33,317,,1,2,0.0,150.0,0.00,2.00,3.50,," NANNO-FORAM,FORAM-NANNO OOZE"," 10YR7/4-GREYISH ORA NGE,10YR8/2", SOME SMALL (2 CM) LIGHT (10YR8/2) MOTT LED ZONES, MODERATE DEFORMATION,,," FORAMS,NANNOS", S ANDY, FIRM, 00000000,9a12897393af0e8614b74b5e7f1e737a,33-317-1-2
33,317,,1,3,0.0,150.0,0.00,3.50,5.00,, NANNO-FORAM OOZE," 10YR7/4-GREYISH ORANGE,10YR8/2", 10YR8/2-LIGHT MOTTLES PARALLEL TO BEDDING, SLIGHT DEFORMATION,,," NANNOS,FORAMS", SANDY,, 00000000,1b456da710be1766f14a86cefd98f893,33-317-1-3
33,317,,1,4,0.0,150.0,0.00,5.00,6.50,," NANNO-FORAM OOZE,FORAM-NANNO OOZE", 10YR7/4-GREYIS H ORANGE,, SLIGHT DEFORMATION,,," NANNOS,FORAMS",,, 00000000,114599b3720fcaf378403fc8d3b16c23,33-317-1-4
33,317,,1,5,0.0,150.0,0.00,6.50,8.00,," NANNO-FORAM OOZE,FORAM-NANNO OOZE"," 10YR7/4-GREYIS H ORANGE,10YR8/2-VERY PALE ORANGE", VERY PALE ORANGE MOTTLES, SLIGHT TO MODERATE DEFORMATION,,," NANNOS, FORAMS",,, 00000000,ec0e8dc6a73f3792fed1242ce43deceb,33-317-1-5
33,317,,1,6,0.0,150.0,0.00,8.00,9.50,," FORAM-NANNO OOZE,NANNO-FORAM OOZE"," 10YR7/6-GREYIS H ORANGE,10YR8/2-PALE ORANGE", VERY PALE ORANGE MOTT LES,,,," NANNOS,FORAMS",,, 00000000,6f35f0939bf853d49956b39aa4f3eb42,33-317-1-6
33,317,,1,CC,0.0,0.0,0.00,9.60,9.60,," NANNO-FORAM OOZE,FORAM-NANNO OOZE"," 10YR8/2-VERY P ALE ORANGE,5YR2/2-DUSKY BROWN,N1-BLACK",,, FLECKS OF D USKY BROWN TO BLACK FE-MN MATERIAL, FE-MN," NANNOS, FORAMS",, SOFT, 00000000,1838d1521e9c1101f2169f40fbf9e9ee,33-317-1-CC
33,317,,2,1,0.0,150.0,180.50,180.50,182.00,, FORAM-NANNO OOZE, 10YR8/2-VERY PALE ORANGE,,, SMAL L LESS THAN 1 MM FE-MN SPECKS, FE-MN," NANNOS,FORAM S", LACKS GRITTY TEXTURE SEEN IN CORE,, 00000000,4099063724cc617ff5aa3cd5e8c619af,33-317-2-1
33,317,,2,2,0.0,150.0,180.50,182.00,183.50,, FORAM-NANNO OOZE, 10YR8/2-VERY PALE ORANGE,, INTE NSE DEFORMATION,,," FORAMS,NANNOS",,, 00000000,911122e87f77aeb74d74d780204752f7,33-317-2-2
33,317,,2,3,0.0,150.0,180.50,183.50,185.00,, FORAM-NANNO OOZE, 10YR8/2-VERY PALE ORANGE,, MODE RATE TO INTENSE DEFORMATION, NODULES OF CENTIMETER SCALE THAT HAVE THE CONSISTENLY OF CHALK TO FIRM OOZ E,," NANNOS,FORAMS", GRITTY TEXTURE,, 00000000,268a00f333866dcf9cafedb4ae8c9dcd,33-317-2-3
