leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
36,328,A,1,1,0.0,125.0,0.00,0.00,1.25,, DIATOM OOZE, 5Y7/2-YELLOWISH GREY,, MODERATELY DISTU RBED, ANGULAR PEBBL ES AND PEBBLES IN MANGANESE NODULES MANGANESE NODULES, MANGANESE,, SANDY AND SILT Y, SOFT, 00000000,1eb45b28a2d843b92e6ea68accbbcfda,36-328A-1-1
36,328,A,1,1,125.0,150.0,0.00,1.25,1.50,, DIATOM-RICH SILTY CLAY, 10Y6/2-PALE OLIVE,, MODERATELY DISTURBED,,,,, INCRE ASED PLASTICITY, 00000000,cc83267d929757b2a5c5719f90f6936f,36-328A-1-1
36,328,A,1,2,0.0,60.0,0.00,1.50,2.10,, DIATOM-RICH SILTY CLAY, 10Y6/2-PALE OLIVE,, MODERATELY DISTURBED,,,,, PLAST IC, 00000000,a97df7d3f85ed7f7f270e35df0fb0095,36-328A-1-2
36,328,A,1,2,60.0,150.0,0.00,2.10,3.00,, DIATOM OOZE," 10Y6/2-PALE OLIVE,5Y7/2-YELLOWISH GR EY", 5Y7/2 MOTTLES, MODERATELY DISTURB ED, MANGANESE NODULES AT 95-100 AND 118-122 CM, MANGANESE NODULES,,, PLASTIC, 00000000,2dbce657b2bc7c1ff7c803da04ec3406,36-328A-1-2
36,328,A,1,3,0.0,70.0,0.00,3.00,3.70,, DIATOM OOZE," 10Y6/2-PALE OLIVE,5Y7/2-YELLOWISH GR EY",, MODERATELY DISTURBE D, MANGANESE NODULE AT 54 CM, MANGANESE NODULE,,, PLASTIC, 00000000,13eca335f20c2da3bb1dbd13ab276759,36-328A-1-3
36,328,A,1,3,70.0,120.0,0.00,3.70,4.20,, DIATOM OOZE AND DIATOM-RICH SILTY CLAY," 10Y6/2-PA LE OLIVE,5Y7/2-YELLOWISH GREY", IN MM TO CM LAMINATI ONS, MODERATELY DISTURBED,,,,, PLASTIC, 00000000,5957181b5fb3b12f5b73e5bc0b17dc96,36-328A-1-3
36,328,A,1,3,120.0,150.0,0.00,4.20,4.50,, DIATOM-RICH SILTY CLAY, 10Y6/2-PALE OLIVE,, MODERATELY DISTURBED, FRAGM ENT AT 130 CM,,,, PLASTIC, 00000000,db56dcec7f2348a3c8b10f9362da8d33,36-328A-1-3
36,328,A,1,4,0.0,150.0,0.00,4.50,6.00,, DIATOM OOZE," 5Y7/2-YELLOWISH GREY,10Y6/2-PALE OLI VE",, SLIGHTLY DISTURBED, MANGANES E NODULES AT 30/67/145 CM, MANGANESE NODULES,, SILTY AND SANDY, PLAS TIC, 00000000,53ae1912c427b389926fe21ee447d4eb,36-328A-1-4
36,328,A,1,CC,0.0,0.0,0.00,6.10,6.10,, DIATOM OOZE, 5Y7/2-YELLOWISH GREEN,,," ONE MANGANESE-COATED PEBBLE,POLYMICTIC ANGULAR TO SUBROUND CLASTS", MANGANESE NODULE,, SILTY AND SA NDY,, 22212220,cc5a4ec59951300dc0b468ed34f0a9c9,36-328A-1-CC
36,328,A,2,CC,0.0,0.0,7.50,9.10,9.10,, SANDY DIATOM OOZE, 10G6/2-PALE GREEN,, MODERATELY DISTURBED,,,,, PLASTIC, 22212220,000e8f13b2df6658ef465da7e31ccb9d,36-328A-2-CC
