leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FGLOA0156,Globorotalia cultrata menardii,PRESENT,  ,1
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FGLOA0550,Globorotalia truncatulinoides truncatulinoides,PRESENT,  ,1
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FGLOD0110,Globigerinoides conglobatus conglobatus,PRESENT,  ,1
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FGLOD0310,Globigerinoides quadrilobatus,PRESENT,  ,1
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FGLOD0410,Globigerinoides ruber,PRESENT,  ,1
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FGLOG0245,Globigerina eggeri eggeri,PRESENT,  ,1
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FHAST0090,Hastigerina siphonifera siphonifera,PRESENT,  ,1
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FPULL0030,Pulleniatina obliquiloculata finalis,PRESENT,  ,1
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FPULL0040,Pulleniatina obliquiloculata obliquiloculata,PRESENT,  ,1
4,25,,1,1,110.0,110.0,0.00,1.20,10,"BLOW,W.H.",,4,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,390,FSPHA0020,Sphaeroidinella dehiscens dehiscens,PRESENT,  ,1
