leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
41,369,A,1,CC,0.0,0.0,42.00,51.10, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DACIN0080,Actinoptychus splendens,RARE,  ,1,9770f934c58325a979fca10a520dbebd
41,369,A,1,CC,0.0,0.0,42.00,51.10, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DCHAE0010,Chaetoceros sp.,RARE,  ,1,cfda9d8d0c78095baa93d1ab78c1a103
41,369,A,1,CC,0.0,0.0,42.00,51.10, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DETHM0005,Ethmodiscus sp.,RARE,  ,1,c8e0421e37e5717ed37b30c0db26b3fd
41,369,A,1,CC,0.0,0.0,42.00,51.10, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DMELO0160,Melosira sulcata,RARE,  ,1,dcbacbd6ef3cdd80895191ed97c8d88a
41,369,A,1,CC,0.0,0.0,42.00,51.10, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1,6a2651c3cfb0c7a28e34b0e02602e16f
41,369,A,1,CC,0.0,0.0,42.00,51.10, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAS0020,Thalassiothrix longissima,FEW,  ,1,ad6a13b6a2748376e97eb0c670775e79
41,369,A,2,1,71.0,72.0,51.50,52.72, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DCHAE0010,Chaetoceros sp.,RARE,  ,1,cb975a4fb07ea4938be16e7aa5f72563
41,369,A,2,1,71.0,72.0,51.50,52.72, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DETHM0005,Ethmodiscus sp.,RARE,  ,1,43db60cd558cdff52abe7959acd60b54
41,369,A,2,1,71.0,72.0,51.50,52.72, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DMELO0160,Melosira sulcata,RARE,  ,1,3d96019db2133f5b766f1b81eebb99c1
41,369,A,2,1,71.0,72.0,51.50,52.72, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DSTEA0290,Stephanopyxis turris,RARE,  ,1,c0a709b3eec9e5d64aaeb02aa31f1e25
41,369,A,2,1,71.0,72.0,51.50,52.72, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAL0060,Thalassionema nitzschioides,FEW,  ,1,244a749b15792e7d32ebe2298bd55ddc
41,369,A,2,1,71.0,72.0,51.50,52.72, 6,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAS0020,Thalassiothrix longissima,COMMON,  ,1,624018bebec5abbf08ea6ca4aee5be91
41,369,A,2,4,71.0,72.0,51.50,57.22, 5,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DACIN0100,Actinoptychus undulatus,RARE,  ,1,b57d18cb32e5f4e3e101151b8787ff96
41,369,A,2,4,71.0,72.0,51.50,57.22, 5,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DCHAE0010,Chaetoceros sp.,RARE,  ,1,b39cbfdfe078c5ce9e6363ba8b0065f9
41,369,A,2,4,71.0,72.0,51.50,57.22, 5,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DMELO0160,Melosira sulcata,RARE,  ,1,bedbe668262903aef8c2ae7966f23c45
41,369,A,2,4,71.0,72.0,51.50,57.22, 5,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1,be78936cc0b268d857cf9f319eccb334
41,369,A,2,4,71.0,72.0,51.50,57.22, 5,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAS0020,Thalassiothrix longissima,FEW,  ,1,77ea7c65cae344bbbd615e20b89e381f
41,369,A,2,5,71.0,72.0,51.50,58.72, 7,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DACIN0100,Actinoptychus undulatus,RARE,  ,1,f665eba7db4646f5dd0f424fcd239eea
41,369,A,2,5,71.0,72.0,51.50,58.72, 7,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DCHAE0010,Chaetoceros sp.,RARE,  ,1,e40ffd7c54b82a6b58b0cf81206bf076
41,369,A,2,5,71.0,72.0,51.50,58.72, 7,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DMELO0160,Melosira sulcata,FEW,  ,1,f270807152b753161e6cf045c3a718a8
41,369,A,2,5,71.0,72.0,51.50,58.72, 7,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DRHAP0020,Rhaphoneis amphiceros,RARE,  ,1,040a1a10bbc61f75dd3ca25e8e7189dc
41,369,A,2,5,71.0,72.0,51.50,58.72, 7,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DSTEA0290,Stephanopyxis turris,RARE,  ,1,cff09889df4c89c8ae96d0af216e7551
41,369,A,2,5,71.0,72.0,51.50,58.72, 7,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1,4df554fc1023e6198dc6d11477d65d16
41,369,A,2,5,71.0,72.0,51.50,58.72, 7,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAS0020,Thalassiothrix longissima,FEW,  ,1,196dc560d372c2acc3ef96f505843896
41,369,A,2,6,71.0,72.0,51.50,60.22, 3,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DSTEA0290,Stephanopyxis turris,RARE,  ,1,d36f9172e5c17c334c780e1d50929427
41,369,A,2,6,71.0,72.0,51.50,60.22, 3,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1,7336233ed3001305ef1797502a5f615c
41,369,A,2,6,71.0,72.0,51.50,60.22, 3,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAS0020,Thalassiothrix longissima,RARE,  ,1,ce4ba6ba5968d45649c8aaa6ca0b1ea0
41,369,A,2,CC,0.0,0.0,51.50,61.10, 2,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1,cac86aaafc5d95dba62831054afabbb0
41,369,A,2,CC,0.0,0.0,51.50,61.10, 2,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAS0020,Thalassiothrix longissima,RARE,  ,1,317b92ea4feab1a2648705dd0a4c6bb1
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DACIN0080,Actinoptychus splendens,RARE,  ,1,a91334f5832459ba2f01d684dffe0067
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DCHAE0010,Chaetoceros sp.,RARE,  ,1,840c75a0a27efddc3ac7f706a5b1a369
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DCYMO0030,Cymatosira belgica,RARE,  ,1,4dc01fa354ca34d5af897e79069178bf
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DDIPL0010,Diploneis sp.,RARE,  ,1,6e3cab65241e29b82cdc46ad6f1a6969
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DETHM0005,Ethmodiscus sp.,RARE,  ,1,c01fa82efc20f7b9cc5e5e00916b98d2
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DMELO0160,Melosira sulcata,RARE,  ,1,37c926506149289a3a474cb5a30e1359
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DRHAP0020,Rhaphoneis amphiceros,RARE,  ,1,25a4f82da98e1aabc3bd4eeeb8a1abe5
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DSTEA0290,Stephanopyxis turris,RARE,  ,1,3c1062ae23fc79a0782fab94000f21f1
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1,bed057bbf065b1b356b75a7c83b5e791
41,369,A,3,4,71.0,72.0,61.00,66.62,10,"SCHRADER,H.",01/1978,41,DIATOMS,RARE,,,POOL,NO AGE GIVEN,798,DTHAS0020,Thalassiothrix longissima,FEW,  ,1,107a92c7519ec67b5c2ec8736fbf0603
41,369,A,3,5,61.0,62.0,61.00,68.02, 8,"SCHRADER,H.",01/1978,41,DIATOMS,FEW,,,POOL,NO AGE GIVEN,798,DACIN0100,Actinoptychus undulatus,RARE,  ,1,4534b315a81e43d2460a542e7b3f91aa
41,369,A,3,5,61.0,62.0,61.00,68.02, 8,"SCHRADER,H.",01/1978,41,DIATOMS,FEW,,,POOL,NO AGE GIVEN,798,DCHAE0010,Chaetoceros sp.,FEW,  ,1,55ab1e60fda4e77f93f92dcefc6fd214
41,369,A,3,5,61.0,62.0,61.00,68.02, 8,"SCHRADER,H.",01/1978,41,DIATOMS,FEW,,,POOL,NO AGE GIVEN,798,DETHM0005,Ethmodiscus sp.,RARE,  ,1,9a74f2747cf7999dd0f40f1804f1fab3
41,369,A,3,5,61.0,62.0,61.00,68.02, 8,"SCHRADER,H.",01/1978,41,DIATOMS,FEW,,,POOL,NO AGE GIVEN,798,DMELO0160,Melosira sulcata,RARE,  ,1,f8f4b2aa72b2a1a8278ada33f7c56347
41,369,A,3,5,61.0,62.0,61.00,68.02, 8,"SCHRADER,H.",01/1978,41,DIATOMS,FEW,,,POOL,NO AGE GIVEN,798,DRHAP0020,Rhaphoneis amphiceros,RARE,  ,1,98175aaffebd37429117336d264e44f2
41,369,A,3,5,61.0,62.0,61.00,68.02, 8,"SCHRADER,H.",01/1978,41,DIATOMS,FEW,,,POOL,NO AGE GIVEN,798,DSTEA0290,Stephanopyxis turris,RARE,  ,1,5e91ae4dfbb07c8965a2172dc51f338a
41,369,A,3,5,61.0,62.0,61.00,68.02, 8,"SCHRADER,H.",01/1978,41,DIATOMS,FEW,,,POOL,NO AGE GIVEN,798,DTHAL0060,Thalassionema nitzschioides,FEW,  ,1,21e10582418c70cdba586cf8652ef859
41,369,A,3,5,61.0,62.0,61.00,68.02, 8,"SCHRADER,H.",01/1978,41,DIATOMS,FEW,,,POOL,NO AGE GIVEN,798,DTHAS0020,Thalassiothrix longissima,COMMON,  ,1,25b3be7331c7bf6a97f4f45a92ca433c
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DACIN0100,Actinoptychus undulatus,RARE,  ,1,9369d0c6ff271ec7f7d3b8409de11a84
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DCHAE0010,Chaetoceros sp.,FEW,  ,1,2e9d9e9efc0c41fba16ddf821e4a2e1d
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DCOSC0270,Coscinodiscus endoi,RARE,  ,1,b5403d75b06518992092f7d52e7e6207
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DCRAS0010,Craspedodiscus coscinodiscus,RARE,  ,1,4a728562391d43cac52c182a2446c48f
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DCUSS0030,Cussia paleacea,RARE,  ,1,f8ef13c207e44d9a6d88abe24a277228
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DDENT0040,Denticula hustedtii,RARE,  ,1,722b083c4d2e8f8a5af9d5121e85e185
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DDIPL0010,Diploneis sp.,RARE,  ,1,ce328a15a8d0eacad1e4b3d5e9c40b79
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DETHM0005,Ethmodiscus sp.,RARE,  ,1,47eaa51920b2f87f5c600697026e4e34
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DEUCA0011,Eucampia balaustium (q),RARE,  ,1,c404fc14804b6415f669dde7e1833228
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DGONI0020,Goniothecium decoratum,RARE,  ,1,46b89ecedbb159f6a13bbde67f143a21
41,369,A,3,6,71.0,72.0,61.00,69.62,20,"SCHRADER,H.",01/1978,41,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,798,DMELO0160,Melosira sulcata,RARE,  ,2,7d7d97f986bb816f0404e2647f2e8904
