leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
42,378,,5,1,81.0,81.0,122.00,122.81, 4,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDICT0170,Dictyocha fibula,96%,  ,1,b2245898b77d0ea3b25a6479d05c65a2
42,378,,5,1,81.0,81.0,122.00,122.81, 4,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDICT0670,Dictyocha stapedia,TRACE,  ,1,b37c46ffcdf42f243fab0d1c07306478
42,378,,5,1,81.0,81.0,122.00,122.81, 4,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDIST0270,Distephanus octogonus,TRACE,  ,1,a6aef9473d9147cb773dc1757a07efab
42,378,,5,1,81.0,81.0,122.00,122.81, 4,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDIST0420,Distephanus speculum,4%,  ,1,88a8bbae637aa920d0e67a26a9547df3
42,378,,5,2,112.0,113.0,122.00,124.63, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDICT0170,Dictyocha fibula,92%,  ,1,4f5ae05c3087424daf7fa6c385e765c3
42,378,,5,2,112.0,113.0,122.00,124.63, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDICT0670,Dictyocha stapedia,TRACE,  ,1,e10eb66f10522858dbd0a0b2e62e69b8
42,378,,5,2,112.0,113.0,122.00,124.63, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDIST0040,Distephanus boliviensis,TRACE,  ,1,b2a0efd47fce1c363ad7536a6814a55f
42,378,,5,2,112.0,113.0,122.00,124.63, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDIST0420,Distephanus speculum,7%,  ,1,3a81f133779c2a18aa2b3e2429a9f815
42,378,,5,2,112.0,113.0,122.00,124.63, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SPARA0020,Paradictyocha circulus,1%,  ,1,fe8e8d3abf097e39ebdae15e0567fe3c
42,378,,8,1,20.0,21.0,217.00,217.21, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDICT0170,Dictyocha fibula,29%,  ,1,74793196729a7eb6db37fa0c71837ef1
42,378,,8,1,20.0,21.0,217.00,217.21, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDICT0670,Dictyocha stapedia,TRACE,  ,1,2e6c091d7bf2a6f49e8a00565278028b
42,378,,8,1,20.0,21.0,217.00,217.21, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDIST0420,Distephanus speculum,66%,  ,1,ec0ba9bc69b2ac7b777152b96e6cc0bb
42,378,,8,1,20.0,21.0,217.00,217.21, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDIST0490,Distephanus speculum pentagonus,TRACE,  ,1,fe0b25885fd49e55c29cb2beb1deb7d6
42,378,,8,1,20.0,21.0,217.00,217.21, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SPARA0020,Paradictyocha circulus,5%,  ,1,c0d893884e134658251cd0a8c0089c0a
42,378,,8,1,114.0,115.0,217.00,218.14, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDICT0017,Dictyocha aegea,TRACE,  ,1,aef0facf54f2ce87fcf053c7bf8ae8c1
42,378,,8,1,114.0,115.0,217.00,218.14, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDICT0170,Dictyocha fibula,57%,  ,1,f6ca768d67049990109eec037d1d44c9
42,378,,8,1,114.0,115.0,217.00,218.14, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDICT0500,Dictyocha perlaevis,TRACE,  ,1,30fbc1203cc5c98a00a2f6558a1e2d7e
42,378,,8,1,114.0,115.0,217.00,218.14, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SDIST0420,Distephanus speculum,36%,  ,1,2f0471ac7e7e33fe54325a0d6ace09d0
42,378,,8,1,114.0,115.0,217.00,218.14, 5,"STRADNER,H.;BACHMANN,A.",04/1978,42,SILICOFLAGELLATES,,,,,NO AGE GIVEN,809,SPARA0020,Paradictyocha circulus,7%,  ,1,64907e05a2d941c6b0dd10b9e8c88534
