leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
47,398,D,1,CC,,,0.00,0.10, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,274,FGLOA0326,Globorotalia miozea cibaoensis,PRESENT,  ,1,8c4b1881e904f2faec26d80bc4409e83,47-398D-1-CC
47,398,D,2,1,82.0,84.0,271.00,271.83, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOG0227,Globigerina digitata praedigitata,PRESENT,  ,1,991c7ceeee5421d0d34b899051159f9e,47-398D-2-1
47,398,D,2,2,15.0,17.0,271.00,272.66, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,280,FGLOA0400,Globorotalia planispira,PRESENT,  ,1,7eb99df09f0596c42faff6774508a3a1,47-398D-2-2
47,398,D,3,5,31.0,33.0,318.50,324.82, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,274,FGLOA0328,Globorotalia miozea conoidea,PRESENT,  ,1,842165ef365f561b79fe4cbdc150e6d6,47-398D-3-5
47,398,D,3,5,31.0,33.0,318.50,324.82, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,274,FSPHE0090,Sphaeroidinellopsis subdehiscens,PRESENT,  ,1,84e69acebbdc8151942c2c0632bc7cca,47-398D-3-5
47,398,D,3,6,25.0,27.0,318.50,326.26, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOG0470,Globigerina nepenthes,PRESENT,  ,1,78b1ce281f2d72b4badb75f16e6e9f70,47-398D-3-6
47,398,D,3,6,25.0,27.0,318.50,326.26, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOS0055,Globorotaloides sp.,PRESENT,  ,1,fb2bf1fc72bdcb198ab2c7277b4e73d9,47-398D-3-6
47,398,D,3,6,25.0,27.0,318.50,326.26, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FSPHE0070,Sphaeroidinellopsis seminulina seminulina,PRESENT,  ,1,460f7dd10b325e8d2601235174415a7d,47-398D-3-6
47,398,D,4,1,35.0,37.0,366.00,366.36, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOS0025,Globorotaloides falconarae,PRESENT,  ,1,027236adb3585ed46f493e6b40803824,47-398D-4-1
47,398,D,4,2,36.0,38.0,366.00,367.87, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOA0149,Globorotalia cultrata s. l.,PRESENT,  ,1,ecdae9bb405945d038e23ae52785469f,47-398D-4-2
47,398,D,4,2,36.0,38.0,366.00,367.87, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOA0264,Globorotalia lenguaensis,PRESENT,  ,1,c866e797e083ec24ac977b5ea2996f3c,47-398D-4-2
47,398,D,4,2,36.0,38.0,366.00,367.87, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOD0070,Globigerinoides bollii,PRESENT,  ,1,21803bfe69b93cce59ddd9dd9b3210b6,47-398D-4-2
47,398,D,4,4,16.0,18.0,366.00,370.67, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FGLOA0006,Globorotalia acostaensis,PRESENT,  ,1,9eefd8639fd97063b86cb316ad391933,47-398D-4-4
47,398,D,4,4,16.0,18.0,366.00,370.67, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FGLOA0310,Globorotalia merotumida,PRESENT,  ,1,946f406b4cb580e76aec79ede143324c,47-398D-4-4
47,398,D,4,5,34.0,36.0,366.00,372.35, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FGLOA0108,Globorotalia continuosa,PRESENT,  ,1,c2514deb0249f33a262984bfad32332c,47-398D-4-5
47,398,D,5,2,53.0,55.0,394.50,396.54, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FGLOA0377,Globorotalia partimlabiata,PRESENT,  ,1,8489d457220ff5d63e057bc801e2e587,47-398D-5-2
47,398,D,5,2,53.0,55.0,394.50,396.54, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FSPHE0090,Sphaeroidinellopsis subdehiscens,PRESENT,  ,1,f69bbfbfa1f3719a44ff47d36bdb976b,47-398D-5-2
47,398,D,5,4,61.0,63.0,394.50,399.62, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOG0230,Globigerina druryi,PRESENT,  ,1,e99e12c5a0cacfd45707753e299f9a3c,47-398D-5-4
47,398,D,5,5,26.0,28.0,394.50,400.77, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FGLOA0422,Globorotalia praemenardi praemenardi,PRESENT,  ,1,f6c3dc92c8408d87469c580abdc6414c,47-398D-5-5
47,398,D,5,5,26.0,28.0,394.50,400.77, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FGLOA0497,Globorotalia siakensis group,PRESENT,  ,1,ee04ac70104109e1b2ac6f591e23d938,47-398D-5-5
47,398,D,6,3,33.0,35.0,413.50,416.84, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOG0830,Globigerina woodi woodi,PRESENT,  ,1,4a6f70f99f555f6dfe2b4014f2478466,47-398D-6-3
47,398,D,6,4,36.0,38.0,413.50,418.37, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOG0674,Globigerina regina,PRESENT,  ,1,fd8407c5d6f8f55d3dc382cb3632d4b5,47-398D-6-4
47,398,D,6,5,67.0,69.0,413.50,420.18, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOA0386,Globorotalia peripheroronda,PRESENT,  ,1,b7237c262f82c405c24ec55a68db2599,47-398D-6-5
47,398,D,6,5,67.0,69.0,413.50,420.18, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOG0596,Globigerina praebulloides,PRESENT,  ,1,4949e0453025834b5ba8da366aa7a19b,47-398D-6-5
47,398,D,6,CC,,,413.50,423.06, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,282,FGLOA0040,Globorotalia aragonensis,PRESENT,  ,1,c42c39a250f42f43d1dadd4d613c8c7b,47-398D-6-CC
47,398,D,6,CC,,,413.50,423.06, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,282,FGLOQ0150,Globoquadrina dehiscens dehiscens,PRESENT,  ,1,9cf5832a844fa70051eb8cbe1af0658a,47-398D-6-CC
47,398,D,6,CC,,,413.50,423.06, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,282,FSPHE0017,Sphaeroidinellopsis disjuncta,PRESENT,  ,1,a5ef9944a54465a2171d0fca83c13444,47-398D-6-CC
47,398,D,7,2,41.0,43.0,432.50,434.42, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOD0530,Globigerinoides subquadratus,PRESENT,  ,1,9db7b95832e71520054155268e983ecc,47-398D-7-2
47,398,D,7,2,131.0,133.0,432.50,435.32, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOG0810,Globigerina venezuelana,PRESENT,  ,1,d879318cca0c203abee63fe74970bfde,47-398D-7-2
47,398,D,7,3,9.0,11.0,432.50,435.60, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOD0500,Globigerinoides sicanus,PRESENT,  ,1,17a388ea2e4da9b4b0298526ab235cdd,47-398D-7-3
47,398,D,7,3,9.0,11.0,432.50,435.60, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOE0010,Globigerinatella insueta,PRESENT,  ,1,eb246fbb3b9cb650e91adbfb6f54a4bb,47-398D-7-3
47,398,D,7,3,122.0,124.0,432.50,436.73, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FGLOA0352,Globorotalia obesa,PRESENT,  ,1,05296b4536eed41bf03e887c0c053341,47-398D-7-3
47,398,D,7,3,122.0,124.0,432.50,436.73, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FGLOQ0100,Globoquadrina baroemoenensis,PRESENT,  ,1,f7fad1a80b55e1d542ca117213465442,47-398D-7-3
47,398,D,7,3,122.0,124.0,432.50,436.73, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,272,FGLOQ0240,Globoquadrina langhiana,PRESENT,  ,1,4d419520e488692743fe83dcd9beea6b,47-398D-7-3
47,398,D,8,2,70.0,72.0,451.50,453.71, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,240,FGLOA0420,Globorotalia praemenardi archaeomenardi,PRESENT,  ,1,fa46409383bdea722c1d0a93b53a3def,47-398D-8-2
47,398,D,8,2,70.0,72.0,451.50,453.71, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,240,FGLOA0424,Globorotalia praescitula,PRESENT,  ,1,7c4c30c18bfa802b3a70cf49851b1e2e,47-398D-8-2
47,398,D,8,3,76.0,78.0,451.50,455.27, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,274,FGLOA0332,Globorotalia miozea miozea,PRESENT,  ,1,7d54bf83bf9417910dba63c925353115,47-398D-8-3
47,398,D,8,3,104.0,106.0,451.50,455.55, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOA0021,Globorotalia acrostoma,PRESENT,  ,1,45b8d94276c4da059229fcb564e78704,47-398D-8-3
47,398,D,8,3,104.0,106.0,451.50,455.55, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOA0332,Globorotalia miozea miozea,PRESENT,  ,1,452ac12f2918cfa9dfd6b1b2e97623d9,47-398D-8-3
47,398,D,8,3,104.0,106.0,451.50,455.55, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOD0320,Globigerinoides quadrilobatus altiaperturus,PRESENT,  ,1,179db486f09441e00d12556815fa4cfd,47-398D-8-3
47,398,D,8,4,133.0,135.0,451.50,457.34, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,268,FGLOG0810,Globigerina venezuelana,PRESENT,  ,1,485db6203763b357662d1df04ac58d38,47-398D-8-4
47,398,D,8,CC,,,451.50,459.58, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOD0320,Globigerinoides quadrilobatus altiaperturus,PRESENT,  ,1,13e001193b736c45300af0bfeeb709d6,47-398D-8-CC
47,398,D,9,2,36.0,38.0,470.50,472.37, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOA0505,Globorotalia sp.,PRESENT,  ,1,e1801e9474e55559dd8a750009c47a1e,47-398D-9-2
47,398,D,9,2,36.0,38.0,470.50,472.37, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOT0070,Globigerinita dissimilis dissimilis,PRESENT,  ,1,7e2988304415b6c8b155b577777e570c,47-398D-9-2
47,398,D,9,6,127.0,129.0,470.50,479.28, 4,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOQ0060,Globoquadrina altispira globosa,PRESENT,  ,1,2174309cfadb08da706c50e14f8a0e80,47-398D-9-6
47,398,D,9,6,127.0,129.0,470.50,479.28, 4,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOQ0160,Globoquadrina dehiscens praedehiscens,PRESENT,  ,1,365dc0661bbbbd43146f33ff32fbe534,47-398D-9-6
47,398,D,9,6,127.0,129.0,470.50,479.28, 4,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOT0060,Globigerinita dissimilis ciperoensis,PRESENT,  ,1,218f45d603e54d132a31a286acdf32fb,47-398D-9-6
47,398,D,9,6,127.0,129.0,470.50,479.28, 4,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,270,FGLOT0310,Globigerinita unicava unicava,PRESENT,  ,1,db3a577c61c2b18a9c04e10dd10f8a4e,47-398D-9-6
47,398,D,9,CC,,,470.50,480.06, 1,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,282,FGLOQ0160,Globoquadrina dehiscens praedehiscens,PRESENT,  ,1,cccaf5f81d122d87ad4cee213adf5bc4,47-398D-9-CC
47,398,D,13,1,9.0,11.0,527.50,527.80, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,240,FCATA0160,Catapsydrax unicavus,PRESENT,  ,1,037b25c1564a3207c6ffe357188e86b7,47-398D-13-1
47,398,D,13,1,9.0,11.0,527.50,527.80, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,240,FGLOA0498,Globorotalia siakensis,PRESENT,  ,1,aac72e9147536602ae2770aaefa23910,47-398D-13-1
47,398,D,13,1,9.0,11.0,527.50,527.80, 3,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,240,FGLOG0680,Globigerina rohri,PRESENT,  ,1,5e891a26b602a162c76fb93ced636415,47-398D-13-1
47,398,D,13,1,91.0,93.0,527.50,528.62, 2,"IACCARINO,S.;PREMOLISILVA,I.",11/1979,47,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,240,FCATA0030,Catapsydrax dissimilis,PRESENT,  ,1,de0b3bb0976f9a352f0d6a4ae541a7ba,47-398D-13-1
