leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
47,398,,1,CC,0.0,2.0,15.50,15.60,15.52,, MARLY NANNOFOSSIL OOZE, 5Y7/2-YELLOWISH GRAY,, DI STURBED,,,," VERY HOMOGENOUS, VERY STICKY", SOFT*,,45e6794319e6d590dc1fa2ca25824122,47-398-1-CC
47,398,,2,1,75.0,150.0,25.00,25.75,26.50,, MARLY CALCAREOUS OOZE, 5Y5/2-LIGHT OLIVE GRAY, SOME FAINT ORGANIC SPECS OR MOTTLES, D ISTURBED PROBABLY DEFORMED IN DRILLING AND CUTTING,,,," HOMOGENOUS, P LASTIC MUD", SOFT*,,ccade7c67ae359c2b377b794d686140d,47-398-2-1
47,398,,2,2,0.0,150.0,25.00,26.50,28.00,, MARLY NANNO OOZE," 5Y5/2-LIGHT OLIVE GRAY, N8-VERY LIGHT GRAY"," PYRITIZED BURROW FILLING ? AT 44 CM, A LTERNATING LAYERS OF N8 AND 5Y5/2 (0.2-1.5 CM) AT 60 -110 CM, DARK ORGANIC-RICH LAYER AT 90 CM, ORGANIC-P YRITE (?) FILLED SMALL BLEBS OR LENSES AT 105 CM"," H IGHLY DEFORMED AT 0-60 CM AND 110-150 CM, LAYERING H IGHLY DISTURBED AT 60-110 CM",, PYRITE," ORGANIC SPEC S AND STREAKS AT 0-60 CM, BLACK ORGANIC SPECS AT 110 -150 CM"," 5Y5/2 AT 0-60 CM AND 110-150 CM, ALTERNATI NG LAYERS OF 5Y5/2 AND N8 AT 60-110 CM O NO STRUCTURE AT 110-150 CM", SOFT*,,463e3678bb83965aa6d21b58f0e65499,47-398-2-2
47,398,,2,3,0.0,75.0,25.00,28.00,28.75,, MARLY NANNO OOZE," N8-VERY LIGHT GRAY, 5Y5/2-LIGHT OLIVE GRAY -WHITE"," QUARTZ SAND TURBIDITE AT 48-51 CM, SMA LL POCKETS OF SAND BELOW TURBIDITE AT 52-55 CM 57-59 CM 61-63 CM 65-66 CM 67-68 CM BURROWS (?) OR MIXED BY DRILLING"," SEVERELY DEFORMED AT 0-45 CM,HIGHLY DI STURBED AT 45-75 CM, TURBIDITE DEFORMED BY DRILLING NO APPARENT GRADING",,,," MOSTLY 5Y5/2 WITH N8 ON TOP, ALTERNATING 5Y5/2 AND WHITE INTERVALS--PLEISTOCENE C LIMATIC CYCLES AT 5-45 CM", SOFT*,,200045f2de195cceaee9b0ce2b19a83e,47-398-2-3
47,398,,2,3,75.0,95.0,25.00,28.75,28.95,, NANNO OOZE, N9-WHITE, FAINTLY LAMINATED, HIGHLY DISTURBED,,,," LESS WATERY ?, MORE CALCIUM CARBONATE R ICH THAN 5Y5/2 INTERVAL ?", SOFT*,,fa06f4857b6f7bd19ffef709f77363f4,47-398-2-3
47,398,,2,3,95.0,150.0,25.00,28.95,29.50,, MARLY NANNO OOZE," N8-VERY LIGHT GRAY, N4-DARK MED IUM GRAY, 5Y5/2-LIGHT OLIVE GRAY"," N8 WITH N4 THIN L AMINAE (ORGANIC OR PYRITE RICH) AT 95-135 CM WITH SO ME DARKER BLEBS NO DISTINCT BURROW MOTTLING BUT SOME ORGANIC BLEBS MAY BE BURROW-FILLINGS, 5Y5/2 AT 135- 150 CM WITH FAINT LAMINATION WITHIN", HIGHLY DISTURB ED,,,, HIGHER TERRIGENOUS COMPONENT AT 135-150 CM, SO FT*,,89066114b179fc17f5d63cfbd100ce27,47-398-2-3
47,398,,2,4,6.0,150.0,25.00,29.56,31.00,, MARLY NANNO OOZE," 5Y5/2-LIGHT OLIVE GRAY, N8-VERY LIGHT GRAY"," 5Y5/2 AT 6-40 CM WITH FAINT OCCASIONAL LAMINAE AND SMEARS OF DARKER (ORGANIC ?) LAYERS, 5Y 5/2 LAMINATION AT 75-77 CM, 5Y5/2 AT 97-150 CM WITH DARKER GRAY MOTTLES AND LAMINAE"," HIGHLY DISTURBED A T 6-97 CM, REST HIGHLY DEFORMED AND HOMOGENIZED BY D RILLING",,,, N8 GRADATIONAL CHANGE AT 40-97 CM, SOFT, 11111210.3908,9f181576accd259d258374cf82fa4bcc,47-398-2-4
47,398,,2,5,0.0,150.0,25.00,31.00,32.50,, MARLY NANNO OOZE," 5Y4/2-MEDIUM OLIVE GRAY, 5Y5/2- LIGHT OLIVE GRAY, N8-VERY LIGHT GRAY",, HIGHLY DEFORM ED,,,," 5Y4/2 GRADING DOWNWARD TO 5Y5/2, PLASTIC WITH N 8 SMEARS, NO OBVIOUS LAMINATIONS", SOFT*,,5e896232db96424e008d9ae746dd9ea7,47-398-2-5
47,398,,2,6,0.0,24.0,25.00,32.50,32.74,, MARLY NANNO OOZE," 5Y5/2-LIGHT OLIVE GRAY, 5Y7/2-Y ELLOWISH GRAY, N8-VERY LIGHT GRAY", 5Y5/2 AND 5Y7/2 LAMINATED AT 0-10 CM," DEFORMED AT 0-10 CM, DISTURBE D AT 10-24 CM",,,, N8 MASSIVE AT 10-24 CM, SOFT, 33213000.3908.1210,0235d2b21ceb365f8ee95a7d5a9782ed,47-398-2-6
47,398,,2,CC,0.0,12.0,25.00,32.88,32.90,, MARLY NANNO OOZE,,," DISTURBED, IRON CHIPS FROM CORE BARREL",,,," SAME AS ABOVE, NO OBVIOUS STRUCTURES", SOF T, 33213000.3908.1210,30ddf3fb5e42c1e634155dc36fd6fc96,47-398-2-CC
