leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NCOCO0300,Coccolithus pelagicus,ABUNDANT,  ,1,d13caf09eeb533e9a8eb59f924a41497
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NCYCC0100,Cyclococcolithus leptoporus,COMMON,  ,1,6e944d140506dedbc63e16454bd89df7
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NDISC0080,Discoaster brouweri,RARE,  ,1,a3dd9ae7e8699652c881bf362bb545c4
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NDISC0525,Discoaster variabilis,RARE,  ,1,7a80e19d3b49af94edda7941f231f3ff
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NDISL0070,Discolithina japonica,RARE,  ,1,bd7be1e1440f2c8aee86fc56a0584f9d
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NDISL0215,Discolithina sp.,FEW,  ,1,78a6d7321afea14ba2f74ab38519adaf
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NHELI0100,Helicopontosphaera kamptneri,FEW,  ,1,124c182a8b7cdfefd962fdfd79a49400
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NHELI0200,Helicopontosphaera sellii,RARE,  ,1,ba9242a87d624a1472108386e893c90f
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NPONT0060,Pontosphaera discopora,FEW,  ,1,331b648b9f3b8e2303431510c8f28c66
47,398,D,2,1,83.0,83.0,271.00,271.83,10,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,2,,NO AGE GIVEN,354,NRHAO0010,Rhabdosphaera clavigera,FEW,  ,1,b88ebac4cfb02de9dccd7fd532aed55e
47,398,D,2,1,120.0,120.0,271.00,272.20, 8,"BLECHSCHMIDT,G.",11/1979,47,NANNOFOSSILS,,1,3,,NO AGE GIVEN,354,NCOCO0300,Coccolithus pelagicus,COMMON,  ,1,a7e6240ade95562efced08fbeec8707e
