leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
48,406,,PLEISTOCENE,,0.0,71.5,,NO AGE GIVEN,,NO AGE GIVEN,0.011,  1.8,.9055,DSDP INITIAL REPORTS
48,406,,LOWER PLIOCENE,,138.0,223.5,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
48,406,,UPPER MIOCENE,,318.5,480.0,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
48,406,,MIDDLE MIOCENE,,480.0,558.1,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
48,406,,LOWER MIOCENE,,558.1,594.0,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
48,406,,UPPER OLIGOCENE,,594.0,632.0,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
48,406,,UPPER OLIGOCENE,MIDDLE OLIGOCENE,632.0,641.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 22.5,   32,27.25,DSDP INITIAL REPORTS
48,406,,MIDDLE OLIGOCENE,,641.5,671.2,,NO AGE GIVEN,,NO AGE GIVEN,   29,   32, 30.5,DSDP INITIAL REPORTS
48,406,,UPPER EOCENE,,671.2,765.0,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
48,406,,MIDDLE EOCENE,,765.0,831.5,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
