leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
50,415,,2,CC,,,74.00,76.33, 4,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,ROMMA0020,Ommatartus antepenultimus,TRACE,  ,1,b302e69614cde09e37f994ec27ee057a
50,415,,2,CC,,,74.00,76.33, 4,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSIPA0020,Siphocampe corbula,RARE,  ,1,4ba854d82800693c778b083e165cdba8
50,415,,2,CC,,,74.00,76.33, 4,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSPON0040,Spongaster pentas,TRACE,  ,1,cd67bb569e07a19cc40f02db203e9b0e
50,415,,2,CC,,,74.00,76.33, 4,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSTIO0070,Stichocorys peregrina,FEW,  ,1,d21f48990f7422a77666b0b9c5ca7d4b
50,415,,3,1,135.0,137.0,137.50,138.86, 9,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RCYRC0020,Cyrtocapsella cornuta,RARE,  ,1,87292062aa10c6fd808a84e7ce4a9a69
50,415,,3,1,135.0,137.0,137.50,138.86, 9,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RCYRC0070,Cyrtocapsella tetrapera,RARE,  ,1,cf56d23c2cecaf892027df0a4196e93f
50,415,,3,1,135.0,137.0,137.50,138.86, 9,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RLITX0030,Lithopera neotera,RARE,  ,1,4c86fe820aa4d9d20d2260deb8ad6566
50,415,,3,1,135.0,137.0,137.50,138.86, 9,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,ROMMA0020,Ommatartus antepenultimus,RARE,  ,1,e6eb3eda313c63b94498b27479b86e63
50,415,,3,1,135.0,137.0,137.50,138.86, 9,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RPHOO0010,Phormostichoartus corona,TRACE,  ,1,51140f32c062cecd00ef0b3b4bc7f3f8
50,415,,3,1,135.0,137.0,137.50,138.86, 9,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSIPA0020,Siphocampe corbula,TRACE,  ,1,f34c02430dc3ee0bab46753fb4e9182f
50,415,,3,1,135.0,137.0,137.50,138.86, 9,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSTIO0050,Stichocorys delmontensis,FEW,  ,1,2b808df39001e1e243c472fbebde59ae
50,415,,3,1,135.0,137.0,137.50,138.86, 9,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSTIO0070,Stichocorys peregrina,RARE,  ,1,77d20c404890e543fda3f310bb670e97
50,415,,3,1,135.0,137.0,137.50,138.86, 9,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSTIO0090,Stichocorys wolfii,TRACE,  ,1,466aaeb69a284eafd462acf695d5b69a
50,415,,3,3,29.0,31.0,137.50,140.80, 7,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RCYRC0020,Cyrtocapsella cornuta,FEW,  ,1,fffe2191f47406b33fd82d9d32033cc1
50,415,,3,3,29.0,31.0,137.50,140.80, 7,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RCYRC0070,Cyrtocapsella tetrapera,FEW,  ,1,9a2b1dc31373fef51a45c308545cdb49
50,415,,3,3,29.0,31.0,137.50,140.80, 7,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RLITX0030,Lithopera neotera,TRACE,  ,1,e27417b37b923b39ef7fcb5e0e8a360f
50,415,,3,3,29.0,31.0,137.50,140.80, 7,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSIPA0020,Siphocampe corbula,TRACE,  ,1,3a50bab81089b284e3b1bffa247550a7
50,415,,3,3,29.0,31.0,137.50,140.80, 7,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSTIO0050,Stichocorys delmontensis,FEW,  ,1,a94fdacba50853ec4d6bf489f0900e69
50,415,,3,3,29.0,31.0,137.50,140.80, 7,WESTBERG,06/1980,50,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,430,RSTIO0070,Stichocorys peregrina,RARE,  ,1,78066d74c60204c88387475305febccc
