leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
51,417,B,1,1,10.0,12.0,0.00,0.11, 4,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOD0410,Globigerinoides ruber,PRESENT,  ,1,a9a5f6b0cab3fb4be3e4a9805c1badf4
51,417,B,1,1,10.0,12.0,0.00,0.11, 4,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOD0480,Globigerinoides sacculifer,PRESENT,  ,1,4488009d0f1362c1ae10942a5e6bec6d
51,417,B,1,1,10.0,12.0,0.00,0.11, 4,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOG0105,Globigerina bulloides,PRESENT,  ,1,f85d45978fd14618cf94c05dab592a16
51,417,B,1,1,10.0,12.0,0.00,0.11, 4,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FNEOG0110,Neogloboquadrina pachyderma,PRESENT,  ,1,7024cd728d0aee63d80b861bb575bfa3
51,417,B,1,2,10.0,12.0,0.00,1.61, 3,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOD0410,Globigerinoides ruber,PRESENT,  ,1,953a9b2160bb8097e054695b51abbb73
51,417,B,1,2,10.0,12.0,0.00,1.61, 3,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOD0480,Globigerinoides sacculifer,PRESENT,  ,1,2831e985d586fcbef47d8a874898d6f6
51,417,B,1,2,10.0,12.0,0.00,1.61, 3,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FSPHE0010,Sphaeroidinellopsis dehiscens,PRESENT,  ,1,fc2a6d958581530abd65b757c7eb68fc
51,417,B,1,3,10.0,12.0,0.00,3.11, 8,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOD0090,Globigerinoides conglobatus,PRESENT,  ,1,d758986e144bfc1acf93175a22f7941f
51,417,B,1,3,10.0,12.0,0.00,3.11, 8,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOD0410,Globigerinoides ruber,PRESENT,  ,1,b91b224afdee2acf2a4767ebbd6b70fc
51,417,B,1,3,10.0,12.0,0.00,3.11, 8,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOG0105,Globigerina bulloides,PRESENT,  ,1,961ef9e6c50b167c86a203e054db25dc
51,417,B,1,3,10.0,12.0,0.00,3.11, 8,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOG0225,Globigerina digitata,PRESENT,  ,1,b8d008ad8c5872392993021b7b6c6afb
51,417,B,1,3,10.0,12.0,0.00,3.11, 8,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOG0670,Globigerina quinqueloba,PRESENT,  ,1,8902b73a3316834f49207d73a8b4b376
51,417,B,1,3,10.0,12.0,0.00,3.11, 8,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOT0100,Globigerinita glutinata,PRESENT,  ,1,8b21fcde02e0668400ff4f472c2fbb83
51,417,B,1,3,10.0,12.0,0.00,3.11, 8,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FNEOG0110,Neogloboquadrina pachyderma,PRESENT,  ,1,42f6cc6802fdfa67b8b46c560dd5f85e
51,417,B,1,3,10.0,12.0,0.00,3.11, 8,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FORBU0040,Orbulina universa,PRESENT,  ,1,eda18696ff941be0c24bcf245a8f0c45
51,417,B,1,4,10.0,12.0,0.00,4.61, 2,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOD0090,Globigerinoides conglobatus,PRESENT,  ,1,4d61c52b367e573a38ab07c6b2642de3
51,417,B,1,4,10.0,12.0,0.00,4.61, 2,MILES,03/1980,51,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,793,FGLOD0410,Globigerinoides ruber,PRESENT,  ,1,75e3fe8a0f8da7af31fdd0aaf2b5f940
