leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,43%,  ,1,db0d920d529615d6ce8a35b6000ff198,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,22%,  ,1,f29888347d86c5346ec04571b764c5b3,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,02%,  ,1,5689d30ca0ad25940068a612a71938f1,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPTER0010,Pterocarya sp.,02%,  ,1,bbb3449b85bfd93b57df75c1773cb847,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,09%,  ,1,6b953f6180fbf3de241a860bb92819a3,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,01%,  ,1,1014b6db5e86e9c226cfa3182b3b3fc0,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,03%,  ,1,8170feb20fe098e27fa8ec9cf72471fb,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCORY0010,Corylus sp.,01%,  ,1,74dc1a6382a50c95f071ebacb55a4397,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PQUER0010,Quercus sp.,02%,  ,1,135282d98895d5d6b3d84a68d502cb69,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,01%,  ,1,cc94216ff420976085ada5d5a1dcd179,56-436-1-1
56,436,,1,1,,,0.00,0.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,01%,  ,2,f876c7e5e16f706c7549291119d7c3ee,56-436-1-1
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,56%,  ,1,ba4d2646a0c35fb7ef2397ead071dfc3,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,12%,  ,1,4206587e0490c9a0ca59f488427b02a6,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,10%,  ,1,0d5cdb3624e50a183a50d72237edeb49,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PJUGL0010,Juglans sp.,01%,  ,1,84d70b35b37bd7c7626b70af8baa80a8,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,09%,  ,1,03b15f4daf18d1e668e88b9a0f14dee2,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,05%,  ,1,ae2e43e39131808152ee8c25897d75a0,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,01%,  ,1,ea653003748206eae2d1b63dd98c16a8,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCORY0010,Corylus sp.,01%,  ,1,8772d4168659d00fa415409b1af59c64,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PQUER0010,Quercus sp.,01%,  ,1,ca3f50913fe10555edc423a9ce432d7e,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,01%,  ,1,8fcb9a4585e3343f303950afb75187d8,56-436-1-5
56,436,,1,5,,,0.00,6.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,01%,  ,2,b231d140a86deb2f82fe472a06ae4d3b,56-436-1-5
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,58%,  ,1,c754cc1d6a38e5dd6c953edd8ad61e86,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,10%,  ,1,b309af01942c5c1099d1f6bf0ebf3e7d,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,02%,  ,1,41f566fe70091c596f88804b604408f8,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,10%,  ,1,142edcfdb4ed30516735161e75b50502,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,02%,  ,1,00dd349fbc352b3b9f5adf334b430f7f,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,01%,  ,1,1ada5bf0b0b25d27080a71e0fd1bc251,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCORY0010,Corylus sp.,01%,  ,1,013d29ded4bc900fb04775ba0285f98e,56-436-2-1
