leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
57,441,B,1,2,62.0,64.0,335.50,337.63, 8,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,POOL,NO AGE GIVEN,664,DDENT0070,Denticula kamtschatica,FEW,  ,1,3bef909aa4ff4471a268e8f91fe54db9,57-441B-1-2
57,441,B,1,2,62.0,64.0,335.50,337.63, 8,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,POOL,NO AGE GIVEN,664,DNITZ0150,Nitzschia fossilis,RARE,  ,1,87875dec1b28b2bd3addda3011ea4c0f,57-441B-1-2
57,441,B,1,2,62.0,64.0,335.50,337.63, 8,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,POOL,NO AGE GIVEN,664,DNITZ0380,Nitzschia marina,RARE,  ,1,6a2566e12bd0a0b436d901ffab2c7473,57-441B-1-2
57,441,B,1,2,62.0,64.0,335.50,337.63, 8,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,POOL,NO AGE GIVEN,664,DNITZ0570,Nitzschia reinholdii,RARE,  ,1,0b9349bd2f1fe312000be8d1eca9efc6,57-441B-1-2
57,441,B,1,2,62.0,64.0,335.50,337.63, 8,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,POOL,NO AGE GIVEN,664,DRHIZ0040,Rhizosolenia barboi,RARE,  ,1,5e969c59deb8c4650fca2b06b62be30c,57-441B-1-2
57,441,B,1,2,62.0,64.0,335.50,337.63, 8,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,POOL,NO AGE GIVEN,664,DTHAA0030,Thalassiosira antiqua,RARE,  ,1,4f8095880bd0dd014220e6d11150bf11,57-441B-1-2
57,441,B,1,2,62.0,64.0,335.50,337.63, 8,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,POOL,NO AGE GIVEN,664,DTHAA0280,Thalassiosira oestrupii,RARE,  ,1,9841f9e2a3af0c108d08a253b852470c,57-441B-1-2
57,441,B,1,2,62.0,64.0,335.50,337.63, 8,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,POOL,NO AGE GIVEN,664,DTHAA0440,Thalassiosira zabelinae,RARE,  ,1,c24fefb11a172d60cba984038b96ee46,57-441B-1-2
57,441,B,1,CC,,,335.50,338.96, 7,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,664,DDENT0070,Denticula kamtschatica,ABUNDANT,  ,1,b776132087133aaab0d211d58d94ad20,57-441B-1-CC
57,441,B,1,CC,,,335.50,338.96, 7,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,664,DNITZ0150,Nitzschia fossilis,RARE,  ,1,72ebdba565313628e5ae881377577a3f,57-441B-1-CC
57,441,B,1,CC,,,335.50,338.96, 7,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,664,DNITZ0380,Nitzschia marina,RARE,  ,1,41a88c5735eac7538216213051d95e18,57-441B-1-CC
57,441,B,1,CC,,,335.50,338.96, 7,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,664,DNITZ0570,Nitzschia reinholdii,RARE,  ,1,a8919cbb37d23417066b539e7ebbf656,57-441B-1-CC
57,441,B,1,CC,,,335.50,338.96, 7,"BARRON,J.A.",11/1980,57,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,664,DTHAA0030,Thalassiosira antiqua,RARE,  ,1,0f84b827b8f60855954374db74050656,57-441B-1-CC
