leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
59,450,,6,CC,,,45.50,47.39, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0590,Globigerinoides trilobus,PRESENT,  ,1,01b5308eaaa36636d806ea7994a0e563
59,450,,6,CC,,,45.50,47.39, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOG0005,Globigerina sp.,RARE,  ,1,a469f37f11cb9510f482758acd84ad77
59,450,,7,CC,,,55.00,55.10, 6,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOA0298,Globorotalia menardii,FEW,  ,1,5b4c2bcb66b49f876dd43462a6657bc4
59,450,,7,CC,,,55.00,55.10, 6,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0205,Globigerinoides immaturus,COMMON,  ,1,971dc8c6b853f037bd45b7f7334b4b07
59,450,,7,CC,,,55.00,55.10, 6,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0590,Globigerinoides trilobus,FEW,  ,1,f25465307e1e050744c4081f4b4c8f8a
59,450,,7,CC,,,55.00,55.10, 6,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOQ0131,Globoquadrina dehiscens (q),RARE,  ,1,fb38aa6fc79f60cf42aa94a325d38420
59,450,,7,CC,,,55.00,55.10, 6,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FORBU0030,Orbulina suturalis,RARE,  ,1,31f83649a8bbda35877879fc39f10dbe
59,450,,7,CC,,,55.00,55.10, 6,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FSPHE0050,Sphaeroidinellopsis seminulina,RARE,  ,1,37933ac44af44c6ce1bdf287335dcc10
59,450,,8,CC,,,64.50,67.42, 3,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOA0352,Globorotalia obesa,RARE,  ,1,02ce05463b84d8e53882033de599800d
59,450,,8,CC,,,64.50,67.42, 3,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0590,Globigerinoides trilobus,RARE,  ,1,216213ba7343368ac26e4ed84729bef4
59,450,,8,CC,,,64.50,67.42, 3,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FORBU0030,Orbulina suturalis,RARE,  ,1,170d3d673e1067fbd8739c4b48491f23
59,450,,12,2,81.0,83.0,102.50,104.82, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOA0386,Globorotalia peripheroronda,RARE,  ,1,2fa1d6a416fd1f14c4a4c67bbfc349cd
59,450,,12,2,81.0,83.0,102.50,104.82, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0310,Globigerinoides quadrilobatus,RARE,  ,1,505b78a1623bb8f4d9b7602c25803acb
59,450,,12,CC,,,102.50,105.79, 1,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0530,Globigerinoides subquadratus,RARE,  ,1,89958fb98022706c2c2272dfcb9efb16
59,450,,13,3,13.0,15.0,112.00,115.14, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOG0005,Globigerina sp.,RARE,  ,1,1ed4744100662f04162fb382b43e3382
59,450,,13,3,13.0,15.0,112.00,115.14, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOG0231,Globigerina druryi (q),RARE,  ,1,c832e7bc1d5eaf9c5af1f69922724503
59,450,,14,CC,,,121.50,131.04, 9,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOA0298,Globorotalia menardii,RARE,  ,1,e5b6a4ad4b6c1e486c29e3b7f90554dc
59,450,,14,CC,,,121.50,131.04, 9,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0090,Globigerinoides conglobatus,RARE,  ,1,e659dfbf4a343d66344d41f4eddd3c85
59,450,,14,CC,,,121.50,131.04, 9,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0205,Globigerinoides immaturus,FEW,  ,1,37a0b2de2604844f9bd8a67662d3ed1c
59,450,,14,CC,,,121.50,131.04, 9,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0590,Globigerinoides trilobus,RARE,  ,1,927e609f2e6ccc91132866217a9c810f
59,450,,14,CC,,,121.50,131.04, 9,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOQ0030,Globoquadrina altispira,RARE,  ,1,6cdd28e9f2cf6cc19185d1ead8ac6e58
59,450,,14,CC,,,121.50,131.04, 9,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOQ0131,Globoquadrina dehiscens (q),RARE,  ,1,9f7aa2ef39e14f8e51f42568a097edc7
59,450,,14,CC,,,121.50,131.04, 9,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FORBU0030,Orbulina suturalis,RARE,  ,1,412349392ac0708396552445bb978bef
59,450,,14,CC,,,121.50,131.04, 9,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FORBU0040,Orbulina universa,RARE,  ,1,4f069991db85e4233d0937250f1392ec
59,450,,14,CC,,,121.50,131.04, 9,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FSPHE0085,Sphaeroidinellopsis sp.,RARE,  ,1,c7cafe433761112e25cc4c23abec6a09
59,450,,15,3,60.0,63.0,131.00,134.62, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOA0386,Globorotalia peripheroronda,RARE,  ,1,2a288df745cbb0155c92637ed98dba46
59,450,,15,3,60.0,63.0,131.00,134.62, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOG0231,Globigerina druryi (q),RARE,  ,1,f80c44653fa5f70e38ae77df8846481c
59,450,,15,CC,,,131.00,138.12, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0205,Globigerinoides immaturus,RARE,  ,1,82e902fec926a796c1dc1f6e53b3c0c2
59,450,,15,CC,,,131.00,138.12, 2,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FORBU0020,Orbulina bilobata,RARE,  ,1,22fe735f251c0215ac863cede7964f31
59,450,,17,CC,,,150.00,157.44,10,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOA0186,Globorotalia fohsi fohsi,RARE,  ,1,c42fedd1161d0a6d30cda827fa464972
59,450,,17,CC,,,150.00,157.44,10,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOA0386,Globorotalia peripheroronda,RARE,  ,1,2a61e34fca5eb619f4ce9f5a767e70b4
59,450,,17,CC,,,150.00,157.44,10,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0205,Globigerinoides immaturus,FEW,  ,1,738302226339e7b6cf61c0f5df55d327
59,450,,17,CC,,,150.00,157.44,10,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOD0590,Globigerinoides trilobus,RARE,  ,1,eae4f75dc2d0986eb30175e45486c504
59,450,,17,CC,,,150.00,157.44,10,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOQ0030,Globoquadrina altispira,RARE,  ,1,969abde83e6c18571753216765b2270c
59,450,,17,CC,,,150.00,157.44,10,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FGLOQ0131,Globoquadrina dehiscens (q),RARE,  ,1,7a9022cda73f018df4d128656b9c9810
59,450,,17,CC,,,150.00,157.44,10,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FORBU0030,Orbulina suturalis,ABUNDANT,  ,1,28e4bf01971570f72b7a73eae60be8a2
59,450,,17,CC,,,150.00,157.44,10,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FORBU0040,Orbulina universa,FEW,  ,1,7ccf00bede622f65592dc90c88dc98c6
59,450,,17,CC,,,150.00,157.44,10,"HEIMAN,M.E.",01/1981,59,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,576,FSPHE0050,Sphaeroidinellopsis seminulina,RARE,  ,1,a38bc9c4199b1f44f7ebe49bc192fb7d
