leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
6,58,B,1,1,72.0,74.0,136.60,137.33, 6,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1081,RCALC0110,Calocycletta virginis,COMMON,  ,1,180561381027fbe635b982607ee91191
6,58,B,1,1,72.0,74.0,136.60,137.33, 6,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1081,RCALC0112,Calocycletta virginis (q),COMMON,  ,1,7f0da54e917a66a88f85bdc3552b0a83
6,58,B,1,1,72.0,74.0,136.60,137.33, 6,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1081,RCANN0070,Cannartus prismaticus,RARE,  ,1,d2db55c176a91b9efbc17f98ab353d37
6,58,B,1,1,72.0,74.0,136.60,137.33, 6,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1081,RCYRC0020,Cyrtocapsella cornuta,FEW,  ,1,cda61690082adc1dc6cc1cd269d24921
6,58,B,1,1,72.0,74.0,136.60,137.33, 6,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1081,RDORC0030,Dorcadospyris ateuchus,FEW,  ,1,d92929a6f4b6a3fb542bcab879a16a61
6,58,B,1,1,72.0,74.0,136.60,137.33, 6,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1081,RLYCN0040,Lychnocanium bipes,RARE,  ,1,555e100d4cfb37920c4cef38e979b81f
6,58,B,1,2,26.0,28.0,136.60,138.37, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1082,RCALC0110,Calocycletta virginis,COMMON,  ,1,6bb06b7d2f06e9375182f907a24dea9d
6,58,B,1,2,26.0,28.0,136.60,138.37, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1082,RCANN0070,Cannartus prismaticus,RARE,  ,1,1c35513551b832c7ae3d463bf5e7396b
6,58,B,1,2,26.0,28.0,136.60,138.37, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1082,RCYRC0020,Cyrtocapsella cornuta,FEW,  ,1,dbaef5d909e1edffac00358261a6e30d
6,58,B,1,2,26.0,28.0,136.60,138.37, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1082,RDORC0030,Dorcadospyris ateuchus,FEW,  ,1,1afdf0c2d8e17e5a59686ea2a85f2e47
